AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
57.0,1.0,16.0,1.0,9130.0,6.0,0.0,65.0,1.0,1.0,False,3791
40.0,1.0,19.0,2.0,7700.0,16.0,0.0,84.0,1.0,1.0,True,1205
47.0,2.0,20.0,2.0,2850.0,32.0,0.0,25.0,2.0,1.0,False,379
47.0,1.0,17.0,2.0,6115.0,53.0,11.0,30.0,2.0,1.0,False,8164
55.0,1.0,21.0,1.0,5610.0,16.0,1.0,20.0,2.0,1.0,False,5390
21.0,1.0,16.0,2.0,4720.0,16.0,2.0,40.0,2.0,1.0,False,6893
35.0,1.0,19.0,2.0,6260.0,16.0,0.0,35.0,1.0,1.0,False,8219
48.0,1.0,17.0,1.0,6260.0,49.0,1.0,45.0,1.0,1.0,False,3168
59.0,1.0,16.0,1.0,9130.0,42.0,1.0,40.0,2.0,1.0,False,6562
33.0,1.0,21.0,2.0,2014.0,6.0,0.0,40.0,2.0,1.0,False,1753
30.0,5.0,21.0,2.0,6120.0,16.0,2.0,40.0,1.0,1.0,False,7156
27.0,1.0,16.0,1.0,4760.0,16.0,0.0,50.0,1.0,1.0,True,1248
47.0,3.0,24.0,1.0,2100.0,56.0,1.0,40.0,1.0,1.0,True,7172
24.0,1.0,19.0,1.0,4600.0,16.0,9.0,20.0,2.0,1.0,False,5558
69.0,1.0,23.0,2.0,440.0,53.0,0.0,40.0,1.0,1.0,True,5140
68.0,6.0,16.0,1.0,6240.0,16.0,0.0,40.0,1.0,1.0,False,4749
74.0,2.0,21.0,2.0,4640.0,39.0,0.0,8.0,2.0,1.0,False,2011
67.0,6.0,16.0,2.0,9620.0,16.0,11.0,2.0,1.0,1.0,False,3293
20.0,1.0,16.0,2.0,4720.0,6.0,17.0,42.0,1.0,1.0,False,147
52.0,1.0,19.0,2.0,5110.0,6.0,0.0,40.0,2.0,1.0,False,4273
17.0,1.0,14.0,2.0,4540.0,16.0,2.0,6.0,2.0,1.0,False,4567
43.0,6.0,21.0,1.0,4621.0,8.0,1.0,10.0,2.0,1.0,False,3569
65.0,6.0,19.0,1.0,4820.0,301.0,0.0,25.0,1.0,1.0,True,1406
53.0,6.0,20.0,1.0,3500.0,49.0,0.0,38.0,2.0,1.0,False,6299
21.0,1.0,16.0,2.0,4110.0,6.0,2.0,20.0,2.0,1.0,False,7896
26.0,1.0,20.0,2.0,3424.0,16.0,0.0,40.0,2.0,2.0,False,4189
63.0,3.0,18.0,1.0,7000.0,16.0,0.0,40.0,1.0,1.0,False,7311
66.0,1.0,19.0,1.0,800.0,16.0,1.0,30.0,2.0,1.0,False,5073
28.0,6.0,16.0,1.0,205.0,16.0,0.0,80.0,1.0,1.0,True,4673
49.0,4.0,18.0,1.0,5740.0,16.0,0.0,40.0,2.0,1.0,False,4218
56.0,3.0,22.0,1.0,2320.0,42.0,1.0,16.0,1.0,1.0,True,4660
43.0,1.0,16.0,1.0,9645.0,6.0,9.0,8.0,2.0,1.0,False,5061
39.0,1.0,21.0,1.0,2145.0,16.0,1.0,40.0,2.0,1.0,False,6416
39.0,1.0,18.0,1.0,6260.0,41.0,1.0,50.0,1.0,1.0,False,5876
60.0,1.0,19.0,1.0,910.0,16.0,0.0,40.0,2.0,1.0,False,7929
51.0,6.0,16.0,1.0,6260.0,16.0,16.0,32.0,2.0,1.0,False,175
