AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
55.0,1.0,16.0,1.0,8930.0,21.0,1.0,40.0,2.0,1.0,False,1343
20.0,4.0,19.0,2.0,3960.0,13.0,17.0,8.0,2.0,1.0,False,250
18.0,1.0,14.0,2.0,4600.0,21.0,2.0,20.0,1.0,1.0,False,12050
23.0,3.0,21.0,1.0,3870.0,21.0,0.0,40.0,1.0,1.0,False,16149
29.0,1.0,16.0,2.0,6260.0,21.0,11.0,50.0,1.0,1.0,True,8710
78.0,1.0,21.0,1.0,1360.0,39.0,0.0,24.0,1.0,1.0,True,13003
31.0,1.0,14.0,2.0,9645.0,21.0,2.0,16.0,1.0,2.0,False,19680
55.0,3.0,22.0,1.0,2310.0,39.0,1.0,50.0,2.0,1.0,True,2842
39.0,1.0,21.0,2.0,2310.0,47.0,0.0,60.0,2.0,1.0,False,20986
55.0,6.0,19.0,2.0,3602.0,21.0,0.0,54.0,2.0,1.0,False,15713
26.0,2.0,16.0,2.0,3645.0,21.0,11.0,40.0,2.0,1.0,False,16402
26.0,1.0,21.0,2.0,5600.0,21.0,2.0,40.0,1.0,1.0,False,1630
70.0,3.0,19.0,2.0,2435.0,4.0,0.0,40.0,2.0,1.0,True,12983
59.0,1.0,17.0,1.0,5610.0,21.0,0.0,39.0,2.0,1.0,False,6083
29.0,1.0,20.0,1.0,7330.0,17.0,0.0,50.0,1.0,1.0,True,12066
24.0,1.0,22.0,2.0,8610.0,21.0,2.0,40.0,1.0,1.0,False,20559
31.0,7.0,21.0,1.0,2722.0,21.0,1.0,30.0,2.0,1.0,False,17352
63.0,2.0,16.0,1.0,4700.0,21.0,0.0,60.0,2.0,1.0,True,9819
28.0,2.0,21.0,1.0,2013.0,21.0,9.0,40.0,2.0,1.0,False,21829
45.0,2.0,23.0,1.0,2002.0,21.0,1.0,50.0,2.0,1.0,False,15115
30.0,1.0,21.0,1.0,1021.0,210.0,0.0,48.0,1.0,2.0,True,5409
27.0,1.0,17.0,1.0,3930.0,21.0,0.0,40.0,1.0,1.0,False,18351
57.0,4.0,21.0,1.0,3930.0,21.0,1.0,28.0,2.0,1.0,False,12495
57.0,1.0,23.0,1.0,3160.0,29.0,1.0,20.0,2.0,1.0,False,8791
53.0,1.0,19.0,2.0,5610.0,21.0,0.0,45.0,2.0,1.0,False,5571
67.0,2.0,18.0,1.0,5860.0,17.0,0.0,8.0,2.0,1.0,False,11152
50.0,1.0,19.0,2.0,6765.0,21.0,0.0,35.0,1.0,1.0,False,18425
23.0,1.0,19.0,2.0,4720.0,21.0,13.0,20.0,1.0,1.0,False,17271
57.0,2.0,18.0,1.0,5740.0,21.0,0.0,37.0,2.0,1.0,False,16645
75.0,7.0,21.0,2.0,6260.0,21.0,0.0,40.0,2.0,1.0,True,17194
52.0,1.0,21.0,2.0,5140.0,39.0,2.0,40.0,2.0,1.0,False,8906
41.0,3.0,22.0,1.0,230.0,54.0,0.0,45.0,2.0,1.0,True,3383
