AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
23.0,2.0,21.0,2.0,5740.0,33.0,0.0,40.0,2.0,1.0,False
36.0,2.0,22.0,2.0,2205.0,36.0,0.0,40.0,2.0,1.0,True
69.0,1.0,16.0,1.0,4720.0,25.0,0.0,20.0,1.0,1.0,False
62.0,1.0,19.0,2.0,3500.0,25.0,0.0,40.0,2.0,1.0,True
26.0,1.0,21.0,2.0,9620.0,25.0,15.0,40.0,1.0,1.0,False
62.0,1.0,8.0,1.0,5110.0,207.0,1.0,40.0,2.0,2.0,True
61.0,2.0,24.0,1.0,1760.0,48.0,0.0,30.0,2.0,1.0,True
23.0,3.0,22.0,2.0,2205.0,36.0,0.0,45.0,1.0,1.0,False
57.0,2.0,19.0,2.0,2060.0,303.0,17.0,35.0,2.0,1.0,False
26.0,1.0,21.0,2.0,1021.0,25.0,13.0,40.0,1.0,1.0,True
55.0,1.0,22.0,1.0,1021.0,163.0,0.0,40.0,1.0,1.0,True
60.0,1.0,18.0,1.0,5740.0,6.0,0.0,37.0,2.0,1.0,False
38.0,1.0,22.0,2.0,10.0,25.0,2.0,65.0,2.0,2.0,False
59.0,1.0,22.0,1.0,440.0,210.0,0.0,50.0,1.0,2.0,True
51.0,6.0,21.0,1.0,440.0,36.0,0.0,40.0,2.0,1.0,True
62.0,1.0,19.0,2.0,5120.0,22.0,0.0,40.0,2.0,1.0,False
32.0,1.0,21.0,2.0,3245.0,444.0,2.0,30.0,2.0,1.0,False
58.0,3.0,22.0,1.0,2310.0,163.0,0.0,40.0,2.0,1.0,True
40.0,1.0,16.0,2.0,5610.0,25.0,5.0,50.0,1.0,1.0,False
41.0,1.0,22.0,1.0,2861.0,134.0,0.0,15.0,2.0,1.0,False
52.0,1.0,21.0,2.0,1021.0,25.0,13.0,40.0,1.0,1.0,True
45.0,4.0,18.0,2.0,5000.0,25.0,0.0,40.0,2.0,2.0,True
42.0,1.0,22.0,1.0,3910.0,25.0,1.0,42.0,2.0,1.0,True
53.0,4.0,22.0,1.0,2205.0,120.0,1.0,30.0,1.0,1.0,False
22.0,1.0,16.0,2.0,6230.0,408.0,0.0,40.0,1.0,2.0,True
20.0,2.0,1.0,2.0,2360.0,332.0,15.0,6.0,1.0,2.0,False
46.0,1.0,21.0,1.0,4251.0,9.0,1.0,35.0,1.0,1.0,False
64.0,1.0,22.0,1.0,3160.0,25.0,1.0,30.0,1.0,1.0,True
19.0,4.0,18.0,2.0,4110.0,25.0,17.0,40.0,2.0,2.0,False
26.0,1.0,21.0,2.0,1650.0,25.0,12.0,40.0,2.0,1.0,False
40.0,1.0,22.0,1.0,2003.0,17.0,0.0,40.0,2.0,1.0,False
55.0,4.0,22.0,1.0,2205.0,51.0,1.0,40.0,1.0,1.0,True
37.0,7.0,21.0,1.0,565.0,130.0,0.0,35.0,2.0,1.0,True
44.0,1.0,21.0,1.0,910.0,42.0,0.0,40.0,1.0,1.0,True
53.0,1.0,23.0,2.0,3090.0,12.0,13.0,40.0,1.0,1.0,True
65.0,4.0,22.0,2.0,2205.0,11.0,0.0,25.0,2.0,1.0,True
61.0,7.0,17.0,1.0,800.0,25.0,0.0,40.0,2.0,1.0,True
61.0,1.0,21.0,1.0,4700.0,36.0,1.0,45.0,2.0,1.0,True
30.0,1.0,21.0,2.0,4760.0,25.0,0.0,60.0,2.0,1.0,True
43.0,1.0,21.0,2.0,6260.0,25.0,0.0,40.0,1.0,1.0,False
55.0,4.0,22.0,2.0,2205.0,9.0,0.0,25.0,2.0,1.0,False
57.0,3.0,16.0,2.0,3802.0,25.0,0.0,40.0,1.0,1.0,True
39.0,1.0,21.0,1.0,8740.0,210.0,1.0,40.0,2.0,2.0,True
27.0,1.0,22.0,2.0,710.0,9.0,0.0,50.0,1.0,1.0,True
52.0,1.0,21.0,2.0,910.0,25.0,0.0,45.0,2.0,1.0,True
48.0,1.0,21.0,1.0,10.0,25.0,1.0,40.0,2.0,1.0,True
65.0,1.0,16.0,1.0,4251.0,33.0,1.0,40.0,1.0,1.0,False
27.0,1.0,16.0,2.0,4251.0,25.0,0.0,50.0,1.0,2.0,False
24.0,1.0,21.0,2.0,705.0,25.0,12.0,50.0,2.0,1.0,True
