AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
31.0,1.0,19.0,2.0,4350.0,26.0,13.0,25.0,2.0,1.0,False,18061
21.0,1.0,16.0,2.0,9130.0,26.0,0.0,49.0,1.0,1.0,False,15878
60.0,4.0,19.0,1.0,3870.0,26.0,0.0,16.0,1.0,1.0,False,6807
29.0,1.0,18.0,2.0,1555.0,26.0,0.0,50.0,1.0,1.0,False,21194
21.0,2.0,19.0,2.0,230.0,26.0,0.0,38.0,2.0,1.0,False,7541
33.0,1.0,17.0,2.0,8465.0,26.0,0.0,46.0,1.0,1.0,False,27222
65.0,1.0,13.0,1.0,9620.0,39.0,0.0,50.0,1.0,1.0,True,15945
20.0,1.0,19.0,2.0,7220.0,224.0,2.0,40.0,1.0,1.0,False,42772
57.0,4.0,16.0,1.0,5240.0,26.0,0.0,40.0,2.0,1.0,False,42215
60.0,1.0,21.0,1.0,440.0,26.0,1.0,40.0,1.0,1.0,True,36866
59.0,1.0,20.0,1.0,4020.0,26.0,0.0,24.0,1.0,1.0,True,29088
42.0,1.0,22.0,1.0,3256.0,26.0,0.0,40.0,2.0,1.0,True,26071
38.0,2.0,19.0,1.0,5940.0,26.0,1.0,35.0,2.0,1.0,False,6615
23.0,1.0,21.0,2.0,1410.0,26.0,0.0,42.0,1.0,1.0,True,22132
50.0,1.0,18.0,1.0,4700.0,26.0,0.0,50.0,1.0,1.0,True,47968
61.0,1.0,18.0,1.0,4230.0,26.0,1.0,40.0,2.0,2.0,False,36673
25.0,2.0,21.0,2.0,230.0,26.0,0.0,40.0,1.0,1.0,False,6885
58.0,1.0,21.0,2.0,4700.0,26.0,0.0,70.0,1.0,1.0,False,36196
32.0,1.0,16.0,1.0,8030.0,26.0,0.0,55.0,1.0,1.0,True,9819
47.0,1.0,16.0,1.0,7750.0,217.0,1.0,50.0,2.0,2.0,False,27195
24.0,1.0,16.0,2.0,9600.0,26.0,12.0,40.0,1.0,1.0,False,36145
25.0,6.0,19.0,2.0,2640.0,303.0,0.0,60.0,1.0,1.0,False,8783
56.0,1.0,18.0,1.0,9130.0,26.0,0.0,39.0,1.0,1.0,False,40450
62.0,1.0,16.0,1.0,1555.0,26.0,1.0,60.0,1.0,1.0,True,44903
56.0,1.0,14.0,1.0,7200.0,26.0,1.0,60.0,1.0,1.0,True,21639
42.0,1.0,21.0,1.0,4110.0,26.0,0.0,20.0,2.0,1.0,False,12190
19.0,1.0,19.0,2.0,9130.0,26.0,2.0,20.0,1.0,1.0,False,17157
61.0,1.0,18.0,1.0,8130.0,26.0,1.0,50.0,1.0,1.0,True,34392
29.0,6.0,19.0,2.0,4500.0,26.0,2.0,20.0,1.0,2.0,False,26453
60.0,1.0,16.0,1.0,5120.0,26.0,0.0,40.0,2.0,1.0,False,2933
39.0,1.0,16.0,2.0,4700.0,26.0,13.0,80.0,1.0,1.0,True,44558
57.0,6.0,16.0,1.0,6410.0,26.0,1.0,15.0,1.0,1.0,False,36741
28.0,1.0,21.0,1.0,530.0,215.0,0.0,50.0,1.0,2.0,False,8414
74.0,1.0,16.0,1.0,7220.0,26.0,0.0,24.0,1.0,1.0,True,43469
25.0,1.0,19.0,2.0,5840.0,26.0,2.0,30.0,2.0,2.0,False,19433
18.0,1.0,14.0,2.0,9610.0,26.0,2.0,18.0,1.0,1.0,False,9407
80.0,2.0,23.0,1.0,3090.0,26.0,0.0,30.0,1.0,1.0,True,30517
62.0,7.0,19.0,1.0,4700.0,26.0,1.0,50.0,1.0,1.0,True,29866
36.0,3.0,21.0,1.0,2300.0,32.0,1.0,40.0,2.0,1.0,False,33592
50.0,1.0,16.0,2.0,3930.0,26.0,0.0,40.0,1.0,1.0,False,41235
56.0,1.0,18.0,1.0,5000.0,26.0,1.0,40.0,2.0,1.0,False,7282
31.0,2.0,23.0,1.0,3090.0,6.0,1.0,50.0,1.0,2.0,False,26619
36.0,1.0,21.0,2.0,3255.0,26.0,0.0,24.0,2.0,1.0,True,35486
24.0,1.0,21.0,1.0,4850.0,18.0,1.0,40.0,1.0,1.0,False,8422
28.0,2.0,24.0,1.0,3160.0,26.0,1.0,40.0,2.0,1.0,True,27295
45.0,6.0,21.0,1.0,2862.0,26.0,1.0,40.0,2.0,1.0,True,25579
27.0,1.0,21.0,2.0,1720.0,26.0,2.0,45.0,1.0,1.0,False,47104
29.0,1.0,20.0,1.0,140.0,303.0,0.0,60.0,1.0,1.0,True,25427
51.0,1.0,16.0,2.0,9130.0,26.0,0.0,40.0,1.0,1.0,False,45368
25.0,2.0,21.0,1.0,3255.0,11.0,1.0,40.0,2.0,1.0,True,8030
39.0,4.0,19.0,2.0,3500.0,26.0,0.0,40.0,2.0,1.0,True,25944
38.0,3.0,17.0,1.0,5820.0,26.0,1.0,40.0,2.0,2.0,False,33793
27.0,4.0,18.0,1.0,1970.0,26.0,10.0,15.0,1.0,1.0,False,34684
36.0,3.0,16.0,2.0,3910.0,26.0,2.0,40.0,1.0,2.0,False,9488
61.0,1.0,18.0,1.0,9620.0,26.0,5.0,40.0,1.0,2.0,True,4542
47.0,2.0,20.0,2.0,5840.0,26.0,0.0,48.0,2.0,2.0,True,31476
64.0,2.0,22.0,1.0,2040.0,18.0,0.0,50.0,1.0,1.0,True,12497
61.0,6.0,17.0,1.0,4600.0,17.0,1.0,47.0,2.0,2.0,False,6198
26.0,2.0,21.0,2.0,3603.0,26.0,0.0,40.0,2.0,2.0,False,47952
42.0,1.0,19.0,1.0,7160.0,26.0,1.0,40.0,1.0,1.0,False,46621
56.0,1.0,22.0,1.0,52.0,39.0,0.0,60.0,1.0,1.0,True,32218
55.0,2.0,20.0,2.0,3500.0,19.0,0.0,40.0,2.0,1.0,False,22568
52.0,2.0,18.0,2.0,9130.0,26.0,0.0,40.0,1.0,1.0,False,48843
50.0,1.0,18.0,1.0,5860.0,26.0,1.0,40.0,2.0,1.0,False,38987
20.0,1.0,18.0,2.0,8990.0,26.0,2.0,12.0,1.0,1.0,False,7696
56.0,2.0,24.0,1.0,1760.0,207.0,0.0,40.0,1.0,2.0,True,47244
43.0,1.0,21.0,1.0,10.0,26.0,1.0,50.0,1.0,1.0,True,32785
26.0,1.0,21.0,2.0,2300.0,26.0,13.0,40.0,2.0,1.0,False,11674
36.0,1.0,20.0,1.0,4000.0,26.0,1.0,45.0,1.0,1.0,False,36765
47.0,1.0,19.0,1.0,1021.0,24.0,0.0,45.0,1.0,1.0,True,11008
50.0,1.0,22.0,1.0,120.0,49.0,0.0,50.0,1.0,1.0,True,32777
30.0,6.0,20.0,2.0,6260.0,26.0,7.0,40.0,1.0,1.0,False,49817
44.0,1.0,21.0,1.0,205.0,26.0,1.0,60.0,1.0,1.0,False,4562
51.0,1.0,16.0,1.0,5240.0,26.0,0.0,40.0,1.0,1.0,True,30403
34.0,1.0,21.0,2.0,710.0,26.0,0.0,40.0,1.0,1.0,True,35210
59.0,5.0,19.0,1.0,5550.0,22.0,0.0,40.0,1.0,1.0,False,45439
31.0,1.0,13.0,2.0,4010.0,26.0,13.0,40.0,2.0,1.0,False,21786
33.0,2.0,20.0,1.0,3601.0,22.0,1.0,24.0,2.0,1.0,False,24983
36.0,1.0,22.0,2.0,350.0,301.0,0.0,30.0,2.0,1.0,False,43849
56.0,1.0,18.0,1.0,1650.0,26.0,0.0,40.0,2.0,1.0,True,44005
58.0,3.0,20.0,2.0,5860.0,26.0,0.0,40.0,2.0,2.0,False,7339
54.0,1.0,22.0,1.0,10.0,110.0,0.0,40.0,1.0,1.0,True,14842
34.0,6.0,22.0,1.0,726.0,26.0,1.0,40.0,1.0,1.0,False,38460
52.0,1.0,20.0,1.0,9620.0,26.0,0.0,40.0,1.0,1.0,False,43158
50.0,1.0,20.0,1.0,5900.0,26.0,0.0,40.0,1.0,1.0,True,15551
21.0,1.0,16.0,2.0,8640.0,51.0,0.0,50.0,1.0,1.0,False,37815
59.0,1.0,16.0,2.0,9645.0,26.0,0.0,40.0,2.0,1.0,False,49110
24.0,1.0,19.0,2.0,5300.0,233.0,17.0,45.0,2.0,2.0,False,1317
57.0,1.0,16.0,2.0,8130.0,26.0,0.0,50.0,1.0,1.0,True,16949
59.0,2.0,22.0,1.0,726.0,39.0,0.0,45.0,1.0,1.0,True,36398
66.0,2.0,24.0,1.0,2205.0,39.0,0.0,40.0,1.0,1.0,False,37786
58.0,1.0,20.0,2.0,7130.0,26.0,15.0,35.0,1.0,1.0,False,37109
31.0,1.0,15.0,1.0,7340.0,26.0,1.0,40.0,1.0,1.0,False,2782
67.0,1.0,19.0,2.0,5120.0,39.0,0.0,25.0,2.0,1.0,False,11375
26.0,1.0,16.0,2.0,4020.0,26.0,2.0,30.0,2.0,1.0,False,49534
22.0,1.0,18.0,2.0,4720.0,26.0,12.0,30.0,1.0,1.0,False,40067
87.0,1.0,16.0,1.0,4110.0,26.0,0.0,10.0,1.0,1.0,False,45651
52.0,1.0,20.0,1.0,3255.0,26.0,1.0,40.0,2.0,1.0,True,43522
60.0,1.0,21.0,1.0,7200.0,26.0,0.0,40.0,1.0,1.0,True,41000
20.0,1.0,16.0,2.0,4110.0,26.0,2.0,15.0,1.0,1.0,False,27024
47.0,1.0,16.0,2.0,5240.0,26.0,0.0,40.0,1.0,1.0,False,10711
63.0,3.0,21.0,1.0,4600.0,26.0,1.0,26.0,2.0,1.0,False,21216
35.0,1.0,19.0,1.0,4810.0,26.0,1.0,40.0,2.0,1.0,False,12989
22.0,1.0,16.0,2.0,9620.0,26.0,2.0,40.0,1.0,2.0,False,4513
72.0,3.0,19.0,1.0,10.0,26.0,0.0,40.0,1.0,1.0,False,34948
57.0,1.0,16.0,1.0,5330.0,26.0,1.0,40.0,2.0,1.0,False,28060
41.0,1.0,20.0,2.0,2300.0,26.0,0.0,35.0,2.0,1.0,False,22148
20.0,1.0,19.0,2.0,3421.0,26.0,0.0,40.0,2.0,1.0,False,6384
41.0,1.0,21.0,1.0,4622.0,26.0,15.0,45.0,2.0,1.0,False,10638
43.0,1.0,16.0,1.0,5400.0,26.0,0.0,40.0,2.0,1.0,False,24126
36.0,1.0,13.0,1.0,6200.0,26.0,1.0,65.0,1.0,1.0,True,41664
34.0,7.0,13.0,1.0,6230.0,26.0,0.0,45.0,1.0,1.0,False,30857
55.0,1.0,22.0,1.0,300.0,42.0,0.0,55.0,1.0,1.0,True,32847
23.0,2.0,18.0,2.0,3602.0,26.0,7.0,36.0,2.0,2.0,False,30844
49.0,2.0,21.0,1.0,230.0,26.0,0.0,42.0,2.0,1.0,False,20467
18.0,1.0,16.0,2.0,4020.0,26.0,17.0,40.0,1.0,1.0,False,1599
28.0,1.0,20.0,1.0,4840.0,26.0,0.0,50.0,1.0,1.0,True,13943
22.0,3.0,18.0,2.0,4220.0,26.0,15.0,25.0,1.0,1.0,False,9699
42.0,3.0,22.0,1.0,2310.0,26.0,1.0,40.0,2.0,1.0,False,32110
56.0,7.0,16.0,1.0,6200.0,26.0,1.0,50.0,1.0,1.0,True,36009
36.0,1.0,16.0,1.0,7330.0,26.0,1.0,40.0,1.0,1.0,True,44287
60.0,1.0,18.0,2.0,4710.0,26.0,0.0,40.0,1.0,1.0,False,28952
45.0,1.0,16.0,1.0,8130.0,213.0,2.0,45.0,1.0,1.0,False,49661
27.0,1.0,18.0,2.0,9600.0,26.0,2.0,30.0,1.0,1.0,True,38982
23.0,1.0,21.0,2.0,2710.0,26.0,12.0,40.0,1.0,1.0,False,46629
53.0,5.0,16.0,1.0,9310.0,26.0,1.0,40.0,1.0,1.0,True,17828
28.0,1.0,19.0,2.0,5610.0,13.0,0.0,40.0,1.0,2.0,False,2083
49.0,7.0,21.0,1.0,310.0,26.0,0.0,55.0,1.0,1.0,False,24087
57.0,1.0,16.0,1.0,4850.0,26.0,1.0,50.0,2.0,1.0,True,16819
21.0,2.0,16.0,2.0,2012.0,26.0,2.0,25.0,2.0,2.0,False,28967
51.0,1.0,22.0,1.0,5000.0,29.0,0.0,70.0,2.0,1.0,True,47605
32.0,1.0,16.0,2.0,3603.0,26.0,0.0,40.0,2.0,1.0,False,36116
33.0,1.0,21.0,2.0,120.0,26.0,5.0,40.0,1.0,1.0,False,44496
23.0,1.0,21.0,2.0,3610.0,26.0,2.0,20.0,1.0,2.0,False,6273
36.0,1.0,18.0,1.0,6260.0,26.0,1.0,48.0,1.0,1.0,False,45398
22.0,1.0,19.0,2.0,5400.0,26.0,13.0,40.0,2.0,1.0,False,18479
51.0,1.0,21.0,1.0,1360.0,26.0,0.0,40.0,1.0,1.0,True,18152
37.0,1.0,18.0,1.0,6520.0,26.0,1.0,50.0,1.0,1.0,True,31449
29.0,1.0,19.0,2.0,9645.0,26.0,13.0,40.0,1.0,1.0,False,28684
69.0,1.0,21.0,1.0,4760.0,26.0,1.0,40.0,1.0,1.0,False,35561
20.0,1.0,18.0,2.0,4760.0,26.0,0.0,25.0,1.0,1.0,False,22642
