AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
54.0,1.0,16.0,1.0,9620.0,38.0,0.0,40.0,1.0,1.0,False,1364
25.0,1.0,20.0,1.0,8140.0,38.0,2.0,45.0,1.0,1.0,False,1014
51.0,1.0,20.0,1.0,20.0,55.0,0.0,55.0,1.0,1.0,True,1681
56.0,1.0,20.0,2.0,8140.0,38.0,0.0,40.0,1.0,1.0,False,2422
44.0,1.0,20.0,1.0,6442.0,38.0,0.0,40.0,1.0,1.0,True,2578
70.0,5.0,19.0,1.0,5540.0,38.0,0.0,23.0,1.0,1.0,True,3578
32.0,1.0,19.0,2.0,4510.0,54.0,12.0,35.0,2.0,1.0,False,3917
61.0,7.0,21.0,1.0,205.0,38.0,1.0,20.0,2.0,1.0,False,2081
58.0,1.0,16.0,1.0,440.0,38.0,0.0,20.0,2.0,1.0,False,3234
18.0,1.0,18.0,2.0,4110.0,6.0,17.0,20.0,1.0,1.0,False,47
70.0,1.0,18.0,1.0,4750.0,38.0,1.0,25.0,1.0,1.0,False,2319
59.0,7.0,16.0,1.0,10.0,38.0,1.0,46.0,1.0,1.0,True,2485
26.0,5.0,20.0,2.0,9645.0,27.0,0.0,40.0,1.0,1.0,True,2343
42.0,3.0,22.0,1.0,3230.0,38.0,1.0,40.0,2.0,1.0,False,2954
18.0,1.0,18.0,2.0,6050.0,38.0,17.0,15.0,1.0,1.0,False,161
19.0,4.0,18.0,2.0,2723.0,27.0,17.0,4.0,2.0,1.0,False,122
60.0,1.0,19.0,1.0,7330.0,46.0,0.0,44.0,1.0,1.0,True,3819
38.0,4.0,21.0,2.0,110.0,427.0,0.0,50.0,1.0,2.0,True,2232
54.0,3.0,22.0,1.0,2330.0,38.0,0.0,40.0,2.0,1.0,True,792
61.0,1.0,18.0,1.0,3300.0,301.0,1.0,40.0,2.0,1.0,False,1022
25.0,1.0,17.0,2.0,5400.0,49.0,13.0,32.0,2.0,1.0,False,1377
56.0,1.0,19.0,2.0,4020.0,27.0,0.0,32.0,2.0,1.0,False,4090
52.0,7.0,14.0,1.0,205.0,38.0,0.0,75.0,1.0,1.0,True,2400
60.0,1.0,21.0,1.0,10.0,38.0,1.0,60.0,1.0,1.0,True,1048
25.0,6.0,17.0,1.0,4500.0,27.0,1.0,45.0,1.0,1.0,False,4405
33.0,1.0,20.0,1.0,6442.0,38.0,0.0,40.0,1.0,1.0,False,4060
30.0,2.0,21.0,1.0,3255.0,13.0,1.0,60.0,1.0,1.0,True,2259
24.0,1.0,19.0,1.0,4510.0,110.0,0.0,30.0,2.0,1.0,False,3916
43.0,1.0,21.0,1.0,4930.0,38.0,1.0,50.0,1.0,1.0,True,1935
61.0,1.0,21.0,1.0,7720.0,27.0,0.0,40.0,1.0,1.0,True,661
43.0,3.0,21.0,1.0,101.0,38.0,1.0,40.0,2.0,1.0,True,3445
43.0,2.0,19.0,1.0,1108.0,38.0,0.0,40.0,2.0,1.0,True,2669
47.0,1.0,16.0,1.0,2545.0,38.0,0.0,15.0,2.0,1.0,False,1413
39.0,6.0,16.0,1.0,440.0,38.0,0.0,70.0,1.0,1.0,False,2658
57.0,1.0,22.0,2.0,20.0,38.0,0.0,45.0,2.0,1.0,True,953
55.0,1.0,20.0,1.0,1545.0,38.0,1.0,40.0,1.0,1.0,True,978
21.0,1.0,21.0,1.0,4110.0,27.0,1.0,15.0,2.0,1.0,False,1891
19.0,1.0,16.0,2.0,4720.0,38.0,2.0,20.0,1.0,1.0,False,3726
53.0,7.0,18.0,1.0,8320.0,38.0,0.0,40.0,2.0,1.0,False,4330
31.0,1.0,19.0,1.0,6950.0,19.0,1.0,84.0,1.0,1.0,True,4135
61.0,1.0,19.0,2.0,7340.0,36.0,0.0,40.0,1.0,1.0,True,1683
24.0,1.0,21.0,2.0,1600.0,27.0,0.0,55.0,1.0,1.0,False,2983
50.0,7.0,16.0,1.0,205.0,38.0,1.0,80.0,1.0,1.0,True,3946
18.0,1.0,14.0,2.0,4720.0,38.0,2.0,12.0,1.0,1.0,False,3655
24.0,2.0,20.0,2.0,910.0,38.0,13.0,45.0,2.0,1.0,False,3253
40.0,6.0,20.0,1.0,205.0,38.0,0.0,40.0,1.0,1.0,False,3132
41.0,1.0,18.0,2.0,9620.0,38.0,0.0,40.0,1.0,1.0,False,2732
37.0,1.0,21.0,1.0,5110.0,38.0,1.0,40.0,2.0,1.0,False,3493
30.0,1.0,20.0,1.0,350.0,38.0,0.0,42.0,2.0,1.0,True,704
44.0,6.0,20.0,2.0,4020.0,38.0,0.0,40.0,2.0,1.0,False,3662
17.0,1.0,14.0,2.0,4720.0,38.0,3.0,14.0,2.0,1.0,False,1711
37.0,1.0,16.0,1.0,4110.0,38.0,0.0,50.0,2.0,1.0,True,3120
31.0,1.0,16.0,1.0,9570.0,38.0,0.0,50.0,1.0,1.0,False,4297
60.0,1.0,16.0,1.0,9130.0,38.0,1.0,40.0,2.0,1.0,False,3407
60.0,7.0,18.0,1.0,5860.0,38.0,1.0,20.0,2.0,1.0,False,473
26.0,1.0,1.0,2.0,3500.0,37.0,12.0,40.0,2.0,1.0,False,3284
40.0,6.0,16.0,2.0,205.0,38.0,0.0,40.0,1.0,1.0,True,3621
33.0,1.0,16.0,1.0,52.0,38.0,0.0,60.0,1.0,1.0,True,3143
27.0,1.0,19.0,1.0,4850.0,38.0,1.0,50.0,1.0,1.0,True,3417
34.0,2.0,22.0,1.0,2310.0,38.0,0.0,40.0,1.0,1.0,True,2744
24.0,1.0,18.0,2.0,6260.0,38.0,0.0,60.0,1.0,1.0,True,2762
65.0,1.0,18.0,1.0,5740.0,38.0,1.0,40.0,2.0,1.0,False,1301
29.0,1.0,23.0,1.0,2100.0,27.0,0.0,50.0,1.0,1.0,True,2807
26.0,1.0,21.0,2.0,5810.0,27.0,0.0,40.0,2.0,1.0,False,1514
34.0,1.0,19.0,1.0,3601.0,44.0,0.0,40.0,2.0,1.0,False,3243
35.0,6.0,19.0,1.0,205.0,27.0,0.0,40.0,1.0,1.0,True,2925
62.0,1.0,18.0,1.0,5120.0,38.0,1.0,40.0,2.0,1.0,False,2281
26.0,1.0,16.0,2.0,3640.0,38.0,0.0,34.0,2.0,1.0,False,1388
58.0,3.0,20.0,1.0,800.0,38.0,1.0,45.0,2.0,1.0,True,1133
42.0,1.0,16.0,1.0,9620.0,17.0,1.0,50.0,1.0,1.0,False,2412
32.0,1.0,18.0,2.0,7750.0,48.0,0.0,40.0,2.0,1.0,False,1744
63.0,2.0,22.0,1.0,3255.0,38.0,1.0,32.0,2.0,1.0,True,1219
59.0,6.0,17.0,1.0,6230.0,38.0,1.0,40.0,1.0,1.0,True,3799
20.0,3.0,16.0,2.0,6050.0,27.0,12.0,20.0,2.0,1.0,False,4069
19.0,1.0,16.0,2.0,5160.0,38.0,4.0,30.0,2.0,1.0,False,1587
19.0,1.0,16.0,2.0,2920.0,53.0,17.0,8.0,2.0,1.0,False,8
61.0,1.0,19.0,2.0,7750.0,38.0,0.0,40.0,1.0,1.0,True,3421
45.0,1.0,20.0,2.0,9130.0,8.0,0.0,50.0,1.0,1.0,False,3733
47.0,1.0,21.0,1.0,5840.0,38.0,1.0,40.0,2.0,1.0,True,461
