AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
33.0,1.0,13.0,2.0,6442.0,39.0,0.0,40.0,1.0,2.0,False,55910
26.0,1.0,19.0,1.0,2360.0,39.0,0.0,40.0,1.0,1.0,True,5122
18.0,2.0,18.0,2.0,5860.0,25.0,2.0,20.0,2.0,2.0,False,18189
30.0,1.0,16.0,1.0,120.0,39.0,0.0,45.0,2.0,1.0,False,9258
50.0,1.0,16.0,2.0,51.0,39.0,0.0,55.0,1.0,1.0,True,59587
20.0,1.0,16.0,2.0,4252.0,39.0,3.0,40.0,1.0,1.0,False,38245
38.0,1.0,18.0,1.0,9130.0,21.0,0.0,50.0,1.0,1.0,False,43606
22.0,1.0,19.0,2.0,4251.0,36.0,2.0,30.0,1.0,1.0,False,15978
29.0,5.0,21.0,2.0,5550.0,21.0,2.0,40.0,1.0,1.0,False,2743
18.0,1.0,18.0,2.0,4110.0,39.0,7.0,25.0,2.0,2.0,False,25597
32.0,3.0,16.0,1.0,5400.0,39.0,1.0,30.0,2.0,1.0,False,44944
46.0,2.0,21.0,2.0,2310.0,39.0,0.0,45.0,2.0,1.0,True,42649
50.0,1.0,13.0,1.0,3601.0,39.0,0.0,9.0,2.0,2.0,False,7468
39.0,6.0,21.0,2.0,2721.0,139.0,0.0,20.0,1.0,1.0,False,33879
52.0,2.0,16.0,2.0,9122.0,39.0,0.0,40.0,2.0,2.0,False,15784
52.0,5.0,21.0,1.0,1400.0,39.0,0.0,40.0,1.0,1.0,True,52488
32.0,1.0,16.0,1.0,9645.0,39.0,0.0,50.0,2.0,1.0,False,49782
38.0,6.0,16.0,2.0,6410.0,39.0,0.0,35.0,1.0,1.0,False,17107
77.0,7.0,21.0,1.0,5000.0,42.0,1.0,40.0,2.0,1.0,True,61214
19.0,5.0,15.0,2.0,9825.0,39.0,2.0,25.0,2.0,1.0,False,54709
