AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
23.0,1.0,18.0,2.0,5240.0,41.0,0.0,25.0,1.0,1.0,False,11425
22.0,2.0,19.0,2.0,2060.0,34.0,17.0,50.0,2.0,1.0,False,505
40.0,1.0,15.0,1.0,7260.0,41.0,1.0,50.0,1.0,1.0,False,5191
41.0,4.0,19.0,1.0,440.0,41.0,1.0,40.0,2.0,1.0,False,12148
51.0,1.0,22.0,1.0,440.0,12.0,1.0,40.0,1.0,1.0,True,20693
70.0,6.0,18.0,2.0,4600.0,333.0,0.0,55.0,2.0,1.0,False,1358
66.0,6.0,20.0,1.0,3630.0,215.0,1.0,5.0,2.0,2.0,False,16785
29.0,1.0,18.0,2.0,6115.0,41.0,0.0,99.0,1.0,1.0,True,12084
35.0,3.0,21.0,2.0,2310.0,29.0,13.0,40.0,2.0,1.0,True,21780
35.0,1.0,21.0,1.0,3255.0,6.0,9.0,24.0,2.0,1.0,False,14413
32.0,1.0,19.0,1.0,3603.0,233.0,0.0,38.0,2.0,2.0,False,20428
26.0,4.0,17.0,2.0,5740.0,30.0,0.0,40.0,1.0,1.0,False,20430
59.0,1.0,21.0,1.0,20.0,6.0,0.0,40.0,1.0,1.0,False,12411
33.0,1.0,1.0,2.0,7200.0,6.0,3.0,45.0,1.0,2.0,False,17024
28.0,1.0,20.0,2.0,5610.0,360.0,0.0,37.0,1.0,1.0,False,17712
54.0,1.0,21.0,2.0,9620.0,24.0,0.0,50.0,1.0,1.0,False,2949
32.0,1.0,8.0,1.0,3300.0,46.0,0.0,40.0,2.0,1.0,True,12683
39.0,4.0,21.0,1.0,1220.0,26.0,0.0,40.0,2.0,1.0,False,13278
45.0,1.0,18.0,2.0,4040.0,6.0,0.0,30.0,1.0,2.0,False,19826
46.0,1.0,13.0,1.0,7750.0,303.0,0.0,40.0,1.0,2.0,False,10179
47.0,6.0,4.0,1.0,9142.0,247.0,0.0,70.0,1.0,2.0,False,15206
46.0,2.0,21.0,2.0,5740.0,41.0,0.0,40.0,2.0,1.0,False,15811
21.0,1.0,17.0,2.0,9620.0,6.0,2.0,40.0,1.0,1.0,False,1141
52.0,1.0,18.0,1.0,7340.0,6.0,0.0,40.0,1.0,1.0,True,7765
26.0,1.0,19.0,2.0,4220.0,6.0,0.0,52.0,1.0,2.0,False,16852
29.0,1.0,21.0,1.0,4000.0,36.0,1.0,50.0,1.0,1.0,False,19684
28.0,2.0,18.0,2.0,3255.0,41.0,10.0,36.0,2.0,1.0,True,6466
57.0,3.0,19.0,2.0,5740.0,36.0,0.0,38.0,2.0,1.0,True,14782
61.0,1.0,16.0,1.0,5000.0,41.0,1.0,40.0,2.0,1.0,False,2466
18.0,1.0,16.0,2.0,5860.0,41.0,2.0,15.0,2.0,1.0,False,17875
55.0,6.0,19.0,2.0,5120.0,4.0,0.0,50.0,2.0,1.0,False,13475
35.0,2.0,20.0,1.0,3310.0,53.0,0.0,32.0,2.0,1.0,True,14205
54.0,2.0,19.0,1.0,9130.0,41.0,1.0,40.0,1.0,2.0,False,20060
60.0,1.0,20.0,1.0,5860.0,41.0,1.0,46.0,2.0,1.0,False,19560
44.0,1.0,16.0,1.0,4700.0,49.0,0.0,37.0,1.0,1.0,False,15681
31.0,2.0,16.0,2.0,4010.0,34.0,13.0,36.0,2.0,1.0,False,14737
33.0,1.0,19.0,2.0,4000.0,29.0,12.0,20.0,1.0,1.0,False,2383
76.0,1.0,21.0,1.0,10.0,41.0,0.0,40.0,1.0,1.0,True,17664
48.0,5.0,18.0,1.0,440.0,41.0,0.0,40.0,2.0,1.0,True,16825
30.0,1.0,18.0,2.0,4810.0,41.0,12.0,40.0,1.0,1.0,False,7319
36.0,3.0,16.0,1.0,8225.0,41.0,1.0,45.0,1.0,1.0,False,16209
21.0,1.0,19.0,2.0,4120.0,41.0,2.0,30.0,1.0,1.0,False,17839
20.0,6.0,13.0,2.0,4510.0,41.0,16.0,5.0,2.0,2.0,False,110
33.0,1.0,16.0,1.0,5740.0,41.0,0.0,10.0,2.0,1.0,False,8650
83.0,1.0,22.0,1.0,1545.0,16.0,0.0,20.0,1.0,1.0,True,15821
39.0,1.0,16.0,2.0,6260.0,41.0,2.0,15.0,1.0,1.0,False,11499
44.0,2.0,22.0,1.0,2205.0,34.0,0.0,40.0,1.0,1.0,False,3152
37.0,1.0,22.0,1.0,1021.0,41.0,1.0,45.0,1.0,1.0,True,9075
47.0,2.0,21.0,2.0,3322.0,41.0,0.0,32.0,2.0,1.0,True,13986
34.0,2.0,23.0,1.0,3255.0,41.0,1.0,36.0,2.0,1.0,True,2355
39.0,1.0,21.0,2.0,440.0,41.0,0.0,40.0,1.0,1.0,True,16979
30.0,2.0,22.0,2.0,2320.0,2.0,0.0,40.0,2.0,1.0,False,3941
38.0,7.0,18.0,1.0,1010.0,6.0,0.0,50.0,1.0,1.0,False,16726
42.0,1.0,16.0,2.0,205.0,16.0,12.0,35.0,1.0,1.0,False,11016
26.0,1.0,16.0,1.0,8990.0,16.0,1.0,40.0,1.0,1.0,False,15158
59.0,3.0,22.0,1.0,2310.0,41.0,1.0,40.0,2.0,1.0,True,6828
53.0,1.0,20.0,1.0,3255.0,40.0,1.0,40.0,2.0,1.0,True,12937
44.0,1.0,17.0,1.0,4220.0,49.0,1.0,40.0,1.0,1.0,False,10288
17.0,1.0,14.0,2.0,4850.0,41.0,2.0,40.0,2.0,1.0,False,17492
68.0,7.0,20.0,1.0,6240.0,39.0,0.0,40.0,1.0,1.0,False,18199
43.0,3.0,19.0,1.0,2545.0,41.0,1.0,40.0,2.0,1.0,False,1207
58.0,6.0,21.0,2.0,800.0,41.0,0.0,40.0,2.0,1.0,True,21658
32.0,1.0,24.0,1.0,7430.0,6.0,1.0,40.0,2.0,2.0,False,18935
69.0,7.0,24.0,1.0,10.0,1.0,0.0,40.0,2.0,1.0,True,14303
26.0,1.0,21.0,2.0,1935.0,41.0,0.0,40.0,1.0,1.0,False,10904
19.0,1.0,19.0,2.0,6050.0,36.0,17.0,20.0,1.0,1.0,False,657
42.0,3.0,20.0,1.0,5740.0,4.0,0.0,25.0,2.0,1.0,False,2765
49.0,2.0,22.0,1.0,3255.0,30.0,1.0,24.0,2.0,1.0,False,12588
67.0,1.0,19.0,2.0,5000.0,53.0,0.0,40.0,2.0,1.0,True,1882
39.0,1.0,18.0,1.0,7330.0,41.0,0.0,40.0,1.0,1.0,False,5558
21.0,1.0,16.0,1.0,4760.0,41.0,0.0,36.0,1.0,2.0,False,7875
66.0,1.0,20.0,1.0,5610.0,44.0,0.0,40.0,1.0,1.0,False,18886
37.0,1.0,20.0,2.0,3630.0,53.0,12.0,40.0,1.0,1.0,False,3605
29.0,1.0,21.0,2.0,5240.0,53.0,12.0,40.0,1.0,1.0,False,8233
32.0,1.0,22.0,1.0,20.0,51.0,0.0,45.0,1.0,2.0,True,4772
36.0,1.0,21.0,1.0,5610.0,247.0,2.0,24.0,1.0,2.0,False,13911
21.0,1.0,16.0,2.0,4700.0,41.0,2.0,40.0,1.0,2.0,False,9482
64.0,1.0,23.0,2.0,3050.0,16.0,0.0,41.0,1.0,1.0,True,1241
53.0,2.0,21.0,1.0,136.0,6.0,0.0,30.0,2.0,1.0,False,5575
49.0,1.0,21.0,1.0,4710.0,41.0,0.0,45.0,2.0,1.0,True,21733
48.0,1.0,21.0,1.0,1530.0,53.0,1.0,60.0,1.0,1.0,True,17180
43.0,3.0,21.0,1.0,2545.0,41.0,0.0,35.0,2.0,1.0,False,1987
36.0,2.0,24.0,2.0,3090.0,42.0,13.0,50.0,1.0,1.0,True,20581
