AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
30.0,1.0,21.0,1.0,2320.0,42.0,1.0,50.0,1.0,1.0,False,53681
74.0,6.0,18.0,1.0,4850.0,42.0,1.0,8.0,2.0,1.0,False,14742
68.0,1.0,17.0,2.0,4720.0,17.0,0.0,40.0,2.0,1.0,True,24044
50.0,2.0,20.0,1.0,410.0,42.0,1.0,40.0,1.0,1.0,False,53719
31.0,1.0,24.0,1.0,4330.0,72.0,0.0,40.0,1.0,1.0,True,52315
69.0,1.0,21.0,2.0,4740.0,25.0,0.0,40.0,1.0,1.0,True,31897
62.0,1.0,16.0,2.0,9130.0,54.0,0.0,18.0,1.0,1.0,True,18491
39.0,1.0,20.0,2.0,440.0,42.0,15.0,40.0,1.0,1.0,True,41741
58.0,1.0,18.0,1.0,8030.0,42.0,1.0,50.0,1.0,1.0,True,68109
52.0,5.0,21.0,1.0,9830.0,25.0,0.0,55.0,1.0,1.0,True,8776
39.0,1.0,18.0,1.0,5730.0,42.0,1.0,38.0,2.0,1.0,False,51724
28.0,1.0,21.0,1.0,5940.0,42.0,0.0,42.0,1.0,1.0,False,33969
26.0,1.0,21.0,2.0,700.0,11.0,0.0,70.0,1.0,1.0,True,23886
18.0,1.0,18.0,2.0,4220.0,36.0,17.0,45.0,1.0,2.0,False,2630
24.0,2.0,20.0,2.0,4220.0,42.0,2.0,40.0,1.0,1.0,False,10266
37.0,1.0,23.0,1.0,2100.0,45.0,1.0,50.0,1.0,1.0,True,51641
21.0,1.0,16.0,2.0,8990.0,42.0,0.0,40.0,1.0,1.0,False,28060
31.0,1.0,21.0,1.0,2310.0,42.0,1.0,40.0,1.0,1.0,False,59735
33.0,1.0,13.0,2.0,4230.0,36.0,0.0,37.0,2.0,1.0,False,57392
46.0,1.0,18.0,2.0,110.0,36.0,0.0,40.0,1.0,1.0,False,28850
29.0,2.0,24.0,2.0,2205.0,128.0,0.0,50.0,2.0,1.0,False,47308
51.0,3.0,19.0,2.0,3870.0,42.0,2.0,30.0,1.0,1.0,True,66490
51.0,1.0,20.0,2.0,3220.0,42.0,0.0,36.0,1.0,1.0,False,34542
25.0,1.0,22.0,2.0,3245.0,42.0,2.0,28.0,2.0,1.0,False,22292
62.0,1.0,16.0,2.0,4720.0,42.0,0.0,40.0,2.0,1.0,False,11586
38.0,1.0,16.0,2.0,4010.0,42.0,0.0,45.0,2.0,1.0,False,4330
64.0,1.0,16.0,2.0,5400.0,42.0,13.0,24.0,2.0,1.0,False,7955
55.0,1.0,19.0,1.0,4700.0,42.0,0.0,35.0,2.0,1.0,True,5746
18.0,2.0,16.0,2.0,2635.0,6.0,17.0,45.0,1.0,1.0,False,3067
52.0,3.0,16.0,1.0,4010.0,42.0,1.0,50.0,2.0,1.0,False,39136
22.0,1.0,20.0,2.0,4720.0,17.0,17.0,10.0,1.0,2.0,False,2854
53.0,1.0,16.0,2.0,4251.0,42.0,0.0,20.0,1.0,1.0,False,49872
40.0,6.0,22.0,1.0,440.0,42.0,0.0,10.0,2.0,1.0,False,48725
21.0,1.0,16.0,1.0,4055.0,42.0,2.0,36.0,1.0,1.0,False,20123
32.0,1.0,14.0,1.0,4720.0,42.0,0.0,30.0,2.0,2.0,False,62973
60.0,1.0,18.0,2.0,3603.0,370.0,5.0,35.0,1.0,2.0,False,52273
33.0,4.0,16.0,1.0,9005.0,42.0,1.0,40.0,1.0,1.0,False,36633
54.0,1.0,20.0,2.0,6230.0,42.0,13.0,40.0,1.0,1.0,False,11435
52.0,1.0,16.0,1.0,6515.0,42.0,0.0,40.0,1.0,1.0,False,21115
51.0,6.0,16.0,1.0,4521.0,42.0,1.0,20.0,2.0,1.0,False,66137
35.0,2.0,20.0,1.0,3323.0,42.0,0.0,40.0,2.0,1.0,False,38370
44.0,1.0,19.0,1.0,710.0,42.0,0.0,45.0,2.0,1.0,True,7646
63.0,1.0,17.0,1.0,8990.0,42.0,1.0,45.0,1.0,1.0,False,50329
31.0,1.0,19.0,2.0,5300.0,25.0,2.0,38.0,2.0,1.0,False,12293
41.0,1.0,19.0,2.0,4040.0,42.0,2.0,40.0,1.0,1.0,False,29730
61.0,1.0,16.0,1.0,6442.0,25.0,1.0,40.0,1.0,1.0,False,64381
19.0,1.0,14.0,2.0,4030.0,42.0,3.0,20.0,1.0,1.0,False,67948
28.0,2.0,22.0,2.0,2002.0,34.0,0.0,40.0,2.0,1.0,False,40122
46.0,1.0,22.0,1.0,20.0,42.0,0.0,50.0,1.0,1.0,True,33202
21.0,1.0,16.0,2.0,9640.0,42.0,2.0,19.0,2.0,1.0,False,39443
19.0,1.0,16.0,2.0,8990.0,329.0,10.0,35.0,2.0,2.0,False,15753
35.0,1.0,21.0,2.0,5740.0,42.0,2.0,35.0,2.0,1.0,False,53421
54.0,1.0,18.0,1.0,7315.0,42.0,1.0,40.0,1.0,1.0,True,13910
63.0,8.0,14.0,1.0,7800.0,42.0,1.0,4.0,2.0,1.0,False,41445
53.0,1.0,19.0,1.0,4110.0,42.0,0.0,18.0,2.0,1.0,False,30421
49.0,1.0,18.0,1.0,3602.0,42.0,1.0,25.0,2.0,1.0,False,15698
30.0,1.0,16.0,2.0,3603.0,42.0,0.0,40.0,2.0,1.0,False,18352
33.0,1.0,21.0,1.0,4700.0,42.0,0.0,48.0,1.0,1.0,True,4531
52.0,1.0,15.0,2.0,9645.0,34.0,10.0,40.0,1.0,2.0,False,53691
47.0,1.0,21.0,1.0,3300.0,42.0,0.0,24.0,2.0,1.0,False,67316
27.0,1.0,20.0,2.0,850.0,34.0,0.0,40.0,2.0,1.0,False,15496
65.0,6.0,22.0,1.0,4621.0,42.0,1.0,5.0,2.0,1.0,True,53106
55.0,1.0,19.0,2.0,9620.0,42.0,0.0,29.0,2.0,1.0,False,11198
58.0,1.0,21.0,1.0,520.0,34.0,0.0,50.0,1.0,1.0,True,15990
52.0,1.0,18.0,1.0,4760.0,34.0,1.0,45.0,1.0,1.0,True,14780
25.0,1.0,21.0,2.0,5860.0,42.0,2.0,20.0,2.0,1.0,False,25415
25.0,1.0,21.0,2.0,3245.0,42.0,2.0,32.0,2.0,1.0,False,28373
48.0,3.0,21.0,1.0,3870.0,42.0,0.0,50.0,1.0,1.0,True,58689
39.0,1.0,23.0,1.0,3050.0,42.0,0.0,40.0,1.0,1.0,True,59136
24.0,1.0,21.0,2.0,4510.0,42.0,2.0,72.0,1.0,2.0,False,37468
43.0,1.0,16.0,1.0,2640.0,42.0,0.0,40.0,2.0,1.0,False,51836
21.0,1.0,16.0,2.0,1970.0,42.0,2.0,50.0,1.0,1.0,True,21457
45.0,1.0,9.0,1.0,4230.0,303.0,0.0,40.0,1.0,1.0,False,16434
45.0,1.0,16.0,1.0,5740.0,42.0,0.0,40.0,2.0,1.0,False,28608
53.0,6.0,16.0,2.0,6230.0,42.0,2.0,20.0,1.0,1.0,False,3539
46.0,1.0,22.0,2.0,710.0,210.0,0.0,50.0,2.0,2.0,True,16390
25.0,1.0,19.0,1.0,310.0,202.0,1.0,35.0,2.0,2.0,True,34904
18.0,1.0,14.0,2.0,4140.0,42.0,2.0,20.0,2.0,1.0,False,13148
22.0,1.0,15.0,2.0,6050.0,42.0,2.0,80.0,1.0,1.0,False,66972
25.0,1.0,19.0,2.0,440.0,42.0,2.0,30.0,2.0,1.0,False,17907
28.0,1.0,16.0,2.0,4720.0,42.0,12.0,20.0,2.0,2.0,False,59186
39.0,2.0,23.0,1.0,3090.0,54.0,0.0,80.0,1.0,1.0,True,38374
44.0,2.0,22.0,2.0,2004.0,42.0,0.0,20.0,2.0,1.0,False,6757
60.0,2.0,16.0,1.0,4020.0,42.0,0.0,30.0,2.0,1.0,False,29714
56.0,1.0,17.0,2.0,4220.0,36.0,13.0,40.0,1.0,1.0,False,19499
34.0,2.0,21.0,1.0,136.0,42.0,1.0,50.0,2.0,1.0,True,33006
25.0,1.0,21.0,2.0,8740.0,34.0,0.0,40.0,2.0,1.0,False,59624
38.0,1.0,23.0,1.0,800.0,42.0,1.0,45.0,1.0,1.0,True,46231
60.0,2.0,20.0,1.0,20.0,39.0,0.0,50.0,1.0,1.0,False,45743
45.0,1.0,21.0,1.0,3050.0,42.0,1.0,40.0,2.0,1.0,True,19478
24.0,1.0,19.0,2.0,4140.0,42.0,2.0,34.0,1.0,1.0,False,32619
41.0,1.0,20.0,1.0,5240.0,42.0,0.0,15.0,2.0,1.0,False,65183
30.0,1.0,16.0,2.0,5610.0,329.0,0.0,40.0,2.0,1.0,False,10838
54.0,1.0,19.0,1.0,4710.0,34.0,0.0,50.0,2.0,1.0,True,3471
18.0,2.0,16.0,2.0,6460.0,42.0,17.0,40.0,1.0,2.0,False,579
20.0,1.0,16.0,2.0,4020.0,42.0,2.0,30.0,1.0,2.0,False,48009
57.0,1.0,16.0,1.0,440.0,42.0,0.0,60.0,1.0,1.0,True,21990
40.0,1.0,17.0,1.0,9620.0,34.0,0.0,50.0,1.0,1.0,False,11432
19.0,1.0,16.0,2.0,9620.0,42.0,2.0,15.0,1.0,1.0,False,67835
31.0,1.0,21.0,2.0,5240.0,42.0,0.0,40.0,2.0,2.0,False,42101
46.0,6.0,18.0,1.0,6230.0,42.0,0.0,32.0,1.0,1.0,False,15493
19.0,1.0,19.0,2.0,4700.0,42.0,0.0,40.0,1.0,1.0,False,17664
64.0,1.0,20.0,2.0,3255.0,42.0,0.0,12.0,2.0,1.0,False,12463
18.0,1.0,18.0,2.0,9620.0,34.0,17.0,35.0,2.0,1.0,False,3155
56.0,1.0,21.0,2.0,4965.0,36.0,0.0,40.0,1.0,1.0,True,23949
43.0,1.0,16.0,1.0,5610.0,42.0,0.0,52.0,1.0,1.0,False,58552
35.0,1.0,16.0,1.0,4710.0,42.0,0.0,40.0,1.0,1.0,True,42789
40.0,1.0,20.0,1.0,9645.0,231.0,0.0,40.0,1.0,2.0,True,9891
40.0,1.0,21.0,1.0,440.0,34.0,0.0,50.0,1.0,1.0,True,7145
