AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
59.0,1.0,21.0,1.0,136.0,42.0,1.0,50.0,1.0,1.0,True
64.0,1.0,21.0,1.0,120.0,26.0,0.0,41.0,1.0,1.0,False
38.0,6.0,20.0,2.0,6230.0,45.0,0.0,20.0,1.0,1.0,False
47.0,7.0,14.0,2.0,7220.0,45.0,13.0,15.0,1.0,1.0,False
39.0,2.0,23.0,1.0,3090.0,20.0,0.0,50.0,1.0,1.0,True
44.0,1.0,19.0,1.0,220.0,45.0,0.0,40.0,1.0,2.0,False
34.0,1.0,16.0,2.0,8720.0,45.0,0.0,40.0,1.0,1.0,True
62.0,4.0,21.0,2.0,2805.0,45.0,0.0,37.0,1.0,1.0,True
30.0,1.0,19.0,2.0,9620.0,233.0,2.0,40.0,1.0,2.0,False
35.0,1.0,19.0,2.0,5630.0,45.0,2.0,53.0,2.0,2.0,False
19.0,5.0,19.0,2.0,9830.0,9.0,17.0,15.0,1.0,1.0,False
25.0,6.0,17.0,2.0,4900.0,45.0,2.0,45.0,2.0,1.0,False
36.0,1.0,14.0,2.0,9645.0,42.0,0.0,33.0,2.0,1.0,False
35.0,1.0,20.0,2.0,3645.0,39.0,0.0,45.0,2.0,2.0,False
32.0,1.0,15.0,2.0,4020.0,51.0,2.0,26.0,2.0,1.0,False
23.0,3.0,20.0,2.0,2320.0,45.0,2.0,40.0,1.0,1.0,False
36.0,1.0,14.0,2.0,6260.0,13.0,16.0,60.0,1.0,1.0,False
20.0,1.0,19.0,2.0,6260.0,9.0,12.0,20.0,1.0,1.0,False
26.0,1.0,15.0,2.0,3603.0,45.0,2.0,40.0,1.0,2.0,False
26.0,6.0,19.0,1.0,2862.0,37.0,1.0,2.0,2.0,1.0,False
20.0,1.0,16.0,2.0,8950.0,45.0,10.0,10.0,1.0,1.0,False
19.0,1.0,19.0,2.0,5240.0,32.0,17.0,25.0,2.0,1.0,False
36.0,2.0,21.0,1.0,3255.0,102.0,0.0,36.0,2.0,1.0,False
53.0,3.0,16.0,2.0,2545.0,45.0,10.0,50.0,2.0,2.0,False
66.0,1.0,16.0,1.0,3930.0,45.0,0.0,40.0,1.0,1.0,False
22.0,1.0,20.0,2.0,8990.0,45.0,2.0,40.0,2.0,1.0,False
29.0,1.0,19.0,2.0,8740.0,22.0,0.0,52.0,1.0,2.0,False
34.0,1.0,23.0,2.0,2100.0,45.0,0.0,40.0,2.0,1.0,False
70.0,1.0,16.0,2.0,9130.0,45.0,0.0,50.0,1.0,2.0,False
42.0,1.0,19.0,1.0,4700.0,45.0,0.0,55.0,2.0,1.0,True
48.0,2.0,16.0,1.0,9645.0,45.0,1.0,40.0,1.0,2.0,False
64.0,1.0,14.0,1.0,7410.0,45.0,0.0,50.0,1.0,1.0,True
67.0,6.0,22.0,2.0,2350.0,45.0,0.0,2.0,2.0,1.0,False
30.0,1.0,21.0,1.0,136.0,13.0,1.0,40.0,2.0,1.0,True
66.0,4.0,22.0,1.0,2435.0,1.0,0.0,40.0,2.0,1.0,False
25.0,1.0,19.0,2.0,7700.0,13.0,2.0,50.0,2.0,2.0,False
64.0,1.0,22.0,1.0,3258.0,45.0,0.0,40.0,2.0,1.0,True
56.0,6.0,16.0,1.0,4521.0,117.0,1.0,20.0,2.0,1.0,False
38.0,1.0,14.0,1.0,4720.0,45.0,0.0,15.0,2.0,2.0,False
59.0,1.0,21.0,1.0,630.0,45.0,1.0,50.0,2.0,2.0,True
41.0,1.0,16.0,1.0,4850.0,45.0,1.0,42.0,1.0,1.0,False
42.0,4.0,22.0,2.0,2205.0,6.0,2.0,40.0,2.0,1.0,False
71.0,6.0,24.0,1.0,1825.0,45.0,0.0,20.0,1.0,1.0,True
63.0,1.0,23.0,2.0,4720.0,36.0,0.0,40.0,1.0,1.0,False
18.0,3.0,16.0,2.0,4720.0,45.0,2.0,30.0,2.0,2.0,False
45.0,1.0,16.0,1.0,8365.0,45.0,0.0,40.0,1.0,1.0,True
36.0,1.0,16.0,2.0,8300.0,303.0,13.0,40.0,2.0,1.0,False
32.0,1.0,21.0,1.0,705.0,45.0,1.0,40.0,2.0,1.0,True
46.0,1.0,12.0,2.0,6230.0,34.0,5.0,35.0,1.0,1.0,False
30.0,5.0,16.0,1.0,9825.0,24.0,0.0,40.0,1.0,1.0,True
