AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
56.0,7.0,19.0,2.0,6260.0,11.0,0.0,45.0,1.0,2.0,True,35211
42.0,1.0,18.0,1.0,4710.0,51.0,0.0,16.0,2.0,1.0,False,8426
37.0,5.0,21.0,1.0,9800.0,42.0,0.0,60.0,1.0,2.0,True,24991
26.0,2.0,18.0,1.0,3421.0,37.0,0.0,30.0,2.0,2.0,False,13967
60.0,7.0,21.0,2.0,800.0,373.0,0.0,40.0,1.0,2.0,False,17487
56.0,1.0,16.0,1.0,2545.0,212.0,1.0,40.0,2.0,1.0,False,43528
33.0,1.0,16.0,2.0,310.0,12.0,13.0,50.0,2.0,1.0,False,40257
48.0,1.0,21.0,1.0,3910.0,51.0,0.0,40.0,1.0,1.0,True,8983
56.0,3.0,22.0,1.0,10.0,6.0,0.0,60.0,1.0,2.0,True,37872
80.0,2.0,24.0,2.0,2320.0,51.0,0.0,12.0,1.0,1.0,True,35141
23.0,1.0,15.0,2.0,8990.0,51.0,2.0,40.0,1.0,1.0,False,9008
40.0,1.0,1.0,1.0,6200.0,37.0,1.0,40.0,1.0,2.0,False,18435
47.0,5.0,16.0,2.0,5550.0,329.0,0.0,40.0,1.0,1.0,True,24041
66.0,5.0,16.0,2.0,4020.0,51.0,0.0,40.0,1.0,2.0,False,10915
66.0,4.0,24.0,1.0,2205.0,243.0,0.0,40.0,1.0,1.0,True,10477
51.0,1.0,1.0,1.0,4010.0,312.0,1.0,60.0,2.0,1.0,False,40369
31.0,5.0,22.0,1.0,530.0,12.0,0.0,40.0,2.0,1.0,True,30338
68.0,7.0,20.0,2.0,6230.0,51.0,0.0,25.0,1.0,1.0,False,27008
48.0,1.0,19.0,1.0,410.0,29.0,12.0,40.0,2.0,1.0,True,7636
27.0,1.0,20.0,1.0,4230.0,51.0,1.0,25.0,2.0,1.0,False,32979
41.0,1.0,21.0,1.0,440.0,36.0,0.0,50.0,1.0,1.0,True,44732
72.0,4.0,22.0,1.0,230.0,34.0,0.0,20.0,1.0,1.0,True,21785
21.0,1.0,19.0,2.0,4720.0,51.0,2.0,15.0,2.0,1.0,False,2605
40.0,1.0,19.0,1.0,9130.0,110.0,16.0,68.0,1.0,1.0,False,946
54.0,4.0,18.0,1.0,140.0,54.0,1.0,50.0,1.0,1.0,True,24712
37.0,1.0,16.0,2.0,9620.0,34.0,13.0,40.0,1.0,2.0,False,43215
71.0,6.0,1.0,1.0,6260.0,210.0,0.0,24.0,1.0,2.0,True,26765
45.0,1.0,17.0,2.0,8140.0,48.0,0.0,55.0,1.0,1.0,False,42439
74.0,3.0,15.0,2.0,4600.0,333.0,6.0,40.0,2.0,2.0,False,40906
21.0,1.0,19.0,2.0,5860.0,17.0,12.0,40.0,2.0,1.0,False,6114
37.0,1.0,20.0,1.0,5740.0,51.0,0.0,40.0,2.0,1.0,False,42761
56.0,5.0,19.0,1.0,9310.0,164.0,1.0,40.0,1.0,1.0,True,8370
41.0,3.0,21.0,1.0,3710.0,51.0,0.0,42.0,1.0,1.0,True,18450
79.0,6.0,16.0,2.0,410.0,51.0,0.0,20.0,1.0,1.0,True,9731
34.0,1.0,22.0,2.0,5240.0,163.0,0.0,42.0,2.0,1.0,False,11461
31.0,1.0,20.0,1.0,3640.0,47.0,0.0,35.0,2.0,1.0,False,8927
34.0,1.0,21.0,2.0,540.0,55.0,2.0,40.0,2.0,1.0,False,42375
35.0,1.0,16.0,2.0,4020.0,51.0,0.0,30.0,1.0,1.0,False,40848
37.0,1.0,12.0,1.0,6355.0,313.0,15.0,40.0,1.0,1.0,False,33138
