AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
38.0,6.0,18.0,1.0,2640.0,301.0,1.0,40.0,2.0,1.0,False,3199
32.0,1.0,20.0,1.0,5240.0,50.0,1.0,40.0,2.0,1.0,False,677
59.0,1.0,16.0,1.0,6442.0,6.0,0.0,48.0,1.0,1.0,True,619
58.0,1.0,18.0,1.0,3602.0,50.0,1.0,12.0,2.0,1.0,False,514
57.0,2.0,21.0,1.0,5120.0,25.0,0.0,30.0,2.0,1.0,False,1166
54.0,1.0,16.0,2.0,7315.0,50.0,0.0,60.0,1.0,1.0,True,3184
53.0,1.0,16.0,1.0,8990.0,50.0,1.0,45.0,2.0,1.0,False,1263
52.0,2.0,20.0,1.0,3255.0,50.0,1.0,35.0,2.0,1.0,True,1589
23.0,2.0,21.0,2.0,4965.0,50.0,5.0,40.0,1.0,1.0,False,3149
38.0,2.0,20.0,2.0,3602.0,50.0,0.0,99.0,2.0,1.0,True,3229
23.0,1.0,16.0,2.0,5300.0,50.0,2.0,30.0,2.0,1.0,False,1158
41.0,1.0,19.0,1.0,310.0,25.0,1.0,50.0,1.0,1.0,False,693
31.0,1.0,16.0,2.0,3421.0,50.0,13.0,40.0,2.0,1.0,False,2738
40.0,1.0,19.0,1.0,8740.0,50.0,1.0,60.0,1.0,1.0,True,2275
54.0,7.0,16.0,2.0,205.0,50.0,0.0,75.0,1.0,1.0,True,2324
71.0,1.0,17.0,2.0,4251.0,9.0,0.0,21.0,1.0,1.0,False,2211
57.0,8.0,16.0,1.0,6230.0,50.0,0.0,50.0,1.0,1.0,False,1049
57.0,3.0,16.0,1.0,6305.0,50.0,0.0,40.0,1.0,1.0,True,2473
58.0,1.0,16.0,1.0,7340.0,50.0,0.0,42.0,1.0,1.0,True,303
65.0,6.0,20.0,1.0,8255.0,50.0,1.0,40.0,1.0,1.0,False,2557
72.0,1.0,18.0,1.0,2634.0,34.0,1.0,30.0,1.0,1.0,True,3122
28.0,1.0,16.0,2.0,4760.0,50.0,13.0,6.0,2.0,1.0,False,2311
38.0,1.0,19.0,1.0,7200.0,50.0,1.0,40.0,1.0,1.0,False,3684
47.0,1.0,18.0,2.0,4010.0,50.0,5.0,50.0,1.0,1.0,False,1763
54.0,1.0,17.0,1.0,160.0,50.0,15.0,40.0,2.0,1.0,True,1601
24.0,2.0,21.0,2.0,3645.0,50.0,15.0,40.0,2.0,1.0,False,3058
37.0,2.0,16.0,1.0,5740.0,49.0,1.0,40.0,2.0,1.0,False,498
33.0,1.0,16.0,1.0,4230.0,6.0,0.0,25.0,1.0,2.0,False,2893
27.0,2.0,20.0,1.0,5740.0,50.0,0.0,40.0,2.0,1.0,False,2441
67.0,1.0,21.0,1.0,2636.0,36.0,0.0,40.0,1.0,1.0,True,2500
60.0,5.0,16.0,2.0,5120.0,50.0,0.0,40.0,2.0,1.0,False,2076
54.0,7.0,20.0,1.0,4710.0,50.0,0.0,60.0,1.0,1.0,False,3337
62.0,6.0,19.0,2.0,4210.0,24.0,0.0,10.0,1.0,1.0,False,2586
56.0,7.0,22.0,1.0,440.0,36.0,1.0,50.0,2.0,1.0,False,1012
36.0,1.0,13.0,2.0,6330.0,33.0,2.0,50.0,1.0,2.0,False,1205
63.0,2.0,22.0,1.0,230.0,50.0,0.0,40.0,2.0,1.0,True,2126
67.0,6.0,20.0,2.0,4251.0,36.0,0.0,3.0,2.0,1.0,False,3241
64.0,6.0,19.0,2.0,2310.0,50.0,0.0,20.0,1.0,1.0,False,3395
44.0,3.0,22.0,1.0,2320.0,50.0,0.0,55.0,1.0,1.0,True,2273
48.0,1.0,16.0,2.0,850.0,50.0,2.0,40.0,1.0,1.0,True,1862
22.0,1.0,16.0,2.0,9645.0,25.0,5.0,40.0,1.0,1.0,False,2703
66.0,2.0,21.0,2.0,3255.0,25.0,12.0,50.0,1.0,1.0,False,1777
59.0,8.0,22.0,1.0,6050.0,50.0,0.0,45.0,2.0,1.0,False,424
43.0,1.0,21.0,1.0,1022.0,50.0,0.0,41.0,1.0,1.0,False,3116
27.0,1.0,17.0,2.0,4700.0,50.0,2.0,40.0,1.0,1.0,False,1983
56.0,6.0,22.0,1.0,1825.0,109.0,0.0,32.0,1.0,1.0,True,1608
29.0,1.0,15.0,2.0,9645.0,34.0,4.0,10.0,1.0,1.0,False,444
53.0,1.0,21.0,2.0,310.0,25.0,0.0,60.0,2.0,1.0,False,3076
52.0,2.0,21.0,1.0,5740.0,25.0,0.0,55.0,2.0,1.0,False,1689
39.0,2.0,22.0,1.0,5940.0,36.0,1.0,15.0,2.0,1.0,False,617
60.0,1.0,16.0,2.0,4040.0,33.0,0.0,20.0,2.0,1.0,False,470
20.0,1.0,18.0,2.0,4760.0,44.0,17.0,12.0,2.0,1.0,False,68
52.0,1.0,22.0,1.0,2722.0,25.0,1.0,35.0,1.0,1.0,False,3276
58.0,8.0,21.0,1.0,800.0,34.0,0.0,20.0,2.0,1.0,False,1443
47.0,1.0,21.0,1.0,3323.0,6.0,0.0,38.0,1.0,1.0,False,621
62.0,2.0,21.0,1.0,420.0,25.0,0.0,35.0,2.0,1.0,False,3507
37.0,1.0,20.0,2.0,7640.0,50.0,2.0,50.0,1.0,1.0,False,2401
28.0,2.0,18.0,2.0,2016.0,50.0,0.0,40.0,2.0,1.0,False,2876
44.0,6.0,18.0,1.0,7340.0,50.0,1.0,37.0,1.0,1.0,False,1869
21.0,1.0,19.0,2.0,1021.0,8.0,0.0,10.0,1.0,1.0,False,919
63.0,2.0,23.0,1.0,3090.0,44.0,0.0,60.0,1.0,1.0,True,1855
17.0,1.0,13.0,2.0,4130.0,25.0,2.0,10.0,1.0,1.0,False,2422
57.0,1.0,16.0,2.0,4700.0,50.0,0.0,39.0,1.0,1.0,False,1462
54.0,1.0,12.0,1.0,9620.0,36.0,1.0,40.0,2.0,1.0,False,1717
55.0,4.0,22.0,2.0,420.0,36.0,0.0,40.0,2.0,1.0,True,2200
19.0,1.0,16.0,2.0,9645.0,50.0,2.0,30.0,1.0,1.0,False,1387
43.0,6.0,19.0,1.0,4600.0,50.0,0.0,50.0,2.0,1.0,False,1907
63.0,4.0,22.0,1.0,2205.0,26.0,1.0,50.0,2.0,1.0,False,1315
40.0,1.0,21.0,2.0,1021.0,50.0,0.0,43.0,2.0,1.0,True,1097
56.0,1.0,21.0,2.0,150.0,50.0,0.0,40.0,1.0,1.0,False,743
33.0,1.0,20.0,1.0,6200.0,50.0,1.0,50.0,1.0,1.0,False,3037
22.0,1.0,23.0,1.0,8990.0,37.0,15.0,20.0,1.0,1.0,False,1635
37.0,2.0,19.0,1.0,6355.0,50.0,0.0,40.0,1.0,1.0,False,1244
58.0,1.0,21.0,1.0,110.0,50.0,0.0,40.0,1.0,1.0,True,3323
47.0,1.0,19.0,1.0,4700.0,36.0,0.0,50.0,1.0,1.0,False,3084
64.0,1.0,20.0,1.0,5740.0,9.0,0.0,20.0,2.0,1.0,False,3235
36.0,1.0,21.0,2.0,9130.0,50.0,0.0,45.0,1.0,1.0,True,2986
27.0,1.0,20.0,1.0,3322.0,27.0,1.0,80.0,2.0,1.0,True,769
22.0,2.0,16.0,2.0,5740.0,150.0,17.0,10.0,2.0,1.0,False,48
63.0,1.0,20.0,1.0,3930.0,25.0,0.0,38.0,1.0,1.0,False,878
18.0,1.0,16.0,2.0,9620.0,42.0,17.0,12.0,1.0,1.0,False,122
70.0,2.0,23.0,1.0,3090.0,38.0,0.0,16.0,1.0,1.0,False,2728
18.0,1.0,15.0,2.0,4760.0,50.0,2.0,6.0,2.0,1.0,False,3518
58.0,3.0,21.0,1.0,2310.0,50.0,1.0,40.0,2.0,1.0,True,2707
43.0,3.0,16.0,1.0,4220.0,25.0,0.0,40.0,1.0,1.0,True,2055
42.0,1.0,16.0,1.0,5600.0,50.0,0.0,43.0,2.0,1.0,True,1064
68.0,4.0,22.0,1.0,1610.0,10.0,0.0,40.0,1.0,1.0,False,2164
43.0,1.0,16.0,1.0,1360.0,50.0,1.0,40.0,1.0,1.0,True,2535
46.0,4.0,16.0,2.0,4220.0,50.0,16.0,48.0,1.0,1.0,False,78
22.0,1.0,21.0,2.0,7800.0,25.0,13.0,40.0,2.0,1.0,False,2379
35.0,1.0,20.0,1.0,5120.0,53.0,0.0,40.0,2.0,1.0,False,2016
18.0,1.0,18.0,2.0,4110.0,23.0,17.0,50.0,2.0,1.0,False,178
64.0,2.0,22.0,2.0,2752.0,50.0,0.0,2.0,1.0,1.0,True,3520
30.0,1.0,16.0,2.0,4040.0,50.0,10.0,52.0,1.0,1.0,False,720
64.0,1.0,21.0,1.0,800.0,50.0,0.0,40.0,1.0,1.0,True,2282
71.0,4.0,22.0,1.0,10.0,42.0,0.0,40.0,1.0,1.0,True,966
53.0,1.0,19.0,1.0,4710.0,303.0,1.0,48.0,1.0,1.0,True,3588
39.0,3.0,21.0,1.0,2435.0,39.0,1.0,40.0,2.0,1.0,False,1307
42.0,1.0,20.0,1.0,4700.0,34.0,0.0,40.0,1.0,1.0,False,2280
54.0,6.0,16.0,2.0,4920.0,33.0,0.0,45.0,1.0,1.0,True,2696
62.0,6.0,21.0,1.0,205.0,25.0,0.0,55.0,1.0,1.0,False,578
