AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
26.0,1.0,16.0,1.0,1545.0,55.0,0.0,48.0,1.0,1.0,True,26613
56.0,1.0,23.0,1.0,2100.0,47.0,1.0,12.0,2.0,1.0,False,6941
63.0,2.0,22.0,1.0,10.0,55.0,1.0,40.0,1.0,1.0,True,9700
58.0,1.0,24.0,2.0,3110.0,8.0,0.0,55.0,2.0,1.0,True,31464
58.0,1.0,13.0,1.0,440.0,55.0,1.0,36.0,2.0,1.0,False,1747
56.0,1.0,20.0,1.0,4810.0,55.0,1.0,40.0,2.0,1.0,False,15709
55.0,6.0,1.0,1.0,9130.0,303.0,6.0,25.0,1.0,2.0,False,22829
53.0,3.0,21.0,1.0,1610.0,55.0,0.0,40.0,1.0,2.0,False,10146
70.0,7.0,16.0,1.0,3602.0,27.0,1.0,50.0,2.0,1.0,True,8877
40.0,1.0,20.0,1.0,1555.0,55.0,0.0,40.0,2.0,1.0,True,17274
54.0,1.0,21.0,2.0,4850.0,27.0,0.0,40.0,1.0,1.0,False,29405
30.0,4.0,22.0,1.0,2310.0,55.0,0.0,60.0,1.0,1.0,True,3914
23.0,1.0,21.0,2.0,1610.0,16.0,0.0,55.0,2.0,1.0,False,13363
36.0,1.0,21.0,1.0,5330.0,27.0,0.0,45.0,1.0,1.0,True,9127
21.0,2.0,19.0,2.0,2555.0,17.0,17.0,15.0,1.0,1.0,False,285
42.0,1.0,21.0,1.0,440.0,22.0,0.0,50.0,1.0,1.0,True,3939
40.0,1.0,17.0,2.0,205.0,55.0,0.0,20.0,1.0,1.0,False,3691
63.0,1.0,16.0,1.0,9121.0,55.0,1.0,15.0,1.0,1.0,False,14614
53.0,1.0,20.0,1.0,1010.0,17.0,0.0,45.0,2.0,1.0,True,19803
71.0,3.0,21.0,1.0,9121.0,20.0,0.0,50.0,1.0,1.0,False,29088
56.0,2.0,16.0,2.0,4230.0,55.0,0.0,40.0,2.0,1.0,False,10256
59.0,1.0,16.0,1.0,4700.0,55.0,1.0,19.0,2.0,1.0,False,20330
29.0,4.0,22.0,1.0,2310.0,55.0,1.0,38.0,2.0,1.0,False,14597
52.0,1.0,20.0,1.0,3610.0,55.0,0.0,40.0,1.0,1.0,False,14892
63.0,7.0,16.0,1.0,5740.0,55.0,0.0,10.0,2.0,1.0,False,4796
51.0,3.0,16.0,1.0,5810.0,20.0,1.0,42.0,2.0,1.0,False,22675
55.0,1.0,21.0,1.0,705.0,55.0,1.0,50.0,1.0,1.0,True,10660
38.0,1.0,16.0,1.0,9620.0,55.0,1.0,40.0,2.0,1.0,False,22598
33.0,4.0,21.0,1.0,2310.0,55.0,1.0,70.0,1.0,1.0,False,15463
57.0,1.0,16.0,1.0,3602.0,55.0,1.0,32.0,2.0,1.0,False,14807
57.0,1.0,19.0,1.0,5260.0,55.0,1.0,35.0,2.0,1.0,False,22612
64.0,1.0,16.0,1.0,710.0,229.0,6.0,20.0,1.0,2.0,False,15082
41.0,1.0,19.0,2.0,4020.0,55.0,0.0,30.0,2.0,1.0,False,9289
61.0,2.0,11.0,2.0,7750.0,55.0,17.0,18.0,2.0,1.0,False,238
36.0,1.0,16.0,1.0,4700.0,55.0,0.0,45.0,1.0,1.0,True,19553
