AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
34.0,2.0,22.0,1.0,2006.0,8.0,0.0,35.0,2.0,1.0,False,2035
40.0,1.0,20.0,2.0,150.0,32.0,12.0,20.0,2.0,1.0,False,287
67.0,3.0,17.0,2.0,2545.0,56.0,0.0,29.0,2.0,2.0,False,1095
20.0,1.0,20.0,2.0,3645.0,303.0,2.0,40.0,2.0,2.0,False,2992
31.0,6.0,17.0,2.0,9610.0,56.0,15.0,65.0,1.0,1.0,False,180
57.0,1.0,19.0,1.0,9410.0,49.0,0.0,40.0,1.0,1.0,True,250
33.0,1.0,21.0,2.0,4040.0,56.0,0.0,15.0,2.0,1.0,False,629
68.0,2.0,19.0,1.0,2040.0,1.0,0.0,2.0,1.0,1.0,False,1475
61.0,1.0,16.0,1.0,6200.0,48.0,1.0,50.0,1.0,1.0,True,2070
61.0,2.0,19.0,1.0,7210.0,56.0,1.0,40.0,1.0,1.0,True,1622
47.0,4.0,18.0,1.0,6200.0,26.0,0.0,40.0,1.0,1.0,True,2520
33.0,5.0,21.0,2.0,9800.0,4.0,13.0,45.0,2.0,1.0,False,862
20.0,1.0,16.0,2.0,6260.0,56.0,2.0,50.0,1.0,1.0,False,407
27.0,1.0,19.0,2.0,9130.0,39.0,13.0,40.0,1.0,1.0,True,1384
20.0,1.0,19.0,2.0,4020.0,56.0,17.0,20.0,1.0,1.0,False,70
18.0,1.0,16.0,2.0,4150.0,8.0,17.0,15.0,2.0,1.0,False,68
58.0,1.0,20.0,1.0,205.0,56.0,1.0,30.0,1.0,1.0,False,1144
39.0,1.0,16.0,1.0,20.0,16.0,0.0,60.0,1.0,1.0,True,2653
31.0,2.0,19.0,2.0,5740.0,4.0,0.0,40.0,2.0,1.0,False,2709
39.0,1.0,16.0,1.0,9620.0,49.0,1.0,40.0,1.0,1.0,True,2390
28.0,1.0,20.0,2.0,7330.0,56.0,0.0,60.0,1.0,1.0,True,2803
31.0,1.0,23.0,1.0,3255.0,56.0,1.0,25.0,2.0,1.0,False,1061
58.0,1.0,14.0,1.0,6220.0,19.0,1.0,40.0,1.0,1.0,False,2962
32.0,3.0,21.0,1.0,2320.0,56.0,1.0,40.0,1.0,1.0,True,2647
22.0,1.0,16.0,2.0,4110.0,6.0,13.0,35.0,2.0,1.0,False,179
17.0,6.0,14.0,2.0,6260.0,56.0,2.0,20.0,1.0,1.0,False,408
62.0,1.0,21.0,1.0,4622.0,24.0,1.0,40.0,2.0,1.0,False,699
50.0,1.0,21.0,1.0,800.0,42.0,0.0,42.0,2.0,1.0,True,2822
29.0,1.0,16.0,2.0,4020.0,12.0,2.0,40.0,1.0,1.0,False,1401
42.0,1.0,19.0,1.0,4850.0,38.0,0.0,40.0,1.0,1.0,True,2492
45.0,1.0,21.0,1.0,4850.0,56.0,1.0,40.0,2.0,1.0,True,483
30.0,1.0,21.0,2.0,440.0,56.0,0.0,40.0,1.0,1.0,False,193
47.0,1.0,24.0,1.0,2205.0,30.0,1.0,45.0,1.0,1.0,True,2829
50.0,1.0,20.0,2.0,530.0,49.0,0.0,45.0,2.0,1.0,True,2858
18.0,1.0,18.0,2.0,4760.0,8.0,17.0,15.0,1.0,2.0,False,47
77.0,7.0,16.0,2.0,4950.0,56.0,0.0,40.0,1.0,1.0,True,900
48.0,4.0,16.0,1.0,110.0,56.0,1.0,40.0,1.0,1.0,True,2720
59.0,1.0,16.0,2.0,120.0,53.0,0.0,40.0,2.0,1.0,True,1320
49.0,2.0,21.0,1.0,10.0,138.0,1.0,45.0,2.0,1.0,True,2375
19.0,1.0,18.0,2.0,4030.0,56.0,2.0,15.0,1.0,1.0,False,955
61.0,1.0,17.0,1.0,9150.0,53.0,0.0,36.0,1.0,1.0,False,455
22.0,1.0,16.0,2.0,2300.0,48.0,12.0,20.0,2.0,1.0,False,399
19.0,1.0,16.0,2.0,6050.0,56.0,0.0,40.0,1.0,1.0,False,539
50.0,5.0,18.0,2.0,3649.0,16.0,13.0,36.0,2.0,1.0,False,2958
53.0,1.0,20.0,1.0,9760.0,56.0,2.0,10.0,1.0,1.0,False,469
39.0,1.0,22.0,2.0,2205.0,48.0,0.0,20.0,2.0,1.0,False,403
43.0,1.0,21.0,1.0,205.0,56.0,1.0,60.0,1.0,1.0,True,1508
35.0,1.0,21.0,2.0,4760.0,31.0,12.0,35.0,2.0,1.0,True,1081
51.0,7.0,18.0,2.0,4350.0,40.0,15.0,30.0,2.0,2.0,False,2636
51.0,2.0,16.0,1.0,5740.0,48.0,0.0,25.0,2.0,1.0,False,225
67.0,4.0,19.0,1.0,1541.0,56.0,0.0,4.0,1.0,1.0,True,1419
69.0,3.0,16.0,1.0,9121.0,37.0,0.0,40.0,1.0,2.0,True,305
