AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
41.0,2.0,22.0,1.0,2310.0,110.0,1.0,50.0,2.0,1.0,False,12002
60.0,2.0,21.0,1.0,5300.0,17.0,1.0,40.0,2.0,1.0,False,10832
61.0,4.0,17.0,2.0,4120.0,6.0,0.0,40.0,2.0,1.0,False,7456
40.0,1.0,19.0,1.0,4020.0,21.0,1.0,36.0,2.0,5.0,False,6042
35.0,4.0,22.0,1.0,2100.0,5.0,1.0,40.0,1.0,1.0,True,13927
44.0,1.0,21.0,1.0,440.0,26.0,0.0,55.0,1.0,1.0,True,12789
37.0,1.0,21.0,1.0,3255.0,303.0,1.0,20.0,2.0,1.0,False,4691
62.0,1.0,16.0,1.0,8990.0,5.0,0.0,40.0,1.0,1.0,False,5557
52.0,1.0,19.0,1.0,8800.0,6.0,0.0,40.0,1.0,4.0,False,11304
30.0,1.0,19.0,1.0,7200.0,2.0,0.0,40.0,1.0,1.0,False,13055
42.0,1.0,16.0,2.0,5810.0,5.0,0.0,40.0,2.0,1.0,False,2846
35.0,1.0,19.0,1.0,5740.0,5.0,1.0,40.0,2.0,5.0,False,9869
28.0,1.0,22.0,1.0,3150.0,6.0,1.0,43.0,2.0,1.0,True,2436
23.0,1.0,16.0,2.0,4720.0,48.0,2.0,15.0,2.0,1.0,False,9432
26.0,1.0,20.0,2.0,8740.0,5.0,0.0,37.0,2.0,1.0,False,7140
50.0,1.0,21.0,2.0,5000.0,27.0,0.0,40.0,2.0,1.0,False,13312
55.0,1.0,19.0,2.0,440.0,5.0,0.0,50.0,1.0,1.0,False,2672
62.0,5.0,17.0,1.0,5550.0,48.0,1.0,40.0,1.0,1.0,True,3208
35.0,1.0,19.0,2.0,3640.0,5.0,12.0,40.0,2.0,1.0,False,9885
42.0,1.0,17.0,2.0,7700.0,5.0,0.0,39.0,1.0,1.0,False,7057
27.0,1.0,21.0,1.0,1460.0,20.0,0.0,40.0,1.0,1.0,False,1322
37.0,1.0,19.0,2.0,4220.0,5.0,0.0,40.0,1.0,2.0,False,13090
63.0,1.0,19.0,2.0,4760.0,126.0,11.0,50.0,1.0,1.0,False,10766
29.0,1.0,21.0,1.0,3255.0,5.0,0.0,40.0,2.0,1.0,False,2355
45.0,1.0,16.0,1.0,3640.0,45.0,1.0,34.0,2.0,1.0,False,2156
52.0,1.0,16.0,1.0,9645.0,8.0,0.0,40.0,1.0,1.0,False,3273
30.0,1.0,22.0,1.0,1650.0,55.0,0.0,40.0,2.0,1.0,True,13765
43.0,1.0,19.0,2.0,7020.0,13.0,0.0,60.0,1.0,1.0,True,7661
68.0,3.0,16.0,2.0,5240.0,5.0,0.0,40.0,2.0,1.0,False,1372
39.0,1.0,21.0,1.0,5110.0,5.0,0.0,40.0,1.0,1.0,False,4234
63.0,1.0,16.0,1.0,8225.0,5.0,1.0,40.0,1.0,1.0,True,9460
37.0,1.0,20.0,1.0,4720.0,5.0,0.0,40.0,2.0,1.0,True,12381
23.0,1.0,21.0,2.0,4150.0,5.0,0.0,36.0,2.0,1.0,False,3994
46.0,3.0,22.0,1.0,2320.0,6.0,0.0,40.0,2.0,1.0,True,7873
45.0,1.0,20.0,2.0,7430.0,20.0,12.0,40.0,1.0,1.0,True,6692
76.0,4.0,16.0,1.0,4020.0,5.0,1.0,40.0,2.0,1.0,False,7006
49.0,1.0,20.0,1.0,350.0,22.0,1.0,40.0,2.0,1.0,True,9068
59.0,7.0,23.0,2.0,2100.0,40.0,0.0,40.0,1.0,4.0,True,13240
57.0,1.0,16.0,1.0,136.0,301.0,0.0,40.0,2.0,1.0,False,4630
59.0,1.0,22.0,1.0,2300.0,29.0,1.0,37.0,2.0,1.0,False,12299
57.0,1.0,21.0,1.0,440.0,5.0,0.0,50.0,1.0,1.0,True,10945
64.0,7.0,19.0,2.0,205.0,5.0,0.0,60.0,1.0,1.0,False,13455
51.0,6.0,21.0,1.0,4700.0,48.0,1.0,40.0,2.0,1.0,True,611
42.0,1.0,16.0,2.0,9600.0,47.0,0.0,40.0,1.0,1.0,True,8854
47.0,4.0,21.0,1.0,2320.0,29.0,1.0,50.0,1.0,1.0,False,13773
42.0,1.0,16.0,2.0,5740.0,5.0,0.0,50.0,1.0,1.0,True,12348
65.0,6.0,21.0,1.0,6260.0,36.0,0.0,8.0,1.0,1.0,False,5341
73.0,1.0,10.0,1.0,6305.0,5.0,0.0,40.0,1.0,1.0,True,11011
24.0,4.0,20.0,2.0,3725.0,5.0,5.0,60.0,2.0,2.0,False,7543
