AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
52.0,1.0,20.0,2.0,9645.0,34.0,13.0,40.0,1.0,1.0,True,28968
54.0,1.0,15.0,2.0,4110.0,39.0,0.0,35.0,2.0,1.0,False,10221
45.0,2.0,22.0,1.0,2040.0,27.0,1.0,45.0,1.0,1.0,True,29913
51.0,3.0,21.0,1.0,2310.0,18.0,1.0,40.0,2.0,1.0,False,22314
40.0,1.0,22.0,1.0,3230.0,36.0,1.0,20.0,2.0,1.0,False,32266
17.0,1.0,14.0,2.0,4110.0,6.0,2.0,15.0,1.0,1.0,False,3607
41.0,5.0,21.0,1.0,705.0,42.0,0.0,50.0,1.0,1.0,True,1254
42.0,1.0,22.0,1.0,910.0,6.0,1.0,55.0,2.0,1.0,True,4759
33.0,1.0,16.0,1.0,4720.0,303.0,0.0,39.0,2.0,5.0,True,3049
41.0,3.0,22.0,2.0,630.0,12.0,0.0,40.0,1.0,2.0,True,30390
24.0,1.0,16.0,2.0,5810.0,49.0,10.0,30.0,1.0,5.0,False,16246
75.0,1.0,16.0,2.0,5740.0,26.0,0.0,25.0,2.0,1.0,False,10922
68.0,1.0,19.0,2.0,4760.0,17.0,0.0,37.0,1.0,1.0,False,16337
34.0,1.0,16.0,1.0,1108.0,4.0,1.0,50.0,2.0,1.0,True,13036
59.0,7.0,19.0,1.0,440.0,17.0,0.0,45.0,1.0,1.0,True,32719
30.0,4.0,24.0,1.0,1760.0,6.0,0.0,40.0,2.0,1.0,False,17552
62.0,1.0,21.0,1.0,1410.0,42.0,1.0,50.0,1.0,1.0,True,2616
37.0,2.0,17.0,2.0,3255.0,150.0,13.0,36.0,2.0,1.0,True,27104
51.0,1.0,21.0,1.0,2300.0,24.0,0.0,40.0,2.0,1.0,False,12686
59.0,1.0,16.0,1.0,4720.0,4.0,1.0,20.0,2.0,5.0,False,13579
56.0,3.0,21.0,2.0,5240.0,26.0,0.0,30.0,2.0,1.0,False,10371
20.0,1.0,16.0,2.0,5240.0,4.0,2.0,8.0,2.0,1.0,False,17517
24.0,3.0,16.0,1.0,3802.0,4.0,15.0,10.0,1.0,4.0,False,23543
49.0,1.0,19.0,1.0,7315.0,209.0,0.0,40.0,1.0,3.0,False,11594
21.0,1.0,17.0,2.0,4710.0,36.0,2.0,50.0,2.0,1.0,True,13444
25.0,1.0,16.0,2.0,4030.0,6.0,13.0,15.0,1.0,5.0,False,2289
40.0,1.0,15.0,1.0,9600.0,4.0,9.0,40.0,1.0,1.0,False,5316
18.0,2.0,19.0,2.0,4600.0,4.0,2.0,3.0,2.0,1.0,False,28068
35.0,4.0,17.0,2.0,5610.0,6.0,17.0,40.0,1.0,1.0,False,239
25.0,5.0,20.0,2.0,3945.0,4.0,13.0,40.0,2.0,1.0,False,30484
24.0,1.0,16.0,2.0,4110.0,4.0,2.0,30.0,1.0,1.0,False,18355
65.0,1.0,14.0,2.0,7330.0,4.0,0.0,60.0,1.0,1.0,False,3800
39.0,1.0,18.0,2.0,4700.0,4.0,0.0,36.0,2.0,4.0,False,31057
53.0,1.0,17.0,1.0,6230.0,4.0,0.0,40.0,1.0,5.0,False,20644
42.0,1.0,18.0,1.0,4850.0,132.0,0.0,1.0,1.0,1.0,False,4915
33.0,1.0,20.0,2.0,9620.0,36.0,0.0,40.0,1.0,1.0,False,25375
33.0,4.0,22.0,1.0,3030.0,49.0,0.0,40.0,1.0,1.0,False,11729
39.0,7.0,16.0,2.0,4220.0,4.0,13.0,40.0,1.0,5.0,False,6306
45.0,1.0,18.0,1.0,7420.0,19.0,1.0,50.0,1.0,1.0,True,21943
38.0,2.0,21.0,1.0,5000.0,36.0,1.0,40.0,2.0,1.0,True,11707
22.0,1.0,12.0,2.0,4720.0,4.0,2.0,30.0,2.0,5.0,False,4444
25.0,1.0,14.0,2.0,4700.0,303.0,10.0,40.0,1.0,1.0,False,6366
83.0,6.0,16.0,2.0,4350.0,42.0,0.0,12.0,2.0,1.0,False,32557
58.0,1.0,21.0,2.0,800.0,46.0,0.0,40.0,2.0,1.0,True,32763
53.0,4.0,20.0,1.0,5320.0,35.0,1.0,39.0,2.0,1.0,False,16682
35.0,1.0,16.0,1.0,1970.0,34.0,1.0,24.0,2.0,1.0,False,23902
58.0,1.0,19.0,1.0,5400.0,4.0,0.0,40.0,2.0,1.0,False,7404
19.0,1.0,16.0,2.0,4130.0,4.0,2.0,30.0,1.0,1.0,False,7953
42.0,1.0,17.0,1.0,800.0,4.0,0.0,40.0,2.0,1.0,False,1810
34.0,1.0,22.0,2.0,9050.0,25.0,0.0,30.0,2.0,1.0,False,4452
55.0,1.0,16.0,2.0,8800.0,4.0,0.0,32.0,2.0,1.0,False,7066
28.0,6.0,19.0,1.0,4920.0,4.0,0.0,50.0,2.0,1.0,False,17866
31.0,1.0,16.0,2.0,3930.0,4.0,13.0,40.0,1.0,1.0,False,19048
65.0,3.0,23.0,2.0,2100.0,17.0,0.0,2.0,1.0,1.0,False,29867
22.0,1.0,18.0,2.0,310.0,4.0,13.0,49.0,2.0,1.0,False,8296
56.0,1.0,20.0,2.0,8225.0,303.0,0.0,45.0,1.0,1.0,False,3647
65.0,1.0,23.0,1.0,3090.0,6.0,0.0,12.0,2.0,1.0,True,31597
24.0,1.0,12.0,1.0,4020.0,6.0,2.0,30.0,1.0,1.0,False,8261
19.0,1.0,19.0,2.0,4220.0,25.0,11.0,40.0,1.0,1.0,False,14304
53.0,2.0,19.0,1.0,5400.0,6.0,1.0,20.0,2.0,1.0,False,15388
47.0,7.0,21.0,1.0,710.0,17.0,0.0,4.0,2.0,1.0,False,7549
25.0,1.0,13.0,2.0,6442.0,4.0,15.0,50.0,1.0,1.0,False,1299
27.0,1.0,16.0,1.0,6441.0,303.0,1.0,40.0,1.0,1.0,False,13670
27.0,1.0,19.0,2.0,5240.0,4.0,0.0,40.0,1.0,5.0,False,26262
36.0,3.0,24.0,2.0,2205.0,23.0,0.0,40.0,1.0,1.0,False,15979
27.0,1.0,20.0,2.0,750.0,4.0,0.0,40.0,2.0,1.0,True,6095
48.0,1.0,16.0,1.0,310.0,303.0,0.0,50.0,1.0,5.0,False,14438
59.0,2.0,20.0,1.0,5740.0,25.0,0.0,20.0,2.0,1.0,False,30942
31.0,1.0,19.0,1.0,340.0,12.0,0.0,70.0,1.0,1.0,True,3989
45.0,1.0,10.0,1.0,4251.0,303.0,6.0,40.0,1.0,1.0,False,25482
31.0,1.0,21.0,2.0,3255.0,31.0,2.0,36.0,2.0,1.0,True,10888
51.0,1.0,16.0,2.0,5100.0,303.0,0.0,40.0,2.0,1.0,False,32973
27.0,7.0,20.0,1.0,735.0,48.0,0.0,30.0,2.0,1.0,False,10179
29.0,6.0,21.0,2.0,2310.0,4.0,0.0,50.0,2.0,1.0,False,27267
68.0,1.0,21.0,2.0,4110.0,39.0,0.0,17.0,2.0,1.0,False,9861
19.0,1.0,18.0,2.0,5240.0,35.0,2.0,12.0,1.0,1.0,False,7600
29.0,1.0,16.0,2.0,9620.0,4.0,2.0,50.0,1.0,1.0,False,23947
41.0,5.0,19.0,1.0,5560.0,4.0,1.0,40.0,2.0,1.0,False,4176
30.0,1.0,24.0,1.0,3160.0,4.0,1.0,45.0,1.0,1.0,True,21263
40.0,1.0,20.0,2.0,5740.0,38.0,0.0,40.0,2.0,1.0,False,32345
38.0,1.0,17.0,2.0,5610.0,303.0,0.0,40.0,2.0,1.0,False,3237
48.0,1.0,19.0,1.0,7200.0,6.0,0.0,40.0,1.0,1.0,False,2659
34.0,1.0,18.0,1.0,5840.0,4.0,0.0,37.0,2.0,1.0,False,19319
21.0,1.0,16.0,2.0,4055.0,4.0,0.0,35.0,2.0,1.0,False,14497
53.0,1.0,19.0,1.0,5850.0,4.0,1.0,25.0,2.0,1.0,False,23712
45.0,5.0,20.0,2.0,1050.0,6.0,0.0,45.0,1.0,1.0,True,26224
