AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
62.0,1.0,6.0,2.0,4220.0,303.0,0.0,40.0,2.0,1.0,False
41.0,6.0,23.0,1.0,2100.0,37.0,0.0,50.0,2.0,2.0,False
60.0,1.0,19.0,1.0,2545.0,21.0,1.0,40.0,2.0,1.0,False
20.0,1.0,13.0,2.0,4055.0,13.0,7.0,35.0,2.0,1.0,False
58.0,7.0,22.0,1.0,710.0,51.0,0.0,50.0,2.0,1.0,True
59.0,1.0,16.0,1.0,4965.0,13.0,0.0,48.0,1.0,2.0,False
48.0,2.0,21.0,1.0,2025.0,34.0,1.0,40.0,1.0,1.0,True
54.0,1.0,21.0,2.0,4710.0,13.0,2.0,40.0,1.0,2.0,False
49.0,1.0,22.0,1.0,630.0,13.0,1.0,50.0,1.0,1.0,True
57.0,1.0,18.0,1.0,9600.0,41.0,0.0,40.0,1.0,1.0,False
40.0,1.0,19.0,1.0,630.0,12.0,1.0,60.0,1.0,1.0,True
26.0,4.0,21.0,2.0,2310.0,34.0,0.0,40.0,2.0,2.0,False
38.0,1.0,16.0,2.0,1021.0,42.0,13.0,50.0,1.0,1.0,True
38.0,1.0,19.0,2.0,630.0,368.0,0.0,40.0,1.0,2.0,True
33.0,1.0,22.0,1.0,800.0,6.0,0.0,40.0,2.0,1.0,True
58.0,4.0,24.0,2.0,2310.0,13.0,0.0,40.0,2.0,1.0,True
56.0,1.0,17.0,1.0,9645.0,1.0,0.0,40.0,2.0,1.0,False
26.0,1.0,11.0,2.0,7855.0,38.0,13.0,40.0,1.0,1.0,False
23.0,1.0,21.0,1.0,8910.0,13.0,1.0,40.0,2.0,1.0,False
51.0,1.0,13.0,2.0,4700.0,13.0,0.0,35.0,2.0,1.0,False
60.0,6.0,16.0,1.0,735.0,301.0,0.0,50.0,1.0,1.0,True
18.0,7.0,18.0,2.0,4600.0,13.0,17.0,25.0,2.0,1.0,False
54.0,1.0,17.0,2.0,7340.0,12.0,13.0,38.0,1.0,1.0,False
44.0,1.0,21.0,1.0,3255.0,13.0,1.0,40.0,2.0,1.0,False
48.0,4.0,16.0,1.0,5740.0,13.0,0.0,40.0,2.0,2.0,False
26.0,1.0,21.0,1.0,3300.0,47.0,1.0,40.0,1.0,1.0,True
23.0,1.0,16.0,2.0,9620.0,13.0,2.0,40.0,1.0,2.0,False
51.0,1.0,17.0,1.0,4020.0,13.0,1.0,20.0,2.0,1.0,False
34.0,1.0,16.0,2.0,9130.0,314.0,0.0,60.0,1.0,1.0,False
63.0,7.0,22.0,1.0,3255.0,10.0,0.0,40.0,2.0,1.0,True
17.0,6.0,14.0,2.0,2723.0,45.0,2.0,4.0,2.0,1.0,False
30.0,1.0,22.0,1.0,5000.0,40.0,1.0,40.0,2.0,1.0,False
38.0,4.0,24.0,1.0,2205.0,42.0,0.0,50.0,1.0,1.0,True
54.0,4.0,22.0,1.0,2205.0,13.0,1.0,40.0,2.0,1.0,False
26.0,1.0,19.0,2.0,5840.0,333.0,0.0,40.0,2.0,5.0,True
48.0,1.0,21.0,1.0,1530.0,28.0,1.0,44.0,1.0,1.0,True
59.0,1.0,19.0,2.0,6442.0,22.0,0.0,40.0,1.0,2.0,False
64.0,4.0,21.0,2.0,5240.0,13.0,5.0,40.0,2.0,2.0,False
19.0,1.0,16.0,2.0,5350.0,10.0,2.0,40.0,1.0,5.0,False
32.0,1.0,16.0,2.0,9130.0,36.0,2.0,18.0,1.0,2.0,True
47.0,4.0,22.0,1.0,2330.0,45.0,1.0,50.0,1.0,2.0,False
52.0,1.0,15.0,1.0,9130.0,18.0,0.0,65.0,1.0,1.0,False
57.0,1.0,16.0,1.0,8465.0,13.0,1.0,40.0,1.0,2.0,False
42.0,7.0,22.0,1.0,705.0,210.0,0.0,40.0,1.0,3.0,True
45.0,5.0,21.0,1.0,440.0,18.0,1.0,40.0,2.0,1.0,False
67.0,2.0,20.0,1.0,3255.0,17.0,0.0,25.0,2.0,1.0,True
27.0,1.0,19.0,2.0,3649.0,48.0,5.0,40.0,1.0,5.0,False
31.0,6.0,21.0,1.0,4230.0,362.0,0.0,40.0,1.0,1.0,False
28.0,1.0,19.0,2.0,5410.0,333.0,2.0,40.0,1.0,2.0,False
35.0,1.0,17.0,2.0,4600.0,13.0,0.0,40.0,2.0,1.0,True
20.0,1.0,15.0,2.0,4720.0,13.0,7.0,15.0,2.0,2.0,False
53.0,1.0,19.0,2.0,2001.0,13.0,0.0,40.0,2.0,1.0,False
50.0,6.0,16.0,2.0,7200.0,13.0,0.0,50.0,1.0,2.0,True
31.0,1.0,19.0,1.0,6230.0,12.0,1.0,40.0,1.0,1.0,False
59.0,1.0,19.0,2.0,10.0,48.0,13.0,75.0,1.0,1.0,True
61.0,1.0,12.0,1.0,2300.0,13.0,1.0,40.0,2.0,1.0,False
40.0,7.0,20.0,1.0,5120.0,33.0,0.0,20.0,1.0,1.0,False
64.0,3.0,23.0,1.0,2310.0,45.0,1.0,40.0,2.0,2.0,True
59.0,5.0,22.0,1.0,5000.0,24.0,1.0,40.0,2.0,2.0,True
36.0,6.0,14.0,1.0,9142.0,13.0,1.0,12.0,2.0,1.0,False
25.0,1.0,21.0,1.0,3230.0,12.0,1.0,36.0,2.0,1.0,False
46.0,1.0,16.0,1.0,6230.0,36.0,1.0,40.0,1.0,2.0,False
53.0,1.0,21.0,1.0,1460.0,13.0,1.0,50.0,1.0,1.0,True
58.0,1.0,18.0,2.0,4850.0,301.0,0.0,40.0,1.0,1.0,False
58.0,1.0,18.0,1.0,5240.0,13.0,1.0,40.0,2.0,1.0,False
62.0,1.0,22.0,1.0,440.0,37.0,0.0,50.0,1.0,1.0,True
32.0,1.0,19.0,2.0,9365.0,5.0,0.0,40.0,1.0,2.0,False
37.0,3.0,19.0,2.0,4130.0,6.0,0.0,30.0,2.0,2.0,False
