AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
60.0,1.0,16.0,1.0,3515.0,6.0,1.0,40.0,2.0,1.0,False
47.0,1.0,21.0,1.0,4800.0,16.0,1.0,40.0,1.0,1.0,True
63.0,1.0,16.0,1.0,7750.0,303.0,6.0,40.0,1.0,1.0,False
53.0,1.0,16.0,2.0,4760.0,30.0,12.0,40.0,2.0,1.0,False
71.0,3.0,16.0,1.0,220.0,16.0,0.0,40.0,1.0,1.0,True
69.0,6.0,16.0,1.0,205.0,16.0,0.0,40.0,1.0,1.0,False
25.0,1.0,16.0,2.0,4720.0,16.0,0.0,40.0,1.0,1.0,False
43.0,1.0,21.0,1.0,800.0,6.0,0.0,32.0,2.0,1.0,False
35.0,1.0,18.0,2.0,9645.0,24.0,0.0,45.0,1.0,1.0,False
31.0,1.0,16.0,1.0,4030.0,16.0,1.0,3.0,2.0,1.0,False
36.0,1.0,22.0,1.0,2014.0,16.0,0.0,36.0,1.0,1.0,False
21.0,1.0,18.0,2.0,5160.0,16.0,7.0,10.0,2.0,1.0,False
49.0,2.0,16.0,2.0,3602.0,49.0,6.0,99.0,2.0,5.0,True
63.0,6.0,16.0,1.0,8140.0,32.0,1.0,80.0,1.0,1.0,False
23.0,1.0,16.0,1.0,4720.0,16.0,0.0,34.0,2.0,1.0,False
24.0,1.0,17.0,2.0,4110.0,53.0,16.0,40.0,1.0,1.0,False
24.0,3.0,21.0,2.0,150.0,53.0,2.0,40.0,1.0,1.0,False
44.0,1.0,16.0,2.0,5240.0,34.0,13.0,39.0,2.0,1.0,False
40.0,7.0,21.0,1.0,6520.0,33.0,1.0,50.0,1.0,1.0,False
46.0,1.0,16.0,1.0,205.0,303.0,0.0,60.0,1.0,1.0,False
23.0,3.0,16.0,2.0,5240.0,16.0,0.0,40.0,2.0,1.0,False
20.0,1.0,19.0,2.0,4110.0,16.0,2.0,20.0,2.0,1.0,False
32.0,1.0,19.0,2.0,4850.0,16.0,0.0,40.0,2.0,1.0,False
48.0,1.0,12.0,1.0,440.0,6.0,1.0,43.0,1.0,1.0,True
28.0,1.0,16.0,2.0,2300.0,301.0,12.0,40.0,2.0,1.0,False
64.0,1.0,22.0,1.0,2861.0,303.0,0.0,3.0,2.0,5.0,True
