AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
30.0,1.0,21.0,2.0,710.0,48.0,0.0,42.0,1.0,1.0,True
19.0,1.0,18.0,2.0,4130.0,17.0,2.0,30.0,2.0,1.0,False
51.0,2.0,22.0,1.0,2310.0,55.0,1.0,20.0,2.0,1.0,False
62.0,1.0,21.0,1.0,1530.0,54.0,0.0,40.0,1.0,1.0,True
29.0,2.0,24.0,2.0,420.0,26.0,0.0,60.0,2.0,1.0,False
39.0,1.0,16.0,1.0,5610.0,17.0,0.0,35.0,2.0,1.0,False
26.0,1.0,18.0,2.0,3603.0,17.0,0.0,50.0,2.0,1.0,False
29.0,1.0,20.0,2.0,5610.0,36.0,2.0,25.0,1.0,3.0,False
27.0,4.0,24.0,2.0,2205.0,17.0,0.0,20.0,1.0,1.0,False
41.0,1.0,19.0,2.0,120.0,313.0,0.0,40.0,2.0,4.0,False
28.0,1.0,19.0,2.0,9365.0,17.0,13.0,20.0,2.0,1.0,False
51.0,1.0,22.0,2.0,3323.0,213.0,0.0,40.0,2.0,1.0,True
60.0,1.0,22.0,1.0,10.0,39.0,0.0,50.0,1.0,1.0,True
54.0,1.0,19.0,1.0,1900.0,303.0,0.0,40.0,1.0,1.0,True
23.0,1.0,19.0,2.0,4030.0,17.0,5.0,40.0,2.0,5.0,False
47.0,4.0,16.0,1.0,4220.0,18.0,0.0,40.0,1.0,1.0,False
51.0,1.0,16.0,2.0,6200.0,17.0,0.0,40.0,1.0,1.0,True
51.0,1.0,16.0,2.0,8130.0,17.0,13.0,40.0,1.0,1.0,True
36.0,1.0,22.0,1.0,4030.0,163.0,1.0,35.0,2.0,1.0,False
34.0,1.0,19.0,2.0,7800.0,17.0,2.0,39.0,2.0,1.0,False
32.0,1.0,19.0,2.0,4055.0,17.0,0.0,20.0,2.0,1.0,False
50.0,1.0,21.0,1.0,4710.0,17.0,0.0,55.0,1.0,1.0,True
39.0,1.0,16.0,2.0,2810.0,29.0,7.0,40.0,2.0,1.0,False
30.0,1.0,21.0,1.0,3300.0,17.0,0.0,40.0,2.0,1.0,True
59.0,6.0,23.0,1.0,3010.0,17.0,0.0,40.0,1.0,1.0,True
60.0,1.0,21.0,1.0,10.0,34.0,1.0,40.0,1.0,1.0,True
42.0,6.0,16.0,2.0,310.0,207.0,0.0,40.0,2.0,3.0,False
22.0,1.0,20.0,2.0,1555.0,17.0,2.0,10.0,2.0,1.0,False
60.0,1.0,17.0,1.0,6260.0,17.0,0.0,40.0,1.0,1.0,False
60.0,2.0,22.0,1.0,350.0,17.0,1.0,42.0,2.0,1.0,True
19.0,1.0,14.0,2.0,3655.0,17.0,2.0,40.0,1.0,1.0,False
51.0,2.0,20.0,1.0,3310.0,17.0,1.0,40.0,2.0,1.0,False
25.0,1.0,20.0,1.0,9600.0,17.0,1.0,40.0,1.0,1.0,False
18.0,1.0,16.0,1.0,8225.0,17.0,0.0,40.0,1.0,1.0,False
56.0,1.0,16.0,1.0,5820.0,17.0,1.0,40.0,2.0,1.0,False
64.0,2.0,21.0,1.0,350.0,6.0,1.0,20.0,2.0,1.0,False
66.0,1.0,16.0,1.0,4700.0,18.0,0.0,22.0,1.0,1.0,False
55.0,1.0,21.0,2.0,5240.0,17.0,0.0,37.0,2.0,2.0,False
19.0,1.0,16.0,2.0,3421.0,17.0,2.0,30.0,1.0,1.0,False
73.0,2.0,23.0,1.0,2040.0,12.0,0.0,30.0,1.0,1.0,True
65.0,3.0,18.0,1.0,3940.0,17.0,1.0,30.0,2.0,1.0,False
26.0,1.0,18.0,2.0,8300.0,17.0,13.0,44.0,1.0,1.0,False
29.0,1.0,15.0,2.0,4720.0,17.0,0.0,40.0,2.0,2.0,False
52.0,1.0,21.0,2.0,1021.0,55.0,0.0,40.0,1.0,1.0,True
71.0,2.0,24.0,2.0,2205.0,209.0,0.0,30.0,1.0,3.0,True
55.0,2.0,19.0,1.0,5400.0,17.0,1.0,40.0,2.0,1.0,False
61.0,3.0,21.0,1.0,3255.0,18.0,1.0,25.0,2.0,1.0,False
37.0,1.0,21.0,1.0,20.0,26.0,1.0,40.0,1.0,1.0,True
25.0,2.0,21.0,2.0,4622.0,29.0,2.0,30.0,2.0,1.0,False
52.0,1.0,20.0,2.0,5240.0,48.0,0.0,40.0,2.0,1.0,False
37.0,1.0,18.0,1.0,350.0,17.0,0.0,40.0,2.0,1.0,False
65.0,1.0,23.0,1.0,2100.0,17.0,1.0,21.0,1.0,1.0,True
38.0,1.0,21.0,2.0,5000.0,29.0,2.0,40.0,2.0,1.0,False
64.0,1.0,6.0,1.0,4140.0,303.0,0.0,40.0,1.0,1.0,False
29.0,3.0,20.0,2.0,3802.0,17.0,2.0,40.0,1.0,2.0,True
48.0,1.0,23.0,1.0,5860.0,17.0,0.0,40.0,1.0,1.0,True
76.0,1.0,18.0,2.0,4720.0,17.0,0.0,40.0,2.0,1.0,False
56.0,1.0,16.0,2.0,4220.0,17.0,5.0,40.0,2.0,1.0,False
23.0,1.0,21.0,2.0,3255.0,217.0,2.0,36.0,2.0,3.0,False
30.0,3.0,20.0,2.0,2545.0,17.0,13.0,35.0,2.0,1.0,False
46.0,1.0,22.0,1.0,1021.0,210.0,0.0,40.0,1.0,3.0,True
52.0,1.0,22.0,2.0,8990.0,37.0,0.0,40.0,1.0,1.0,True
25.0,7.0,19.0,1.0,9142.0,249.0,1.0,40.0,1.0,1.0,False
47.0,1.0,16.0,1.0,900.0,314.0,1.0,37.0,2.0,1.0,False
