AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
41.0,1.0,16.0,1.0,9130.0,18.0,1.0,60.0,1.0,1.0,True
55.0,2.0,23.0,1.0,10.0,18.0,0.0,50.0,1.0,1.0,True
21.0,2.0,19.0,2.0,51.0,18.0,17.0,30.0,1.0,1.0,False
35.0,1.0,21.0,1.0,3421.0,18.0,0.0,30.0,2.0,1.0,False
39.0,1.0,16.0,2.0,5630.0,18.0,0.0,40.0,2.0,1.0,False
28.0,2.0,21.0,1.0,3255.0,18.0,1.0,44.0,2.0,1.0,True
39.0,1.0,21.0,1.0,4110.0,48.0,1.0,15.0,2.0,1.0,False
64.0,2.0,19.0,2.0,3620.0,26.0,0.0,40.0,2.0,1.0,False
36.0,1.0,11.0,2.0,7750.0,18.0,2.0,40.0,2.0,1.0,False
39.0,1.0,16.0,2.0,9600.0,18.0,0.0,40.0,1.0,1.0,False
68.0,8.0,16.0,1.0,4220.0,18.0,1.0,25.0,1.0,1.0,False
36.0,1.0,20.0,2.0,9141.0,45.0,0.0,50.0,2.0,1.0,False
40.0,1.0,21.0,1.0,3255.0,18.0,1.0,40.0,2.0,1.0,False
54.0,1.0,19.0,1.0,5120.0,47.0,0.0,40.0,2.0,1.0,False
69.0,1.0,18.0,1.0,7750.0,18.0,0.0,40.0,1.0,1.0,False
40.0,1.0,21.0,1.0,1021.0,18.0,0.0,40.0,1.0,1.0,True
60.0,3.0,16.0,1.0,5740.0,18.0,1.0,40.0,2.0,1.0,False
30.0,1.0,17.0,2.0,7700.0,18.0,0.0,40.0,1.0,1.0,False
41.0,4.0,16.0,1.0,2545.0,18.0,0.0,21.0,2.0,1.0,False
57.0,1.0,22.0,1.0,2722.0,27.0,1.0,20.0,1.0,1.0,False
25.0,2.0,21.0,2.0,2545.0,36.0,0.0,10.0,1.0,1.0,False
26.0,1.0,17.0,2.0,3930.0,18.0,2.0,40.0,1.0,1.0,False
30.0,7.0,19.0,1.0,2640.0,6.0,0.0,30.0,1.0,1.0,False
52.0,1.0,22.0,1.0,4850.0,18.0,1.0,50.0,2.0,1.0,True
57.0,3.0,19.0,1.0,9121.0,18.0,0.0,30.0,2.0,1.0,False
