AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
45.0,1.0,19.0,2.0,3601.0,48.0,0.0,40.0,2.0,5.0,False,9977
17.0,1.0,14.0,2.0,4020.0,28.0,2.0,20.0,1.0,1.0,False,1927
23.0,1.0,16.0,1.0,310.0,210.0,2.0,35.0,1.0,3.0,False,10710
59.0,6.0,16.0,2.0,6230.0,28.0,0.0,35.0,1.0,2.0,False,6837
35.0,1.0,20.0,1.0,4720.0,47.0,1.0,40.0,2.0,2.0,False,5523
55.0,6.0,20.0,1.0,6260.0,28.0,0.0,40.0,1.0,1.0,False,6311
59.0,1.0,16.0,2.0,9645.0,28.0,0.0,40.0,1.0,2.0,False,7858
32.0,4.0,21.0,2.0,3550.0,48.0,0.0,40.0,2.0,1.0,True,2964
18.0,1.0,15.0,2.0,4030.0,28.0,4.0,15.0,1.0,2.0,False,6544
48.0,1.0,21.0,1.0,5000.0,15.0,0.0,38.0,2.0,5.0,False,1219
17.0,1.0,14.0,2.0,4760.0,28.0,2.0,25.0,2.0,1.0,False,8214
18.0,1.0,14.0,2.0,3960.0,28.0,2.0,20.0,1.0,1.0,False,11592
65.0,1.0,21.0,1.0,5000.0,28.0,0.0,40.0,2.0,2.0,False,811
46.0,1.0,18.0,1.0,5600.0,28.0,1.0,40.0,1.0,1.0,True,8738
32.0,6.0,18.0,1.0,9130.0,28.0,0.0,40.0,1.0,1.0,True,3900
43.0,1.0,16.0,2.0,3602.0,28.0,0.0,40.0,2.0,2.0,False,13185
47.0,6.0,21.0,2.0,6410.0,28.0,2.0,30.0,1.0,1.0,False,11763
26.0,6.0,17.0,1.0,7200.0,28.0,1.0,40.0,1.0,1.0,False,895
47.0,1.0,16.0,1.0,220.0,28.0,0.0,50.0,1.0,1.0,True,12163
60.0,1.0,22.0,1.0,2830.0,28.0,0.0,40.0,2.0,1.0,True,6379
62.0,1.0,19.0,2.0,4720.0,28.0,0.0,42.0,1.0,1.0,False,6066
28.0,1.0,19.0,2.0,5400.0,28.0,0.0,40.0,2.0,1.0,False,3828
46.0,1.0,16.0,2.0,4720.0,28.0,2.0,40.0,2.0,2.0,False,904
55.0,4.0,22.0,1.0,1220.0,28.0,1.0,40.0,1.0,1.0,True,5116
56.0,7.0,20.0,1.0,2910.0,28.0,0.0,50.0,1.0,1.0,True,10494
45.0,1.0,21.0,1.0,4720.0,47.0,1.0,60.0,2.0,4.0,False,6440
40.0,1.0,16.0,2.0,4020.0,28.0,0.0,6.0,2.0,2.0,False,7219
37.0,4.0,18.0,1.0,3750.0,28.0,1.0,40.0,1.0,1.0,False,4748
50.0,1.0,20.0,1.0,7200.0,39.0,1.0,40.0,1.0,1.0,False,7429
47.0,6.0,17.0,1.0,9130.0,28.0,0.0,40.0,1.0,1.0,True,8267
47.0,1.0,16.0,1.0,4720.0,47.0,1.0,40.0,2.0,1.0,False,11343
54.0,1.0,21.0,1.0,310.0,28.0,1.0,40.0,1.0,1.0,True,8119
36.0,1.0,23.0,2.0,2100.0,28.0,0.0,50.0,2.0,1.0,True,8647
30.0,1.0,22.0,1.0,800.0,47.0,0.0,50.0,1.0,1.0,True,1779
19.0,5.0,16.0,2.0,7220.0,42.0,17.0,20.0,1.0,1.0,False,310
46.0,1.0,14.0,1.0,8990.0,28.0,1.0,40.0,1.0,1.0,False,8555
36.0,1.0,16.0,2.0,4020.0,28.0,0.0,36.0,1.0,2.0,False,798
29.0,1.0,19.0,1.0,8740.0,28.0,0.0,40.0,1.0,1.0,False,10358
69.0,1.0,16.0,1.0,4700.0,28.0,0.0,38.0,2.0,1.0,False,9717
68.0,6.0,19.0,1.0,205.0,28.0,0.0,84.0,1.0,1.0,True,11649
57.0,4.0,24.0,1.0,2310.0,28.0,0.0,50.0,2.0,1.0,True,2416
24.0,1.0,16.0,1.0,8990.0,1.0,1.0,65.0,1.0,2.0,False,3016
34.0,1.0,21.0,2.0,1822.0,28.0,0.0,40.0,2.0,2.0,False,8540
71.0,4.0,21.0,1.0,2545.0,28.0,0.0,40.0,2.0,2.0,False,3516
17.0,1.0,16.0,2.0,4110.0,28.0,2.0,20.0,2.0,1.0,False,12243
45.0,1.0,20.0,1.0,800.0,28.0,1.0,40.0,2.0,2.0,True,1085
34.0,1.0,22.0,1.0,3150.0,28.0,2.0,40.0,2.0,1.0,True,2939
28.0,1.0,21.0,2.0,5240.0,28.0,0.0,40.0,2.0,2.0,False,11671
35.0,1.0,21.0,2.0,5860.0,28.0,2.0,40.0,2.0,2.0,False,13153
62.0,2.0,19.0,2.0,420.0,215.0,3.0,55.0,2.0,3.0,False,5081
47.0,1.0,19.0,1.0,3300.0,28.0,0.0,80.0,2.0,1.0,True,5820
67.0,1.0,16.0,2.0,3930.0,301.0,0.0,40.0,2.0,1.0,False,12290
53.0,1.0,17.0,1.0,440.0,28.0,1.0,40.0,1.0,1.0,True,3831
18.0,1.0,14.0,2.0,4720.0,28.0,2.0,8.0,1.0,2.0,False,1513
23.0,1.0,16.0,2.0,4760.0,28.0,2.0,40.0,2.0,1.0,False,11654
56.0,3.0,16.0,1.0,2545.0,28.0,1.0,40.0,2.0,1.0,False,996
50.0,1.0,21.0,2.0,4622.0,39.0,0.0,40.0,1.0,1.0,False,7944
