AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
42.0,1.0,21.0,2.0,1050.0,10.0,0.0,35.0,1.0,1.0,False
25.0,1.0,13.0,1.0,6050.0,303.0,17.0,60.0,1.0,1.0,False
55.0,1.0,19.0,1.0,7340.0,37.0,0.0,48.0,1.0,1.0,True
27.0,1.0,16.0,2.0,7210.0,42.0,12.0,20.0,1.0,1.0,False
58.0,1.0,23.0,1.0,3090.0,36.0,0.0,55.0,1.0,1.0,True
24.0,4.0,21.0,2.0,2320.0,37.0,0.0,50.0,2.0,1.0,False
64.0,1.0,20.0,2.0,3255.0,6.0,0.0,40.0,1.0,1.0,True
51.0,1.0,1.0,2.0,9640.0,37.0,15.0,36.0,2.0,1.0,False
44.0,1.0,21.0,1.0,3255.0,37.0,0.0,40.0,2.0,1.0,True
38.0,1.0,18.0,2.0,6260.0,37.0,0.0,40.0,1.0,4.0,False
32.0,1.0,16.0,2.0,6410.0,303.0,10.0,40.0,1.0,1.0,False
33.0,1.0,20.0,1.0,4220.0,37.0,1.0,30.0,1.0,1.0,False
28.0,1.0,21.0,2.0,800.0,37.0,13.0,40.0,2.0,1.0,False
64.0,1.0,21.0,1.0,1410.0,37.0,0.0,51.0,1.0,1.0,True
52.0,2.0,22.0,2.0,3255.0,26.0,0.0,40.0,2.0,1.0,True
57.0,7.0,21.0,2.0,4200.0,9.0,0.0,40.0,2.0,1.0,False
67.0,1.0,21.0,1.0,2205.0,39.0,1.0,10.0,2.0,1.0,False
47.0,1.0,21.0,1.0,2145.0,54.0,1.0,40.0,2.0,1.0,False
66.0,6.0,21.0,2.0,9130.0,37.0,0.0,25.0,1.0,1.0,False
41.0,1.0,22.0,1.0,1305.0,37.0,0.0,60.0,1.0,1.0,True
50.0,1.0,16.0,1.0,5260.0,37.0,1.0,40.0,2.0,1.0,False
55.0,1.0,13.0,1.0,3930.0,37.0,0.0,40.0,1.0,1.0,False
35.0,1.0,15.0,2.0,9620.0,25.0,0.0,35.0,1.0,1.0,False
46.0,1.0,16.0,2.0,9620.0,34.0,0.0,50.0,1.0,2.0,False
43.0,1.0,21.0,1.0,5240.0,36.0,0.0,40.0,2.0,2.0,False
50.0,1.0,21.0,1.0,4700.0,36.0,1.0,55.0,1.0,1.0,True
36.0,1.0,13.0,1.0,9600.0,37.0,0.0,40.0,1.0,1.0,False
42.0,6.0,16.0,2.0,9142.0,12.0,0.0,35.0,1.0,1.0,False
59.0,1.0,22.0,1.0,10.0,13.0,1.0,40.0,1.0,1.0,True
33.0,1.0,19.0,1.0,4850.0,37.0,1.0,45.0,1.0,1.0,False
84.0,1.0,23.0,2.0,5860.0,137.0,0.0,20.0,2.0,1.0,False
50.0,1.0,19.0,1.0,7315.0,40.0,1.0,55.0,1.0,1.0,True
