AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
28.0,1.0,20.0,2.0,3602.0,44.0,2.0,25.0,1.0,1.0,False
22.0,5.0,21.0,2.0,5550.0,44.0,2.0,50.0,1.0,1.0,False
30.0,1.0,21.0,1.0,710.0,44.0,0.0,50.0,1.0,1.0,True
68.0,7.0,21.0,1.0,4760.0,25.0,0.0,20.0,1.0,1.0,False
39.0,4.0,22.0,1.0,230.0,40.0,0.0,60.0,2.0,1.0,True
61.0,1.0,16.0,2.0,4020.0,44.0,0.0,40.0,2.0,1.0,False
39.0,1.0,18.0,1.0,5860.0,44.0,0.0,32.0,2.0,1.0,False
25.0,1.0,21.0,2.0,4110.0,44.0,5.0,50.0,2.0,1.0,False
26.0,1.0,21.0,2.0,3050.0,110.0,2.0,32.0,2.0,1.0,True
33.0,2.0,16.0,2.0,5510.0,44.0,17.0,6.0,2.0,1.0,False
58.0,1.0,22.0,2.0,710.0,44.0,0.0,40.0,2.0,1.0,True
17.0,1.0,13.0,2.0,5240.0,44.0,2.0,20.0,1.0,1.0,False
33.0,1.0,17.0,1.0,4760.0,25.0,1.0,40.0,1.0,1.0,False
68.0,1.0,22.0,1.0,2360.0,44.0,0.0,56.0,1.0,1.0,True
48.0,1.0,24.0,2.0,8720.0,4.0,0.0,40.0,1.0,5.0,False
35.0,1.0,14.0,1.0,2640.0,44.0,1.0,40.0,2.0,5.0,False
26.0,1.0,21.0,2.0,120.0,25.0,12.0,40.0,2.0,1.0,True
24.0,4.0,21.0,2.0,630.0,36.0,0.0,40.0,2.0,1.0,False
61.0,1.0,20.0,2.0,800.0,44.0,0.0,40.0,2.0,1.0,True
46.0,3.0,20.0,1.0,3870.0,129.0,0.0,40.0,1.0,1.0,True
56.0,1.0,17.0,1.0,5000.0,25.0,1.0,40.0,1.0,1.0,True
23.0,1.0,22.0,2.0,1410.0,210.0,0.0,40.0,2.0,3.0,True
58.0,6.0,21.0,1.0,410.0,44.0,0.0,60.0,1.0,1.0,True
41.0,1.0,16.0,2.0,4720.0,34.0,2.0,40.0,2.0,5.0,False
18.0,1.0,16.0,2.0,9620.0,9.0,2.0,25.0,2.0,1.0,False
59.0,1.0,21.0,1.0,4760.0,25.0,12.0,40.0,2.0,1.0,False
42.0,2.0,22.0,2.0,3245.0,44.0,0.0,90.0,2.0,1.0,False
17.0,3.0,14.0,2.0,4435.0,44.0,15.0,24.0,2.0,3.0,False
33.0,2.0,20.0,2.0,440.0,44.0,0.0,38.0,1.0,1.0,True
22.0,1.0,19.0,2.0,4110.0,44.0,7.0,20.0,2.0,1.0,False
35.0,1.0,21.0,1.0,4510.0,329.0,0.0,23.0,2.0,1.0,False
19.0,1.0,19.0,2.0,9130.0,44.0,17.0,20.0,1.0,1.0,False
61.0,1.0,21.0,2.0,4760.0,25.0,13.0,40.0,1.0,1.0,True
17.0,1.0,14.0,2.0,5240.0,44.0,2.0,20.0,1.0,1.0,False
58.0,3.0,15.0,1.0,8740.0,329.0,0.0,40.0,1.0,2.0,False
29.0,1.0,21.0,2.0,3930.0,25.0,13.0,40.0,2.0,2.0,False
81.0,3.0,21.0,1.0,5860.0,44.0,1.0,12.0,2.0,1.0,False
38.0,1.0,21.0,1.0,8740.0,15.0,1.0,30.0,2.0,1.0,False
78.0,2.0,24.0,2.0,2205.0,44.0,12.0,30.0,2.0,1.0,True
29.0,1.0,21.0,2.0,440.0,25.0,0.0,40.0,1.0,1.0,True
34.0,1.0,21.0,2.0,5740.0,303.0,0.0,35.0,2.0,1.0,True
60.0,1.0,20.0,1.0,5740.0,39.0,0.0,40.0,2.0,1.0,True
53.0,4.0,16.0,1.0,3802.0,44.0,0.0,56.0,1.0,1.0,True
35.0,1.0,22.0,2.0,1106.0,44.0,0.0,4.0,2.0,1.0,False
57.0,7.0,21.0,1.0,440.0,44.0,0.0,50.0,1.0,1.0,True
28.0,1.0,21.0,2.0,1006.0,210.0,2.0,40.0,2.0,3.0,True
25.0,1.0,20.0,2.0,3220.0,44.0,2.0,32.0,2.0,1.0,False
54.0,1.0,16.0,2.0,4230.0,333.0,0.0,60.0,2.0,2.0,False
35.0,1.0,21.0,1.0,4700.0,25.0,0.0,33.0,1.0,1.0,False
50.0,7.0,16.0,1.0,4525.0,44.0,1.0,45.0,2.0,1.0,False
31.0,2.0,20.0,2.0,420.0,370.0,2.0,50.0,2.0,1.0,False
55.0,4.0,21.0,1.0,930.0,44.0,1.0,35.0,2.0,1.0,True
60.0,1.0,21.0,1.0,3601.0,25.0,0.0,22.0,2.0,1.0,False
60.0,1.0,16.0,2.0,335.0,34.0,0.0,44.0,1.0,1.0,False
57.0,2.0,16.0,1.0,3160.0,44.0,6.0,34.0,2.0,1.0,True
19.0,1.0,19.0,2.0,4220.0,329.0,7.0,18.0,2.0,5.0,False
37.0,1.0,16.0,2.0,8030.0,44.0,0.0,40.0,1.0,1.0,True
55.0,1.0,14.0,2.0,4700.0,44.0,13.0,50.0,2.0,1.0,True
38.0,1.0,16.0,2.0,4720.0,206.0,0.0,12.0,1.0,3.0,False
31.0,1.0,17.0,1.0,9620.0,25.0,1.0,42.0,1.0,1.0,False
67.0,6.0,21.0,1.0,2205.0,44.0,0.0,40.0,1.0,1.0,True
49.0,3.0,22.0,1.0,2310.0,42.0,1.0,40.0,1.0,1.0,True
43.0,1.0,18.0,2.0,5165.0,48.0,0.0,44.0,2.0,1.0,False
19.0,1.0,18.0,2.0,630.0,207.0,17.0,35.0,1.0,3.0,False
29.0,1.0,16.0,2.0,4220.0,48.0,2.0,4.0,1.0,4.0,False
23.0,1.0,16.0,2.0,4120.0,468.0,2.0,70.0,1.0,2.0,False
32.0,1.0,20.0,2.0,4030.0,313.0,0.0,21.0,2.0,5.0,False
45.0,1.0,21.0,1.0,5740.0,44.0,1.0,20.0,2.0,1.0,False
49.0,3.0,21.0,2.0,1822.0,44.0,0.0,35.0,2.0,1.0,True
55.0,1.0,20.0,1.0,3602.0,130.0,1.0,40.0,2.0,1.0,False
25.0,1.0,16.0,2.0,3603.0,329.0,0.0,40.0,2.0,5.0,False
61.0,1.0,14.0,1.0,8990.0,44.0,0.0,40.0,1.0,1.0,False
62.0,2.0,21.0,2.0,230.0,36.0,0.0,37.0,2.0,1.0,False
47.0,1.0,19.0,1.0,5400.0,12.0,1.0,42.0,2.0,1.0,False
28.0,1.0,22.0,1.0,2310.0,9.0,0.0,50.0,2.0,1.0,True
51.0,2.0,22.0,1.0,2545.0,9.0,1.0,35.0,2.0,1.0,False
36.0,2.0,21.0,2.0,2300.0,44.0,2.0,30.0,2.0,1.0,False
27.0,2.0,22.0,2.0,1031.0,17.0,12.0,10.0,1.0,1.0,False
27.0,5.0,21.0,2.0,1530.0,25.0,2.0,40.0,1.0,1.0,True
27.0,1.0,15.0,2.0,4230.0,33.0,10.0,25.0,2.0,1.0,False
49.0,1.0,19.0,1.0,4330.0,36.0,0.0,40.0,1.0,1.0,True
62.0,1.0,20.0,1.0,1555.0,128.0,0.0,40.0,2.0,1.0,False
63.0,1.0,20.0,1.0,9130.0,53.0,1.0,30.0,1.0,1.0,False
37.0,1.0,20.0,2.0,7340.0,44.0,0.0,43.0,1.0,1.0,True
40.0,3.0,17.0,1.0,3740.0,44.0,1.0,56.0,1.0,1.0,True
33.0,2.0,20.0,1.0,2310.0,44.0,1.0,40.0,1.0,5.0,False
37.0,2.0,16.0,2.0,5860.0,44.0,0.0,40.0,2.0,2.0,False
65.0,1.0,20.0,2.0,3255.0,25.0,0.0,24.0,2.0,1.0,True
73.0,1.0,17.0,1.0,3421.0,44.0,0.0,40.0,2.0,1.0,False
32.0,1.0,21.0,1.0,4840.0,51.0,1.0,45.0,1.0,1.0,True
21.0,1.0,15.0,1.0,3930.0,44.0,9.0,40.0,2.0,5.0,False
48.0,1.0,11.0,2.0,9130.0,44.0,0.0,50.0,1.0,1.0,False
19.0,1.0,19.0,2.0,4130.0,9.0,17.0,20.0,2.0,1.0,False
47.0,2.0,22.0,1.0,2310.0,9.0,0.0,40.0,2.0,1.0,False
21.0,1.0,16.0,2.0,6410.0,44.0,5.0,25.0,1.0,5.0,False
62.0,1.0,15.0,2.0,8300.0,223.0,8.0,40.0,2.0,1.0,False
74.0,2.0,22.0,2.0,2205.0,18.0,12.0,6.0,1.0,1.0,False
24.0,4.0,21.0,2.0,1305.0,44.0,2.0,40.0,2.0,1.0,False
60.0,1.0,22.0,1.0,3255.0,36.0,0.0,20.0,2.0,1.0,True
74.0,6.0,20.0,2.0,3255.0,53.0,0.0,10.0,2.0,1.0,True
55.0,6.0,24.0,1.0,440.0,210.0,0.0,40.0,1.0,3.0,True
47.0,1.0,22.0,1.0,5860.0,29.0,0.0,15.0,2.0,1.0,False
37.0,4.0,21.0,1.0,2320.0,217.0,1.0,40.0,2.0,3.0,False
27.0,2.0,24.0,2.0,3090.0,9.0,13.0,60.0,1.0,1.0,True
