AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
31.0,3.0,22.0,2.0,3870.0,47.0,0.0,40.0,2.0,2.0,True
24.0,1.0,19.0,2.0,3500.0,51.0,2.0,40.0,2.0,2.0,False
26.0,6.0,20.0,2.0,4600.0,364.0,15.0,38.0,2.0,1.0,False
56.0,1.0,19.0,2.0,4000.0,24.0,13.0,40.0,1.0,1.0,False
61.0,6.0,18.0,2.0,5740.0,51.0,0.0,40.0,1.0,1.0,False
41.0,1.0,16.0,1.0,4210.0,303.0,0.0,8.0,1.0,5.0,False
61.0,1.0,1.0,1.0,8990.0,247.0,1.0,50.0,1.0,3.0,False
52.0,1.0,19.0,1.0,7340.0,51.0,1.0,40.0,1.0,1.0,False
53.0,1.0,21.0,1.0,705.0,51.0,0.0,50.0,2.0,1.0,True
51.0,1.0,12.0,1.0,7150.0,312.0,1.0,40.0,1.0,1.0,True
35.0,4.0,23.0,2.0,2015.0,51.0,0.0,70.0,2.0,2.0,True
53.0,1.0,16.0,1.0,7700.0,51.0,0.0,48.0,1.0,1.0,True
60.0,1.0,21.0,2.0,5410.0,26.0,0.0,40.0,2.0,1.0,True
34.0,1.0,21.0,2.0,1021.0,17.0,0.0,40.0,2.0,3.0,True
23.0,1.0,18.0,2.0,7750.0,42.0,4.0,60.0,1.0,1.0,False
45.0,2.0,21.0,1.0,3255.0,210.0,1.0,36.0,2.0,3.0,True
35.0,4.0,19.0,1.0,4220.0,22.0,0.0,40.0,1.0,1.0,False
46.0,1.0,22.0,1.0,4710.0,9.0,0.0,40.0,1.0,1.0,True
65.0,1.0,19.0,1.0,20.0,51.0,0.0,45.0,1.0,1.0,True
45.0,1.0,16.0,2.0,7315.0,51.0,13.0,40.0,1.0,1.0,False
55.0,1.0,19.0,1.0,110.0,51.0,0.0,50.0,1.0,1.0,True
49.0,1.0,19.0,2.0,4350.0,54.0,13.0,40.0,1.0,1.0,False
40.0,2.0,22.0,1.0,5165.0,36.0,0.0,37.0,2.0,2.0,True
45.0,1.0,20.0,2.0,4800.0,217.0,11.0,25.0,1.0,3.0,False
50.0,1.0,5.0,2.0,4252.0,23.0,13.0,40.0,2.0,5.0,False
48.0,3.0,22.0,1.0,2310.0,6.0,1.0,40.0,2.0,5.0,True
54.0,1.0,22.0,1.0,735.0,8.0,0.0,40.0,1.0,1.0,True
