AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
29.0,2.0,15.0,2.0,7640.0,53.0,2.0,1.0,1.0,1.0,False
33.0,1.0,22.0,1.0,1320.0,53.0,0.0,40.0,1.0,1.0,True
49.0,1.0,21.0,2.0,5740.0,53.0,0.0,40.0,2.0,1.0,False
21.0,1.0,20.0,2.0,4251.0,53.0,2.0,12.0,1.0,1.0,False
46.0,2.0,21.0,1.0,5740.0,2.0,0.0,15.0,2.0,1.0,False
25.0,1.0,16.0,2.0,9130.0,303.0,0.0,40.0,1.0,1.0,False
22.0,1.0,18.0,2.0,4150.0,53.0,13.0,30.0,1.0,1.0,False
59.0,1.0,17.0,1.0,8030.0,53.0,2.0,40.0,1.0,1.0,True
71.0,3.0,21.0,1.0,2545.0,26.0,1.0,10.0,2.0,1.0,False
29.0,1.0,19.0,2.0,20.0,17.0,0.0,40.0,1.0,1.0,False
41.0,3.0,20.0,1.0,4920.0,53.0,1.0,48.0,2.0,1.0,False
54.0,4.0,24.0,1.0,2205.0,53.0,1.0,40.0,1.0,1.0,True
40.0,8.0,18.0,1.0,5110.0,16.0,0.0,25.0,2.0,1.0,False
61.0,1.0,16.0,2.0,5400.0,53.0,0.0,40.0,2.0,1.0,False
47.0,1.0,16.0,1.0,4600.0,303.0,0.0,40.0,2.0,5.0,False
57.0,1.0,17.0,1.0,6230.0,53.0,1.0,40.0,1.0,1.0,False
54.0,1.0,22.0,2.0,1650.0,26.0,13.0,45.0,1.0,1.0,True
71.0,2.0,17.0,2.0,5240.0,53.0,12.0,40.0,1.0,4.0,False
27.0,1.0,17.0,2.0,3930.0,8.0,2.0,3.0,1.0,3.0,False
38.0,1.0,21.0,1.0,110.0,56.0,1.0,40.0,1.0,1.0,True
29.0,1.0,19.0,1.0,6260.0,53.0,0.0,40.0,1.0,1.0,True
44.0,1.0,21.0,1.0,4920.0,49.0,1.0,45.0,2.0,1.0,False
23.0,1.0,21.0,2.0,1935.0,247.0,12.0,40.0,1.0,3.0,False
46.0,1.0,20.0,1.0,4760.0,301.0,1.0,60.0,1.0,1.0,True
34.0,1.0,16.0,2.0,9610.0,6.0,2.0,8.0,1.0,1.0,False
50.0,1.0,16.0,1.0,8465.0,53.0,0.0,42.0,1.0,1.0,False
26.0,1.0,21.0,1.0,4760.0,139.0,9.0,75.0,1.0,5.0,True
17.0,1.0,13.0,2.0,4150.0,53.0,2.0,20.0,2.0,1.0,False
71.0,6.0,21.0,1.0,2600.0,53.0,1.0,3.0,2.0,1.0,False
26.0,1.0,20.0,2.0,3645.0,53.0,2.0,40.0,2.0,1.0,False
64.0,1.0,21.0,1.0,940.0,303.0,0.0,18.0,1.0,1.0,True
94.0,2.0,15.0,2.0,3602.0,53.0,6.0,45.0,2.0,3.0,False
28.0,1.0,16.0,1.0,7700.0,53.0,2.0,40.0,1.0,1.0,False
30.0,5.0,19.0,2.0,2016.0,53.0,0.0,40.0,2.0,4.0,False
52.0,3.0,21.0,1.0,5740.0,48.0,0.0,44.0,2.0,1.0,True
72.0,1.0,22.0,1.0,800.0,19.0,0.0,20.0,1.0,1.0,False
