,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,11082,48.0,1.0,19.0,1.0,2145.0,37.0,0.0,28.0,2.0,1.0,False,19321
1,11083,38.0,3.0,20.0,1.0,9121.0,1.0,1.0,30.0,2.0,1.0,False,2253
2,11084,51.0,1.0,16.0,2.0,4850.0,1.0,0.0,20.0,1.0,1.0,False,2291
3,11085,72.0,6.0,16.0,1.0,4510.0,1.0,1.0,10.0,2.0,1.0,False,5178
4,11086,17.0,1.0,14.0,2.0,2205.0,1.0,2.0,4.0,2.0,1.0,False,6662
5,11087,40.0,1.0,16.0,1.0,5850.0,1.0,0.0,40.0,2.0,2.0,False,16723
6,11088,56.0,1.0,20.0,1.0,1108.0,215.0,1.0,40.0,1.0,1.0,False,9990
7,11089,23.0,1.0,21.0,2.0,700.0,1.0,2.0,40.0,2.0,1.0,False,4388
8,11090,30.0,1.0,17.0,1.0,4850.0,1.0,10.0,40.0,1.0,1.0,True,8323
9,11091,58.0,6.0,23.0,1.0,2830.0,21.0,1.0,12.0,2.0,1.0,False,19451
10,11092,20.0,1.0,19.0,2.0,4760.0,207.0,11.0,8.0,2.0,2.0,False,6872
11,11093,50.0,1.0,16.0,1.0,4110.0,6.0,6.0,40.0,2.0,2.0,False,20768
12,11094,19.0,1.0,13.0,2.0,4030.0,72.0,17.0,27.0,1.0,1.0,False,34
13,11095,47.0,1.0,16.0,1.0,8990.0,1.0,1.0,44.0,2.0,1.0,False,3527
14,11096,43.0,3.0,18.0,1.0,440.0,1.0,0.0,6.0,2.0,1.0,False,11008
15,11097,17.0,1.0,16.0,2.0,7800.0,45.0,2.0,10.0,1.0,1.0,False,3515
16,11098,52.0,1.0,21.0,1.0,3910.0,36.0,0.0,2.0,1.0,1.0,True,20647
17,11099,43.0,1.0,17.0,2.0,7700.0,1.0,0.0,40.0,2.0,1.0,True,19306
18,11100,29.0,1.0,21.0,1.0,4920.0,1.0,0.0,40.0,1.0,1.0,False,14852
19,11101,60.0,3.0,16.0,1.0,6305.0,13.0,1.0,40.0,1.0,1.0,False,11445
20,11102,36.0,2.0,19.0,2.0,540.0,1.0,2.0,40.0,2.0,2.0,False,7547
21,11103,69.0,1.0,13.0,1.0,4020.0,1.0,1.0,15.0,2.0,2.0,False,854
22,11104,62.0,1.0,20.0,1.0,3255.0,1.0,0.0,7.0,2.0,1.0,False,15525
23,11105,54.0,1.0,17.0,1.0,4810.0,1.0,1.0,40.0,2.0,1.0,False,12576
24,11106,59.0,2.0,20.0,2.0,3255.0,1.0,0.0,20.0,1.0,2.0,False,1847
25,11107,42.0,1.0,21.0,1.0,1006.0,1.0,0.0,40.0,1.0,1.0,True,17047
26,11108,51.0,1.0,16.0,1.0,4200.0,1.0,1.0,40.0,2.0,2.0,False,16632
27,11109,58.0,1.0,16.0,1.0,7200.0,1.0,0.0,45.0,1.0,1.0,True,13637
28,11110,24.0,2.0,16.0,1.0,2040.0,47.0,0.0,40.0,1.0,1.0,False,12173
29,11111,64.0,6.0,19.0,2.0,6230.0,1.0,2.0,30.0,1.0,2.0,False,17170
30,11112,28.0,1.0,21.0,2.0,1021.0,1.0,0.0,40.0,1.0,1.0,True,11943
31,11113,31.0,1.0,19.0,2.0,4840.0,1.0,2.0,39.0,1.0,1.0,False,12702
32,11114,60.0,6.0,16.0,1.0,205.0,1.0,1.0,50.0,2.0,1.0,True,1578
33,11115,59.0,3.0,17.0,1.0,440.0,1.0,1.0,40.0,1.0,1.0,False,17070
34,11116,22.0,1.0,19.0,2.0,5860.0,1.0,2.0,40.0,2.0,1.0,False,13965
35,11117,61.0,1.0,16.0,1.0,800.0,11.0,1.0,40.0,2.0,1.0,False,19828
36,11118,27.0,1.0,22.0,1.0,3255.0,1.0,1.0,24.0,2.0,2.0,False,13775
37,11119,32.0,1.0,22.0,1.0,2840.0,12.0,0.0,50.0,1.0,1.0,True,21463
38,11120,20.0,1.0,19.0,2.0,4720.0,1.0,17.0,30.0,1.0,2.0,False,154
39,11121,23.0,1.0,21.0,2.0,1050.0,22.0,13.0,40.0,2.0,1.0,True,18003
40,11122,25.0,2.0,20.0,1.0,40.0,12.0,1.0,40.0,1.0,1.0,False,13943
41,11123,36.0,1.0,15.0,1.0,9130.0,47.0,1.0,55.0,1.0,1.0,False,12979
