,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,16485,69.0,2.0,21.0,1.0,3160.0,47.0,0.0,8.0,2.0,1.0,False
1,16486,39.0,4.0,19.0,1.0,3802.0,333.0,1.0,40.0,1.0,2.0,False
2,16487,19.0,3.0,19.0,2.0,4622.0,9.0,2.0,4.0,2.0,1.0,False
3,16488,34.0,1.0,9.0,1.0,8800.0,365.0,0.0,40.0,2.0,2.0,False
4,16489,63.0,1.0,18.0,2.0,4220.0,9.0,0.0,40.0,1.0,1.0,False
5,16490,36.0,1.0,21.0,2.0,2545.0,217.0,3.0,37.0,2.0,2.0,False
6,16491,21.0,1.0,21.0,2.0,5860.0,9.0,2.0,15.0,2.0,1.0,False
7,16492,40.0,1.0,20.0,1.0,3520.0,9.0,0.0,38.0,2.0,1.0,True
8,16493,23.0,1.0,21.0,2.0,2016.0,42.0,15.0,40.0,2.0,1.0,False
9,16494,54.0,1.0,16.0,1.0,3110.0,9.0,0.0,40.0,2.0,1.0,False
10,16495,31.0,1.0,22.0,2.0,800.0,9.0,0.0,50.0,1.0,1.0,True
11,16496,37.0,6.0,19.0,1.0,4600.0,72.0,0.0,25.0,2.0,1.0,False
12,16497,56.0,7.0,22.0,1.0,1021.0,207.0,0.0,50.0,1.0,2.0,True
13,16498,54.0,1.0,20.0,1.0,7220.0,9.0,1.0,40.0,1.0,1.0,True
14,16499,44.0,3.0,22.0,1.0,230.0,35.0,1.0,35.0,2.0,1.0,False
15,16500,62.0,1.0,21.0,1.0,5000.0,42.0,0.0,40.0,1.0,1.0,True
16,16501,35.0,5.0,21.0,1.0,3870.0,207.0,1.0,50.0,2.0,2.0,True
17,16502,72.0,2.0,24.0,1.0,2205.0,138.0,0.0,40.0,1.0,1.0,True
18,16503,63.0,1.0,22.0,1.0,1320.0,36.0,0.0,40.0,1.0,1.0,True
19,16504,48.0,1.0,20.0,2.0,710.0,9.0,13.0,50.0,1.0,1.0,False
20,16505,52.0,4.0,24.0,1.0,2850.0,332.0,1.0,40.0,2.0,2.0,True
21,16506,69.0,1.0,21.0,1.0,5740.0,36.0,0.0,40.0,1.0,1.0,True
