,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,40.0,1.0,19.0,1.0,4760.0,19.0,1.0,40.0,1.0,1.0,False
1,1,30.0,1.0,16.0,2.0,4020.0,19.0,0.0,45.0,2.0,1.0,False
2,2,56.0,1.0,18.0,2.0,4700.0,11.0,13.0,40.0,1.0,1.0,False
3,3,50.0,1.0,21.0,2.0,150.0,19.0,0.0,50.0,2.0,1.0,False
4,4,34.0,1.0,16.0,1.0,9240.0,19.0,1.0,50.0,1.0,1.0,False
5,5,26.0,1.0,21.0,2.0,20.0,12.0,0.0,50.0,1.0,1.0,True
6,6,47.0,7.0,20.0,1.0,205.0,19.0,1.0,60.0,1.0,1.0,True
7,7,54.0,1.0,16.0,1.0,9620.0,19.0,0.0,40.0,2.0,1.0,False
8,8,17.0,1.0,13.0,2.0,5240.0,19.0,7.0,15.0,1.0,1.0,False
9,9,67.0,4.0,22.0,1.0,2310.0,6.0,0.0,40.0,1.0,1.0,True
10,10,22.0,1.0,18.0,2.0,4110.0,48.0,2.0,36.0,2.0,1.0,False
11,11,20.0,1.0,18.0,2.0,4020.0,19.0,0.0,60.0,1.0,1.0,False
12,12,35.0,1.0,21.0,1.0,725.0,19.0,1.0,40.0,2.0,1.0,True
13,13,46.0,1.0,20.0,1.0,5120.0,19.0,0.0,20.0,2.0,1.0,False
14,14,61.0,6.0,17.0,1.0,4500.0,8.0,0.0,20.0,2.0,1.0,False
15,15,32.0,4.0,21.0,1.0,2310.0,19.0,1.0,45.0,2.0,1.0,False
16,16,30.0,1.0,18.0,1.0,2360.0,19.0,0.0,50.0,1.0,1.0,True
17,17,71.0,6.0,16.0,2.0,940.0,19.0,11.0,20.0,1.0,1.0,True
18,18,38.0,1.0,21.0,2.0,530.0,6.0,0.0,40.0,1.0,1.0,True
19,19,73.0,3.0,19.0,1.0,2016.0,46.0,1.0,12.0,2.0,1.0,True
