,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,42704,22.0,1.0,19.0,2.0,4110.0,17.0,2.0,20.0,1.0,1.0,False,53137
1,42705,48.0,1.0,19.0,1.0,6355.0,17.0,0.0,30.0,1.0,1.0,False,33168
2,42706,47.0,1.0,21.0,1.0,310.0,17.0,1.0,45.0,1.0,1.0,True,23833
3,42707,34.0,3.0,18.0,2.0,2025.0,17.0,13.0,25.0,1.0,1.0,False,7552
4,42708,24.0,1.0,16.0,2.0,4251.0,17.0,12.0,40.0,1.0,1.0,False,32799
5,42709,52.0,1.0,20.0,1.0,2145.0,17.0,1.0,24.0,2.0,1.0,False,24473
6,42710,48.0,1.0,13.0,1.0,9620.0,17.0,2.0,40.0,1.0,2.0,False,39728
7,42711,44.0,1.0,17.0,1.0,4220.0,303.0,1.0,40.0,1.0,2.0,False,52022
8,42712,64.0,1.0,21.0,2.0,1065.0,20.0,0.0,40.0,1.0,1.0,True,38150
9,42713,40.0,1.0,21.0,1.0,1410.0,17.0,0.0,40.0,1.0,1.0,True,14547
10,42714,50.0,1.0,15.0,2.0,4230.0,17.0,0.0,40.0,1.0,1.0,False,49693
11,42715,64.0,1.0,19.0,1.0,4760.0,17.0,1.0,45.0,2.0,1.0,False,57306
12,42716,54.0,1.0,21.0,1.0,410.0,40.0,1.0,40.0,2.0,2.0,False,55466
13,42717,19.0,1.0,18.0,2.0,5740.0,17.0,17.0,10.0,1.0,1.0,False,269
14,42718,61.0,1.0,19.0,1.0,440.0,17.0,0.0,40.0,1.0,1.0,False,17394
15,42719,42.0,1.0,10.0,1.0,4220.0,303.0,1.0,20.0,2.0,1.0,False,34928
16,42720,41.0,1.0,17.0,1.0,9265.0,17.0,0.0,40.0,1.0,1.0,True,19637
17,42721,37.0,5.0,21.0,1.0,3910.0,312.0,0.0,50.0,1.0,1.0,True,58251
18,42722,58.0,1.0,17.0,2.0,9130.0,17.0,0.0,50.0,1.0,1.0,False,41123
19,42723,17.0,1.0,14.0,2.0,9645.0,17.0,2.0,30.0,2.0,1.0,False,8618
20,42724,36.0,1.0,17.0,1.0,540.0,17.0,0.0,37.0,2.0,2.0,True,25657
21,42725,61.0,1.0,19.0,1.0,710.0,17.0,0.0,30.0,1.0,1.0,False,26187
22,42726,50.0,2.0,21.0,1.0,750.0,18.0,0.0,43.0,1.0,1.0,True,41446
23,42727,69.0,1.0,16.0,2.0,4850.0,17.0,0.0,2.0,2.0,1.0,False,62135
24,42728,56.0,3.0,16.0,1.0,2545.0,17.0,1.0,35.0,2.0,1.0,False,18723
25,42729,42.0,4.0,17.0,1.0,4220.0,19.0,1.0,60.0,1.0,2.0,False,28607
26,42730,30.0,7.0,21.0,1.0,4510.0,17.0,0.0,40.0,2.0,1.0,False,54122
27,42731,42.0,1.0,17.0,1.0,9630.0,17.0,1.0,40.0,2.0,1.0,False,49776
28,42732,30.0,1.0,21.0,2.0,120.0,36.0,0.0,45.0,1.0,1.0,True,15486
29,42733,39.0,1.0,16.0,1.0,7700.0,17.0,1.0,40.0,1.0,1.0,True,45704
30,42734,34.0,1.0,21.0,2.0,4720.0,6.0,5.0,25.0,2.0,1.0,False,58753
31,42735,49.0,2.0,20.0,1.0,5860.0,132.0,1.0,40.0,2.0,1.0,False,30459
32,42736,32.0,1.0,20.0,1.0,1220.0,17.0,0.0,40.0,2.0,1.0,False,28641
33,42737,26.0,1.0,19.0,2.0,9620.0,17.0,2.0,40.0,1.0,1.0,True,47759
34,42738,67.0,1.0,16.0,2.0,4760.0,5.0,0.0,30.0,2.0,2.0,False,13467
35,42739,56.0,1.0,21.0,1.0,710.0,17.0,1.0,4.0,2.0,1.0,False,18463
36,42740,34.0,1.0,21.0,1.0,3300.0,233.0,0.0,40.0,2.0,2.0,False,23539
37,42741,78.0,4.0,20.0,2.0,5000.0,51.0,0.0,38.0,2.0,1.0,True,61748
38,42742,67.0,6.0,24.0,1.0,2100.0,17.0,0.0,80.0,1.0,1.0,True,56793
39,42743,34.0,1.0,19.0,1.0,8740.0,17.0,0.0,45.0,1.0,1.0,True,63980
40,42744,43.0,1.0,20.0,1.0,8800.0,17.0,0.0,24.0,2.0,1.0,False,59733
41,42745,43.0,1.0,21.0,1.0,800.0,42.0,0.0,40.0,2.0,1.0,True,2526
42,42746,18.0,1.0,18.0,2.0,4720.0,17.0,2.0,40.0,2.0,2.0,False,60407
43,42747,19.0,1.0,18.0,2.0,4720.0,17.0,17.0,9.0,2.0,2.0,False,328
44,42748,56.0,3.0,16.0,1.0,4435.0,17.0,1.0,32.0,2.0,1.0,False,27142
45,42749,59.0,1.0,16.0,1.0,7000.0,48.0,1.0,35.0,1.0,1.0,True,31974
46,42750,27.0,1.0,20.0,2.0,2016.0,17.0,0.0,35.0,2.0,2.0,False,62074
47,42751,38.0,1.0,19.0,1.0,540.0,17.0,1.0,40.0,2.0,1.0,False,52627
