,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,17175,44.0,5.0,19.0,2.0,565.0,42.0,0.0,40.0,1.0,1.0,True,26383
1,17176,18.0,1.0,14.0,2.0,4720.0,18.0,2.0,20.0,2.0,1.0,False,12815
2,17177,44.0,1.0,16.0,2.0,7330.0,18.0,0.0,56.0,1.0,1.0,True,19979
3,17178,62.0,1.0,16.0,1.0,9130.0,17.0,1.0,50.0,1.0,1.0,False,31403
4,17179,23.0,1.0,16.0,2.0,5240.0,18.0,13.0,30.0,2.0,1.0,False,33275
5,17180,39.0,1.0,20.0,1.0,5610.0,18.0,0.0,50.0,1.0,1.0,True,5093
6,17181,20.0,1.0,19.0,2.0,2545.0,18.0,17.0,4.0,2.0,2.0,False,1228
7,17182,41.0,3.0,21.0,1.0,2015.0,18.0,1.0,40.0,2.0,1.0,True,29877
8,17183,34.0,6.0,19.0,1.0,4840.0,18.0,0.0,99.0,1.0,2.0,False,25093
9,17184,20.0,1.0,19.0,2.0,8130.0,26.0,2.0,48.0,1.0,1.0,False,16702
10,17185,21.0,1.0,16.0,2.0,4600.0,18.0,2.0,40.0,2.0,1.0,False,27805
11,17186,19.0,6.0,16.0,2.0,5940.0,18.0,0.0,25.0,1.0,1.0,False,19102
12,17187,55.0,6.0,16.0,1.0,310.0,25.0,1.0,1.0,1.0,1.0,False,31338
13,17188,20.0,1.0,19.0,1.0,4150.0,17.0,2.0,15.0,2.0,1.0,False,12216
14,17189,44.0,1.0,12.0,1.0,9620.0,18.0,0.0,45.0,2.0,1.0,False,4200
15,17190,53.0,1.0,16.0,1.0,4700.0,18.0,0.0,35.0,2.0,1.0,False,7774
16,17191,50.0,1.0,18.0,1.0,4850.0,26.0,1.0,40.0,1.0,1.0,True,9700
17,17192,28.0,8.0,22.0,2.0,2320.0,18.0,2.0,40.0,2.0,1.0,False,3805
18,17193,59.0,5.0,22.0,1.0,160.0,21.0,0.0,45.0,1.0,1.0,True,6593
19,17194,44.0,1.0,16.0,1.0,7750.0,18.0,12.0,40.0,1.0,1.0,False,33348
20,17195,32.0,1.0,21.0,2.0,440.0,42.0,2.0,40.0,1.0,1.0,False,9089
21,17196,35.0,1.0,22.0,1.0,710.0,18.0,1.0,50.0,1.0,1.0,True,18722
22,17197,35.0,1.0,19.0,1.0,4251.0,18.0,0.0,30.0,1.0,1.0,False,3037
23,17198,28.0,1.0,12.0,2.0,9620.0,18.0,13.0,65.0,1.0,1.0,False,20069
24,17199,51.0,1.0,16.0,1.0,1050.0,18.0,0.0,45.0,1.0,1.0,False,1683
25,17200,19.0,1.0,19.0,2.0,4110.0,17.0,17.0,8.0,1.0,1.0,False,45
26,17201,27.0,1.0,15.0,2.0,9130.0,13.0,15.0,32.0,1.0,1.0,False,4216
27,17202,37.0,1.0,16.0,1.0,7750.0,18.0,0.0,40.0,2.0,1.0,True,10907
28,17203,24.0,1.0,20.0,1.0,5120.0,18.0,0.0,40.0,2.0,1.0,False,28319
29,17204,24.0,1.0,17.0,1.0,7700.0,18.0,0.0,40.0,1.0,1.0,False,34142
30,17205,67.0,6.0,19.0,2.0,3245.0,24.0,0.0,14.0,2.0,1.0,False,26335
31,17206,26.0,1.0,16.0,1.0,4110.0,18.0,0.0,30.0,2.0,1.0,False,22401
32,17207,28.0,1.0,17.0,2.0,7260.0,18.0,13.0,50.0,1.0,1.0,True,4782
33,17208,42.0,1.0,22.0,1.0,705.0,18.0,1.0,42.0,1.0,1.0,True,30414
34,17209,23.0,1.0,16.0,1.0,6260.0,18.0,0.0,40.0,1.0,1.0,True,7269
35,17210,57.0,2.0,16.0,1.0,300.0,18.0,1.0,40.0,1.0,1.0,True,30170
36,17211,35.0,1.0,21.0,1.0,5240.0,412.0,1.0,30.0,1.0,2.0,False,10782
37,17212,30.0,1.0,17.0,2.0,4020.0,18.0,0.0,25.0,1.0,2.0,False,12669
38,17213,33.0,5.0,16.0,1.0,5540.0,18.0,1.0,30.0,2.0,1.0,False,29057
39,17214,76.0,4.0,22.0,1.0,2310.0,26.0,1.0,16.0,2.0,1.0,False,22484
40,17215,49.0,1.0,20.0,1.0,7140.0,38.0,0.0,45.0,1.0,1.0,True,25626
41,17216,50.0,1.0,18.0,1.0,5840.0,18.0,2.0,40.0,1.0,1.0,False,18855
42,17217,31.0,1.0,19.0,1.0,4600.0,8.0,1.0,40.0,2.0,1.0,False,29100
43,17218,59.0,1.0,12.0,2.0,9620.0,18.0,13.0,40.0,1.0,1.0,False,10562
44,17219,23.0,1.0,19.0,2.0,4760.0,18.0,2.0,25.0,1.0,1.0,False,23074
45,17220,57.0,3.0,19.0,1.0,6260.0,18.0,1.0,40.0,1.0,1.0,True,2067
46,17221,51.0,1.0,22.0,2.0,3255.0,18.0,0.0,50.0,2.0,1.0,True,29759
47,17222,25.0,1.0,18.0,1.0,8225.0,18.0,1.0,36.0,1.0,1.0,False,13014
48,17223,56.0,1.0,23.0,1.0,3050.0,26.0,1.0,40.0,1.0,1.0,True,30590
49,17224,37.0,1.0,11.0,1.0,6220.0,18.0,16.0,40.0,1.0,1.0,False,1028
50,17225,53.0,2.0,16.0,1.0,5860.0,39.0,0.0,40.0,2.0,1.0,False,12295
51,17226,23.0,3.0,21.0,2.0,2310.0,18.0,2.0,40.0,2.0,1.0,False,24936
52,17227,36.0,2.0,21.0,1.0,565.0,18.0,0.0,50.0,1.0,1.0,True,8065
