,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,5058,26.0,1.0,19.0,1.0,7410.0,20.0,0.0,40.0,1.0,1.0,True,4450
1,5059,26.0,1.0,21.0,2.0,1610.0,17.0,0.0,40.0,2.0,1.0,False,5980
2,5060,33.0,1.0,18.0,1.0,6520.0,20.0,1.0,40.0,1.0,1.0,False,11958
3,5061,50.0,1.0,21.0,1.0,20.0,20.0,1.0,45.0,1.0,1.0,False,3678
4,5062,37.0,1.0,18.0,1.0,5330.0,17.0,0.0,35.0,2.0,1.0,True,8804
5,5063,47.0,1.0,21.0,1.0,800.0,20.0,0.0,45.0,1.0,1.0,True,901
6,5064,35.0,1.0,21.0,1.0,800.0,512.0,0.0,40.0,2.0,1.0,True,11688
7,5065,61.0,6.0,18.0,1.0,310.0,48.0,1.0,48.0,1.0,1.0,False,1906
8,5066,50.0,1.0,16.0,1.0,20.0,20.0,0.0,48.0,1.0,2.0,False,4332
9,5067,20.0,5.0,19.0,2.0,1970.0,48.0,17.0,60.0,1.0,1.0,False,12
10,5068,23.0,1.0,20.0,2.0,4760.0,20.0,13.0,16.0,2.0,1.0,False,7881
11,5069,68.0,1.0,21.0,1.0,4760.0,360.0,1.0,50.0,1.0,1.0,False,3005
12,5070,68.0,3.0,21.0,1.0,5110.0,20.0,1.0,8.0,2.0,1.0,False,2690
13,5071,31.0,1.0,12.0,2.0,9130.0,40.0,0.0,45.0,2.0,1.0,False,9887
14,5072,18.0,1.0,16.0,2.0,9645.0,20.0,2.0,25.0,2.0,1.0,False,2681
15,5073,46.0,1.0,16.0,2.0,7750.0,40.0,0.0,40.0,2.0,1.0,False,1811
16,5074,63.0,2.0,21.0,1.0,120.0,20.0,0.0,45.0,2.0,1.0,True,1649
17,5075,35.0,1.0,16.0,1.0,8810.0,31.0,1.0,40.0,1.0,1.0,True,11151
18,5076,27.0,1.0,19.0,2.0,440.0,20.0,0.0,52.0,1.0,1.0,False,13060
19,5077,18.0,6.0,14.0,2.0,4220.0,8.0,2.0,15.0,1.0,1.0,False,1658
20,5078,56.0,1.0,19.0,1.0,1105.0,20.0,0.0,55.0,1.0,2.0,True,3451
21,5079,26.0,1.0,16.0,2.0,8030.0,20.0,0.0,40.0,1.0,1.0,False,4318
22,5080,34.0,1.0,16.0,1.0,4700.0,20.0,0.0,30.0,2.0,1.0,False,2419
23,5081,27.0,1.0,16.0,2.0,9130.0,40.0,0.0,40.0,1.0,1.0,False,8882
24,5082,43.0,2.0,21.0,1.0,2320.0,20.0,1.0,40.0,1.0,1.0,False,1283
25,5083,23.0,1.0,21.0,1.0,3545.0,17.0,1.0,24.0,2.0,1.0,False,15681
26,5084,24.0,1.0,16.0,2.0,7220.0,20.0,13.0,30.0,1.0,1.0,False,14351
27,5085,21.0,1.0,21.0,2.0,4760.0,37.0,2.0,15.0,1.0,1.0,False,6490
28,5086,34.0,1.0,21.0,1.0,310.0,20.0,0.0,20.0,2.0,1.0,False,15015
