,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,6814,56.0,1.0,21.0,2.0,940.0,22.0,0.0,20.0,1.0,1.0,True,18038
1,6815,23.0,1.0,16.0,1.0,3603.0,22.0,0.0,18.0,2.0,1.0,False,14458
2,6816,53.0,1.0,12.0,1.0,4240.0,22.0,0.0,40.0,1.0,1.0,False,1534
3,6817,56.0,3.0,16.0,1.0,4220.0,233.0,1.0,40.0,2.0,2.0,False,11216
4,6818,69.0,1.0,22.0,1.0,350.0,22.0,0.0,40.0,1.0,1.0,True,1197
5,6819,60.0,1.0,19.0,2.0,9122.0,36.0,0.0,20.0,2.0,1.0,False,4487
6,6820,20.0,1.0,19.0,2.0,4600.0,22.0,12.0,15.0,2.0,1.0,False,13123
7,6821,73.0,2.0,16.0,2.0,5860.0,22.0,0.0,4.0,2.0,1.0,False,7978
8,6822,27.0,5.0,22.0,2.0,1360.0,26.0,0.0,40.0,1.0,1.0,True,1465
9,6823,58.0,1.0,14.0,1.0,4220.0,22.0,0.0,40.0,1.0,2.0,False,13042
10,6824,40.0,1.0,17.0,1.0,8140.0,22.0,0.0,50.0,1.0,1.0,False,15201
11,6825,24.0,3.0,19.0,2.0,3870.0,22.0,12.0,72.0,1.0,1.0,False,17292
12,6826,27.0,2.0,21.0,2.0,2825.0,53.0,0.0,40.0,2.0,1.0,False,12194
13,6827,21.0,1.0,19.0,2.0,5400.0,22.0,0.0,10.0,2.0,1.0,False,17993
14,6828,45.0,1.0,18.0,1.0,9130.0,18.0,0.0,60.0,1.0,1.0,False,5743
15,6829,30.0,1.0,19.0,2.0,9620.0,12.0,2.0,25.0,1.0,2.0,False,6347
16,6830,57.0,6.0,11.0,1.0,9130.0,314.0,0.0,40.0,1.0,1.0,True,12237
17,6831,32.0,1.0,21.0,1.0,5350.0,233.0,1.0,42.0,2.0,2.0,False,2482
18,6832,52.0,1.0,22.0,1.0,440.0,22.0,1.0,40.0,2.0,1.0,True,13881
19,6833,17.0,1.0,14.0,2.0,4150.0,39.0,2.0,12.0,2.0,1.0,False,3331
20,6834,34.0,1.0,21.0,1.0,4760.0,22.0,1.0,40.0,1.0,1.0,False,10350
21,6835,51.0,4.0,19.0,1.0,6115.0,22.0,0.0,60.0,1.0,1.0,True,8349
22,6836,21.0,1.0,19.0,2.0,2545.0,22.0,2.0,40.0,2.0,2.0,False,20110
23,6837,65.0,1.0,16.0,1.0,9645.0,22.0,0.0,40.0,1.0,2.0,False,7875
24,6838,54.0,1.0,16.0,2.0,7350.0,22.0,0.0,60.0,1.0,1.0,True,15250
25,6839,53.0,1.0,16.0,2.0,9130.0,22.0,0.0,40.0,1.0,2.0,True,7217
26,6840,62.0,6.0,22.0,1.0,4850.0,28.0,1.0,25.0,2.0,1.0,False,15803
27,6841,63.0,1.0,16.0,1.0,6200.0,22.0,0.0,40.0,1.0,1.0,True,19411
28,6842,69.0,8.0,15.0,2.0,6050.0,22.0,5.0,12.0,1.0,1.0,False,1021
29,6843,55.0,1.0,16.0,2.0,5400.0,22.0,0.0,40.0,2.0,1.0,False,4550
30,6844,56.0,1.0,16.0,1.0,5820.0,22.0,1.0,38.0,2.0,1.0,False,2850
31,6845,38.0,3.0,22.0,1.0,1750.0,42.0,0.0,40.0,2.0,1.0,True,1552
32,6846,42.0,1.0,21.0,1.0,51.0,26.0,0.0,45.0,2.0,1.0,True,13350
33,6847,51.0,1.0,11.0,2.0,9130.0,22.0,0.0,40.0,1.0,1.0,False,3648
34,6848,63.0,1.0,19.0,2.0,9130.0,22.0,15.0,40.0,1.0,1.0,False,12592
35,6849,50.0,1.0,16.0,1.0,4110.0,22.0,9.0,40.0,2.0,1.0,False,3361
36,6850,50.0,1.0,22.0,2.0,4720.0,28.0,0.0,38.0,2.0,1.0,False,12118
37,6851,38.0,6.0,20.0,2.0,1010.0,22.0,0.0,30.0,1.0,2.0,False,6039
38,6852,45.0,1.0,18.0,1.0,4700.0,22.0,1.0,40.0,1.0,2.0,False,1287
39,6853,30.0,1.0,21.0,2.0,3255.0,12.0,0.0,36.0,1.0,1.0,True,18240
40,6854,52.0,2.0,16.0,2.0,4220.0,22.0,0.0,40.0,1.0,1.0,False,12856
41,6855,41.0,4.0,21.0,1.0,2310.0,22.0,0.0,45.0,1.0,1.0,True,3896
