,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,20055,62.0,1.0,21.0,2.0,5260.0,332.0,10.0,3.0,2.0,2.0,False
1,20056,60.0,1.0,22.0,1.0,845.0,243.0,1.0,40.0,1.0,1.0,True
2,20057,59.0,1.0,4.0,1.0,8800.0,329.0,0.0,40.0,2.0,2.0,False
3,20058,30.0,2.0,21.0,2.0,2014.0,25.0,2.0,35.0,2.0,2.0,False
4,20059,67.0,7.0,23.0,1.0,1760.0,25.0,0.0,40.0,1.0,1.0,True
5,20060,42.0,1.0,21.0,2.0,1021.0,25.0,0.0,40.0,1.0,1.0,True
6,20061,17.0,2.0,14.0,2.0,4622.0,44.0,2.0,60.0,2.0,1.0,False
7,20062,40.0,7.0,23.0,1.0,3090.0,104.0,0.0,60.0,1.0,1.0,True
8,20063,55.0,2.0,22.0,1.0,2360.0,36.0,1.0,10.0,1.0,1.0,False
9,20064,70.0,1.0,23.0,1.0,1021.0,25.0,0.0,40.0,1.0,1.0,True
10,20065,43.0,1.0,21.0,1.0,4810.0,25.0,0.0,40.0,1.0,1.0,True
11,20066,33.0,6.0,18.0,2.0,205.0,25.0,2.0,45.0,1.0,1.0,False
12,20067,28.0,1.0,21.0,1.0,1200.0,207.0,1.0,40.0,2.0,2.0,True
13,20068,78.0,7.0,24.0,1.0,710.0,25.0,1.0,40.0,1.0,1.0,True
14,20069,56.0,1.0,22.0,1.0,440.0,18.0,0.0,50.0,1.0,1.0,True
15,20070,46.0,3.0,22.0,2.0,2310.0,25.0,13.0,40.0,2.0,1.0,True
16,20071,32.0,2.0,23.0,2.0,350.0,48.0,0.0,46.0,1.0,2.0,True
17,20072,24.0,1.0,16.0,2.0,6230.0,25.0,3.0,40.0,1.0,2.0,False
18,20073,48.0,3.0,21.0,2.0,440.0,110.0,0.0,45.0,2.0,1.0,True
19,20074,18.0,1.0,16.0,2.0,6260.0,25.0,2.0,40.0,1.0,1.0,False
20,20075,39.0,1.0,20.0,2.0,4020.0,9.0,0.0,25.0,1.0,1.0,False
21,20076,52.0,3.0,21.0,1.0,2545.0,25.0,1.0,30.0,2.0,1.0,False
22,20077,66.0,2.0,22.0,1.0,1720.0,25.0,0.0,40.0,2.0,1.0,True
23,20078,42.0,1.0,20.0,2.0,440.0,25.0,15.0,40.0,2.0,1.0,True
24,20079,40.0,3.0,19.0,1.0,3740.0,25.0,0.0,42.0,1.0,1.0,True
25,20080,40.0,1.0,22.0,1.0,5000.0,6.0,1.0,40.0,1.0,1.0,True
26,20081,50.0,1.0,21.0,1.0,3255.0,25.0,0.0,32.0,2.0,1.0,True
27,20082,27.0,1.0,19.0,2.0,1050.0,207.0,0.0,40.0,2.0,2.0,True
28,20083,31.0,2.0,24.0,1.0,3090.0,36.0,1.0,70.0,1.0,1.0,True
29,20084,44.0,2.0,21.0,1.0,800.0,25.0,1.0,22.0,2.0,1.0,False
30,20085,52.0,2.0,21.0,2.0,3255.0,25.0,0.0,50.0,2.0,1.0,True
31,20086,54.0,1.0,22.0,1.0,850.0,25.0,1.0,40.0,2.0,1.0,True
32,20087,41.0,7.0,20.0,1.0,7200.0,25.0,1.0,55.0,1.0,1.0,True
33,20088,43.0,1.0,21.0,1.0,1530.0,33.0,1.0,50.0,1.0,1.0,True
34,20089,50.0,3.0,22.0,1.0,2350.0,210.0,1.0,25.0,2.0,2.0,False
35,20090,61.0,2.0,20.0,2.0,3255.0,25.0,0.0,36.0,1.0,1.0,True
36,20091,56.0,3.0,22.0,1.0,2310.0,25.0,0.0,40.0,2.0,1.0,True
37,20092,33.0,6.0,21.0,1.0,2752.0,25.0,0.0,50.0,2.0,1.0,False
38,20093,51.0,4.0,18.0,1.0,4700.0,206.0,0.0,40.0,1.0,2.0,False
39,20094,35.0,2.0,22.0,1.0,2320.0,44.0,17.0,40.0,2.0,1.0,True
40,20095,18.0,2.0,16.0,2.0,3602.0,25.0,2.0,35.0,2.0,2.0,False
41,20096,26.0,6.0,18.0,2.0,9142.0,207.0,10.0,70.0,1.0,2.0,False
42,20097,38.0,1.0,16.0,1.0,230.0,25.0,1.0,45.0,1.0,1.0,True
43,20098,67.0,6.0,19.0,1.0,4920.0,31.0,1.0,20.0,2.0,1.0,False
44,20099,36.0,3.0,22.0,1.0,2310.0,25.0,0.0,35.0,2.0,1.0,True
45,20100,48.0,2.0,22.0,2.0,1530.0,36.0,0.0,40.0,1.0,1.0,True
46,20101,34.0,1.0,19.0,2.0,220.0,25.0,0.0,40.0,2.0,1.0,True
47,20102,46.0,1.0,22.0,1.0,10.0,25.0,0.0,37.0,1.0,1.0,True
