,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,1167,36.0,1.0,12.0,1.0,6441.0,33.0,1.0,40.0,1.0,1.0,False
1,1168,18.0,1.0,16.0,2.0,4720.0,25.0,17.0,30.0,2.0,1.0,False
2,1169,64.0,3.0,24.0,2.0,2205.0,25.0,0.0,40.0,2.0,1.0,True
3,1170,58.0,6.0,19.0,1.0,205.0,23.0,1.0,40.0,1.0,1.0,False
4,1171,54.0,1.0,1.0,1.0,9130.0,23.0,1.0,55.0,1.0,1.0,True
5,1172,38.0,1.0,17.0,2.0,4510.0,23.0,0.0,24.0,2.0,1.0,False
6,1173,66.0,1.0,21.0,1.0,1460.0,23.0,0.0,40.0,1.0,1.0,True
7,1174,59.0,3.0,22.0,1.0,2310.0,36.0,1.0,40.0,1.0,1.0,True
8,1175,46.0,1.0,22.0,1.0,350.0,106.0,1.0,60.0,2.0,1.0,True
9,1176,51.0,6.0,23.0,1.0,10.0,25.0,0.0,40.0,2.0,1.0,True
10,1177,33.0,6.0,15.0,1.0,4230.0,48.0,1.0,15.0,2.0,1.0,False
11,1178,42.0,1.0,19.0,1.0,7750.0,23.0,1.0,37.0,1.0,1.0,False
12,1179,67.0,1.0,16.0,2.0,5740.0,23.0,0.0,40.0,2.0,1.0,False
13,1180,57.0,1.0,16.0,2.0,7315.0,12.0,0.0,50.0,1.0,1.0,True
14,1181,35.0,1.0,16.0,2.0,7220.0,23.0,0.0,52.0,1.0,1.0,False
15,1182,55.0,1.0,20.0,1.0,1555.0,23.0,0.0,46.0,1.0,1.0,True
16,1183,19.0,7.0,16.0,1.0,6115.0,23.0,2.0,30.0,1.0,1.0,False
17,1184,55.0,6.0,13.0,1.0,6260.0,23.0,1.0,40.0,1.0,1.0,True
18,1185,21.0,1.0,19.0,2.0,4251.0,36.0,12.0,20.0,2.0,1.0,False
19,1186,77.0,7.0,17.0,1.0,8030.0,9.0,0.0,40.0,1.0,1.0,True
20,1187,37.0,1.0,21.0,1.0,440.0,23.0,1.0,60.0,1.0,1.0,False
21,1188,54.0,4.0,24.0,1.0,2205.0,26.0,0.0,60.0,2.0,1.0,True
22,1189,30.0,1.0,20.0,2.0,3649.0,23.0,5.0,40.0,2.0,1.0,False
