,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,31388,38.0,1.0,22.0,1.0,3110.0,42.0,1.0,30.0,2.0,1.0,True,27662
1,31389,18.0,1.0,16.0,2.0,4600.0,27.0,2.0,30.0,2.0,1.0,False,2899
2,31390,24.0,1.0,21.0,1.0,1530.0,26.0,0.0,45.0,1.0,1.0,True,3614
3,31391,38.0,1.0,16.0,1.0,7700.0,26.0,0.0,52.0,1.0,1.0,False,20954
4,31392,55.0,1.0,16.0,1.0,8140.0,26.0,0.0,40.0,1.0,2.0,False,19312
5,31393,66.0,1.0,19.0,1.0,4850.0,26.0,0.0,40.0,1.0,1.0,False,45357
6,31394,66.0,2.0,22.0,1.0,2040.0,26.0,1.0,50.0,1.0,1.0,True,10504
7,31395,54.0,1.0,20.0,1.0,8030.0,26.0,0.0,45.0,1.0,1.0,True,7581
8,31396,42.0,1.0,18.0,1.0,52.0,26.0,0.0,40.0,1.0,1.0,True,4535
9,31397,72.0,1.0,16.0,2.0,4510.0,26.0,0.0,25.0,2.0,1.0,False,40210
10,31398,34.0,7.0,19.0,1.0,6355.0,26.0,1.0,70.0,1.0,1.0,True,40637
11,31399,24.0,1.0,19.0,2.0,3603.0,26.0,2.0,32.0,2.0,2.0,False,2845
12,31400,40.0,3.0,19.0,2.0,9122.0,17.0,0.0,42.0,2.0,2.0,False,20442
13,31401,19.0,2.0,19.0,2.0,7010.0,26.0,17.0,12.0,1.0,1.0,False,273
14,31402,63.0,1.0,16.0,1.0,7315.0,26.0,1.0,40.0,1.0,1.0,False,26971
15,31403,49.0,3.0,20.0,1.0,5740.0,26.0,0.0,27.0,2.0,1.0,False,44782
16,31404,44.0,1.0,20.0,2.0,7750.0,26.0,0.0,40.0,2.0,2.0,False,43005
17,31405,27.0,1.0,14.0,2.0,7150.0,26.0,0.0,40.0,1.0,1.0,False,40890
18,31406,39.0,4.0,16.0,2.0,4020.0,26.0,16.0,40.0,1.0,2.0,False,1394
19,31407,20.0,1.0,16.0,2.0,9600.0,303.0,2.0,40.0,1.0,1.0,False,15224
20,31408,80.0,6.0,16.0,1.0,205.0,26.0,1.0,4.0,1.0,1.0,False,48019
21,31409,51.0,1.0,21.0,1.0,3930.0,72.0,0.0,36.0,1.0,1.0,False,28776
22,31410,43.0,1.0,19.0,2.0,7340.0,26.0,0.0,40.0,1.0,1.0,True,14538
23,31411,33.0,1.0,19.0,1.0,5260.0,55.0,1.0,40.0,2.0,1.0,False,6794
24,31412,21.0,1.0,19.0,2.0,9620.0,26.0,2.0,25.0,1.0,2.0,False,39846
25,31413,56.0,1.0,16.0,2.0,8225.0,26.0,0.0,50.0,1.0,1.0,True,3404
26,31414,36.0,1.0,22.0,1.0,1460.0,210.0,0.0,40.0,1.0,2.0,True,46726
27,31415,62.0,4.0,20.0,2.0,3255.0,26.0,0.0,40.0,2.0,1.0,True,42911
28,31416,50.0,1.0,20.0,1.0,440.0,26.0,0.0,50.0,1.0,1.0,True,28618
29,31417,69.0,3.0,22.0,2.0,2310.0,26.0,0.0,16.0,2.0,1.0,False,37931
30,31418,27.0,1.0,20.0,2.0,4230.0,26.0,13.0,16.0,2.0,1.0,False,21135
31,31419,63.0,7.0,16.0,1.0,9130.0,26.0,0.0,60.0,1.0,1.0,True,45075
32,31420,33.0,1.0,18.0,1.0,5740.0,26.0,0.0,15.0,2.0,1.0,False,46201
33,31421,54.0,1.0,18.0,2.0,410.0,26.0,0.0,40.0,2.0,1.0,False,34374
34,31422,47.0,1.0,16.0,1.0,9620.0,26.0,1.0,50.0,1.0,1.0,False,37740
35,31423,19.0,1.0,19.0,2.0,310.0,26.0,12.0,30.0,2.0,1.0,False,37930
36,31424,53.0,1.0,16.0,2.0,6515.0,26.0,13.0,40.0,1.0,1.0,False,36306
37,31425,64.0,1.0,20.0,2.0,140.0,26.0,0.0,45.0,1.0,1.0,True,5703
38,31426,60.0,2.0,9.0,2.0,420.0,303.0,10.0,40.0,1.0,2.0,True,33893
39,31427,55.0,6.0,20.0,1.0,4710.0,26.0,1.0,50.0,1.0,1.0,False,2130
40,31428,55.0,1.0,21.0,2.0,1530.0,26.0,13.0,40.0,1.0,1.0,True,45183
41,31429,56.0,1.0,21.0,1.0,10.0,152.0,0.0,48.0,1.0,1.0,True,33187
42,31430,39.0,1.0,19.0,2.0,6260.0,26.0,0.0,40.0,1.0,1.0,False,30744
43,31431,57.0,1.0,21.0,1.0,4710.0,39.0,1.0,50.0,1.0,1.0,True,48328
44,31432,21.0,1.0,19.0,2.0,3500.0,39.0,13.0,40.0,2.0,1.0,False,10610
45,31433,18.0,1.0,16.0,2.0,4760.0,26.0,2.0,20.0,2.0,1.0,False,13766
46,31434,32.0,1.0,16.0,2.0,7800.0,26.0,2.0,32.0,2.0,1.0,False,14595
47,31435,43.0,1.0,16.0,1.0,9130.0,26.0,1.0,50.0,1.0,1.0,False,42327
48,31436,24.0,1.0,20.0,2.0,9600.0,26.0,4.0,40.0,1.0,2.0,False,49363
49,31437,38.0,1.0,20.0,1.0,5510.0,400.0,1.0,30.0,1.0,1.0,False,43532
50,31438,32.0,1.0,21.0,2.0,1450.0,26.0,0.0,40.0,1.0,1.0,True,31817
51,31439,28.0,1.0,21.0,2.0,1460.0,26.0,0.0,50.0,1.0,1.0,True,32424
52,31440,47.0,1.0,17.0,2.0,7220.0,47.0,0.0,55.0,1.0,1.0,True,29170
53,31441,33.0,2.0,21.0,1.0,725.0,26.0,1.0,28.0,2.0,1.0,False,25782
54,31442,53.0,1.0,19.0,1.0,705.0,18.0,0.0,45.0,1.0,1.0,True,47688
55,31443,34.0,1.0,18.0,2.0,9130.0,217.0,0.0,50.0,1.0,2.0,False,16907
56,31444,63.0,1.0,22.0,2.0,5400.0,26.0,13.0,24.0,2.0,1.0,False,20357
57,31445,65.0,1.0,16.0,1.0,7700.0,26.0,0.0,50.0,1.0,1.0,True,14765
58,31446,42.0,7.0,19.0,1.0,10.0,26.0,1.0,45.0,1.0,1.0,True,46002
59,31447,72.0,2.0,19.0,2.0,5510.0,26.0,0.0,25.0,1.0,1.0,False,36918
60,31448,60.0,1.0,16.0,2.0,5610.0,26.0,0.0,40.0,2.0,1.0,False,42196
61,31449,24.0,6.0,18.0,1.0,4510.0,26.0,0.0,20.0,2.0,1.0,False,35158
62,31450,28.0,3.0,21.0,2.0,3870.0,26.0,0.0,50.0,1.0,1.0,True,18640
63,31451,29.0,1.0,19.0,2.0,3645.0,26.0,0.0,40.0,2.0,2.0,False,42171
64,31452,51.0,7.0,18.0,1.0,310.0,224.0,0.0,60.0,1.0,1.0,True,21741
65,31453,60.0,1.0,16.0,1.0,1560.0,21.0,0.0,40.0,1.0,1.0,True,12893
66,31454,31.0,1.0,20.0,1.0,7750.0,26.0,0.0,50.0,2.0,1.0,False,8388
67,31455,29.0,1.0,16.0,1.0,8800.0,26.0,9.0,45.0,1.0,1.0,False,31432
68,31456,48.0,3.0,22.0,1.0,2330.0,26.0,1.0,40.0,1.0,1.0,True,24542
69,31457,58.0,1.0,20.0,1.0,9130.0,26.0,0.0,45.0,1.0,1.0,True,24383
70,31458,71.0,6.0,16.0,1.0,205.0,26.0,0.0,40.0,1.0,1.0,False,17677
71,31459,22.0,1.0,18.0,2.0,4720.0,26.0,2.0,20.0,1.0,1.0,False,26792
72,31460,49.0,1.0,19.0,2.0,9620.0,26.0,2.0,48.0,1.0,1.0,False,31804
73,31461,34.0,1.0,19.0,1.0,5110.0,26.0,0.0,40.0,2.0,1.0,True,23125
74,31462,18.0,1.0,16.0,1.0,4330.0,26.0,1.0,40.0,1.0,1.0,False,23619
75,31463,40.0,1.0,21.0,1.0,1050.0,26.0,0.0,50.0,1.0,1.0,True,31789
76,31464,34.0,1.0,16.0,2.0,310.0,26.0,0.0,40.0,2.0,1.0,False,46732
77,31465,38.0,1.0,24.0,1.0,1825.0,26.0,0.0,26.0,2.0,1.0,True,9478
78,31466,25.0,1.0,21.0,2.0,800.0,217.0,0.0,40.0,1.0,2.0,False,37417
79,31467,44.0,1.0,21.0,1.0,3255.0,26.0,1.0,50.0,2.0,2.0,False,35838
80,31468,55.0,1.0,12.0,2.0,9130.0,26.0,0.0,65.0,1.0,1.0,True,28493
81,31469,77.0,1.0,19.0,2.0,4965.0,26.0,0.0,20.0,1.0,1.0,True,28241
82,31470,54.0,1.0,16.0,2.0,7750.0,27.0,0.0,40.0,1.0,1.0,False,2225
83,31471,40.0,3.0,21.0,1.0,2545.0,26.0,0.0,15.0,2.0,1.0,False,27205
84,31472,41.0,1.0,21.0,1.0,3255.0,216.0,0.0,24.0,2.0,1.0,False,34397
85,31473,20.0,1.0,21.0,2.0,4720.0,26.0,2.0,35.0,2.0,1.0,False,13031
86,31474,61.0,1.0,8.0,2.0,4030.0,242.0,0.0,40.0,2.0,2.0,False,21196
87,31475,32.0,1.0,21.0,1.0,5240.0,26.0,0.0,40.0,1.0,1.0,True,14890
88,31476,48.0,1.0,16.0,1.0,9265.0,18.0,1.0,40.0,1.0,1.0,True,24901
89,31477,19.0,1.0,16.0,2.0,4720.0,26.0,2.0,28.0,1.0,2.0,False,10491
90,31478,44.0,1.0,20.0,1.0,8990.0,26.0,0.0,40.0,1.0,2.0,False,6573
91,31479,49.0,3.0,21.0,1.0,565.0,26.0,0.0,40.0,2.0,2.0,True,32230
92,31480,22.0,1.0,18.0,2.0,4130.0,26.0,0.0,40.0,2.0,2.0,False,8193
93,31481,70.0,3.0,22.0,1.0,2310.0,17.0,1.0,7.0,2.0,1.0,False,44053
94,31482,36.0,4.0,16.0,2.0,4020.0,17.0,16.0,15.0,1.0,2.0,False,183
95,31483,50.0,3.0,22.0,1.0,440.0,39.0,0.0,50.0,1.0,1.0,True,15584
96,31484,62.0,1.0,19.0,1.0,5000.0,26.0,1.0,40.0,1.0,1.0,True,48632
97,31485,49.0,1.0,21.0,2.0,440.0,26.0,2.0,40.0,1.0,1.0,False,35917
98,31486,33.0,1.0,20.0,2.0,4020.0,9.0,2.0,38.0,1.0,1.0,False,42680
99,31487,60.0,1.0,16.0,1.0,4210.0,26.0,0.0,40.0,1.0,1.0,False,9851
100,31488,43.0,1.0,22.0,1.0,1460.0,210.0,0.0,40.0,1.0,2.0,True,3133
101,31489,69.0,7.0,20.0,2.0,10.0,26.0,0.0,50.0,1.0,1.0,True,2374
102,31490,28.0,1.0,24.0,1.0,1822.0,29.0,0.0,35.0,1.0,1.0,False,17862
103,31491,26.0,1.0,22.0,2.0,1305.0,207.0,0.0,45.0,2.0,2.0,False,44280
104,31492,73.0,7.0,23.0,1.0,2100.0,26.0,0.0,20.0,1.0,1.0,True,4949
105,31493,65.0,6.0,19.0,1.0,51.0,26.0,0.0,10.0,2.0,1.0,False,17736
106,31494,27.0,2.0,21.0,1.0,3255.0,26.0,0.0,50.0,2.0,1.0,True,8218
107,31495,38.0,1.0,19.0,1.0,3603.0,26.0,0.0,40.0,2.0,2.0,False,28676
108,31496,36.0,1.0,21.0,1.0,4710.0,26.0,1.0,40.0,1.0,1.0,True,9023
109,31497,38.0,1.0,18.0,2.0,9005.0,26.0,0.0,60.0,2.0,1.0,False,33476
110,31498,48.0,1.0,19.0,1.0,6230.0,26.0,0.0,40.0,1.0,1.0,True,12911
111,31499,36.0,4.0,22.0,2.0,2310.0,26.0,0.0,50.0,1.0,1.0,False,24214
112,31500,50.0,5.0,22.0,2.0,7720.0,17.0,16.0,20.0,1.0,1.0,False,588
113,31501,35.0,8.0,18.0,1.0,2025.0,217.0,1.0,5.0,2.0,2.0,False,35644
114,31502,32.0,1.0,21.0,1.0,7700.0,26.0,0.0,63.0,1.0,1.0,False,34500
115,31503,58.0,1.0,18.0,1.0,8030.0,26.0,0.0,46.0,1.0,1.0,True,40972
116,31504,48.0,1.0,21.0,2.0,4760.0,26.0,5.0,42.0,2.0,1.0,False,42362
117,31505,54.0,6.0,20.0,2.0,3630.0,39.0,0.0,10.0,2.0,1.0,False,39936
118,31506,24.0,1.0,16.0,2.0,4720.0,26.0,2.0,35.0,2.0,1.0,False,41223
119,31507,66.0,2.0,16.0,2.0,5400.0,26.0,0.0,10.0,2.0,1.0,False,12513
120,31508,21.0,1.0,19.0,2.0,2830.0,6.0,15.0,30.0,2.0,1.0,False,27641
121,31509,54.0,1.0,14.0,1.0,6260.0,26.0,0.0,50.0,1.0,1.0,False,18316
122,31510,51.0,1.0,20.0,1.0,9005.0,26.0,0.0,40.0,1.0,1.0,True,5038
123,31511,46.0,1.0,16.0,2.0,440.0,26.0,0.0,50.0,1.0,1.0,True,15678
124,31512,35.0,6.0,20.0,1.0,4600.0,26.0,1.0,8.0,2.0,1.0,False,25932
125,31513,47.0,2.0,21.0,1.0,350.0,26.0,1.0,50.0,2.0,1.0,True,27665
126,31514,61.0,1.0,16.0,1.0,5740.0,26.0,0.0,36.0,2.0,1.0,False,20049
127,31515,60.0,1.0,19.0,2.0,5310.0,26.0,0.0,29.0,2.0,1.0,False,5090
