,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,18.0,1.0,18.0,2.0,3870.0,55.0,17.0,10.0,1.0,1.0,False
1,1,22.0,1.0,20.0,2.0,1545.0,27.0,13.0,40.0,2.0,1.0,False
2,2,24.0,2.0,21.0,2.0,1006.0,416.0,13.0,40.0,1.0,2.0,True
3,3,54.0,1.0,17.0,1.0,3603.0,27.0,1.0,40.0,2.0,1.0,False
4,4,24.0,1.0,19.0,2.0,120.0,27.0,2.0,40.0,1.0,2.0,False
5,5,17.0,1.0,14.0,2.0,7610.0,27.0,7.0,8.0,1.0,1.0,False
6,6,18.0,2.0,19.0,2.0,2205.0,27.0,2.0,15.0,2.0,1.0,False
7,7,50.0,1.0,21.0,1.0,6200.0,19.0,1.0,50.0,1.0,1.0,True
8,8,53.0,6.0,16.0,1.0,6050.0,27.0,1.0,80.0,1.0,1.0,True
9,9,37.0,1.0,16.0,1.0,6050.0,27.0,0.0,45.0,1.0,1.0,False
10,10,31.0,1.0,20.0,2.0,4055.0,27.0,0.0,20.0,2.0,1.0,False
11,11,61.0,1.0,19.0,2.0,9645.0,27.0,0.0,40.0,2.0,1.0,True
12,12,30.0,1.0,19.0,1.0,800.0,27.0,0.0,41.0,2.0,1.0,True
13,13,18.0,1.0,14.0,2.0,7800.0,217.0,3.0,25.0,2.0,2.0,False
14,14,26.0,1.0,16.0,1.0,7750.0,27.0,0.0,55.0,1.0,1.0,False
15,15,59.0,7.0,16.0,1.0,9760.0,27.0,1.0,60.0,1.0,1.0,True
16,16,33.0,1.0,16.0,2.0,4110.0,27.0,13.0,25.0,2.0,1.0,False
17,17,44.0,1.0,23.0,1.0,4700.0,27.0,1.0,40.0,2.0,1.0,True
18,18,43.0,1.0,19.0,1.0,5240.0,27.0,0.0,40.0,2.0,1.0,False
19,19,57.0,1.0,16.0,2.0,7220.0,4.0,13.0,40.0,1.0,1.0,True
20,20,49.0,1.0,20.0,1.0,3640.0,27.0,1.0,32.0,2.0,1.0,False
21,21,56.0,6.0,16.0,2.0,6410.0,27.0,12.0,35.0,1.0,1.0,False
22,22,43.0,3.0,21.0,1.0,1555.0,38.0,0.0,50.0,1.0,1.0,True
23,23,18.0,4.0,16.0,2.0,4220.0,27.0,2.0,40.0,1.0,1.0,False
24,24,46.0,1.0,16.0,2.0,9600.0,17.0,0.0,40.0,1.0,1.0,True
25,25,21.0,1.0,19.0,2.0,4110.0,6.0,12.0,27.0,1.0,2.0,False
26,26,50.0,1.0,20.0,2.0,4700.0,8.0,0.0,40.0,1.0,1.0,False
27,27,51.0,1.0,21.0,1.0,3500.0,139.0,6.0,40.0,1.0,1.0,False
28,28,40.0,1.0,20.0,1.0,2360.0,27.0,0.0,40.0,1.0,1.0,True
29,29,35.0,1.0,18.0,1.0,9130.0,27.0,0.0,40.0,2.0,1.0,False
30,30,32.0,1.0,20.0,1.0,310.0,213.0,0.0,6.0,2.0,1.0,False
31,31,34.0,2.0,19.0,1.0,4252.0,27.0,0.0,40.0,1.0,1.0,False
32,32,43.0,1.0,21.0,1.0,1450.0,12.0,1.0,40.0,1.0,1.0,True
33,33,54.0,2.0,22.0,1.0,2310.0,26.0,1.0,40.0,2.0,1.0,True
34,34,20.0,6.0,20.0,2.0,6050.0,19.0,2.0,48.0,1.0,1.0,False
35,35,51.0,1.0,19.0,1.0,7220.0,27.0,0.0,40.0,1.0,1.0,False
36,36,17.0,1.0,14.0,2.0,4220.0,27.0,2.0,10.0,2.0,1.0,False
37,37,54.0,1.0,20.0,1.0,3310.0,27.0,1.0,28.0,2.0,1.0,False
38,38,56.0,6.0,20.0,1.0,6260.0,27.0,0.0,40.0,1.0,1.0,True
39,39,68.0,7.0,19.0,1.0,4820.0,55.0,1.0,40.0,1.0,1.0,True
40,40,68.0,2.0,16.0,1.0,2440.0,27.0,1.0,30.0,2.0,1.0,False
41,41,83.0,6.0,20.0,1.0,4255.0,27.0,0.0,40.0,1.0,2.0,False
