,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,4926,32.0,1.0,21.0,1.0,2545.0,29.0,0.0,35.0,2.0,1.0,False,10131
1,4927,60.0,3.0,19.0,2.0,3870.0,29.0,0.0,40.0,1.0,1.0,True,3942
2,4928,51.0,1.0,16.0,2.0,7150.0,29.0,0.0,45.0,1.0,1.0,True,2217
3,4929,25.0,1.0,16.0,2.0,7750.0,29.0,2.0,40.0,1.0,1.0,True,21789
4,4930,34.0,1.0,16.0,2.0,7700.0,29.0,0.0,45.0,1.0,1.0,False,28590
5,4931,51.0,1.0,16.0,1.0,9600.0,12.0,1.0,40.0,1.0,1.0,False,29714
6,4932,36.0,3.0,17.0,2.0,9350.0,29.0,0.0,40.0,2.0,1.0,False,23526
7,4933,55.0,1.0,17.0,1.0,7700.0,29.0,1.0,45.0,1.0,1.0,True,7211
8,4934,17.0,1.0,13.0,2.0,9620.0,48.0,4.0,12.0,2.0,1.0,False,18338
9,4935,32.0,1.0,16.0,2.0,9130.0,20.0,2.0,50.0,1.0,1.0,False,10846
10,4936,38.0,1.0,16.0,1.0,335.0,48.0,1.0,45.0,2.0,1.0,False,27612
11,4937,44.0,6.0,16.0,2.0,3602.0,29.0,6.0,45.0,2.0,1.0,False,11813
12,4938,67.0,1.0,17.0,2.0,8800.0,9.0,0.0,40.0,2.0,1.0,False,26010
13,4939,34.0,1.0,22.0,1.0,5600.0,19.0,1.0,40.0,1.0,1.0,True,22377
14,4940,26.0,1.0,14.0,1.0,3602.0,17.0,0.0,25.0,2.0,1.0,False,24717
15,4941,44.0,1.0,21.0,2.0,120.0,29.0,0.0,50.0,2.0,1.0,True,1313
16,4942,28.0,1.0,16.0,2.0,8990.0,42.0,2.0,35.0,2.0,1.0,False,26864
17,4943,55.0,1.0,18.0,2.0,3323.0,29.0,0.0,40.0,2.0,1.0,True,7360
18,4944,41.0,1.0,16.0,2.0,4720.0,29.0,17.0,40.0,2.0,1.0,False,150
19,4945,51.0,1.0,20.0,1.0,8255.0,139.0,1.0,43.0,1.0,1.0,True,30158
20,4946,28.0,1.0,19.0,2.0,4010.0,29.0,0.0,40.0,2.0,2.0,False,27031
21,4947,58.0,2.0,21.0,2.0,5740.0,29.0,0.0,40.0,2.0,1.0,False,24124
22,4948,79.0,1.0,22.0,2.0,1760.0,33.0,0.0,3.0,1.0,1.0,False,20925
23,4949,55.0,6.0,19.0,2.0,3602.0,29.0,2.0,40.0,2.0,1.0,False,28223
24,4950,21.0,1.0,16.0,2.0,7750.0,29.0,17.0,30.0,1.0,1.0,False,207
25,4951,23.0,1.0,14.0,2.0,3601.0,29.0,13.0,15.0,1.0,1.0,False,9021
26,4952,43.0,1.0,19.0,1.0,3930.0,42.0,0.0,56.0,1.0,1.0,True,17118
27,4953,21.0,1.0,19.0,2.0,3603.0,29.0,2.0,24.0,2.0,1.0,False,1719
28,4954,44.0,1.0,20.0,1.0,6825.0,29.0,0.0,50.0,1.0,1.0,True,7788
29,4955,30.0,1.0,18.0,2.0,4110.0,29.0,17.0,20.0,2.0,2.0,False,713
30,4956,17.0,1.0,14.0,2.0,4251.0,29.0,2.0,24.0,1.0,1.0,False,16657
31,4957,41.0,1.0,19.0,2.0,8810.0,29.0,0.0,50.0,1.0,1.0,True,21057
32,4958,61.0,1.0,13.0,1.0,9600.0,29.0,0.0,40.0,1.0,1.0,False,6645
33,4959,33.0,1.0,19.0,1.0,6260.0,29.0,0.0,40.0,1.0,1.0,False,24036
34,4960,38.0,1.0,21.0,1.0,52.0,29.0,0.0,45.0,2.0,1.0,True,22631
35,4961,27.0,1.0,20.0,1.0,8030.0,29.0,0.0,40.0,1.0,1.0,False,1791
36,4962,48.0,1.0,16.0,2.0,9130.0,20.0,0.0,40.0,1.0,2.0,False,30286
37,4963,54.0,4.0,16.0,1.0,8990.0,29.0,1.0,40.0,2.0,1.0,False,26274
38,4964,54.0,1.0,17.0,1.0,8740.0,29.0,1.0,40.0,2.0,1.0,False,12829
39,4965,31.0,1.0,16.0,1.0,8140.0,6.0,1.0,40.0,1.0,1.0,False,10012
40,4966,59.0,1.0,16.0,1.0,5740.0,29.0,0.0,40.0,2.0,1.0,False,12415
41,4967,21.0,4.0,19.0,2.0,3030.0,17.0,12.0,25.0,2.0,1.0,False,16388
42,4968,37.0,8.0,19.0,1.0,10.0,6.0,0.0,50.0,1.0,1.0,False,10577
43,4969,31.0,1.0,16.0,1.0,9130.0,29.0,0.0,55.0,1.0,1.0,False,17658
44,4970,21.0,1.0,20.0,2.0,5240.0,207.0,3.0,40.0,2.0,2.0,False,15707
45,4971,27.0,2.0,21.0,1.0,2300.0,29.0,0.0,40.0,2.0,1.0,False,3550
46,4972,69.0,1.0,20.0,1.0,2905.0,26.0,0.0,24.0,1.0,1.0,True,2591
47,4973,20.0,1.0,19.0,2.0,4720.0,18.0,2.0,35.0,2.0,1.0,False,27839
48,4974,46.0,1.0,19.0,1.0,4720.0,29.0,1.0,40.0,1.0,2.0,False,19788
49,4975,55.0,6.0,20.0,1.0,3603.0,29.0,0.0,36.0,2.0,2.0,False,8281
50,4976,58.0,1.0,18.0,1.0,5860.0,29.0,1.0,34.0,2.0,1.0,False,1797
51,4977,59.0,2.0,17.0,1.0,440.0,17.0,0.0,40.0,1.0,1.0,False,4247
52,4978,42.0,1.0,17.0,1.0,6355.0,29.0,1.0,40.0,1.0,1.0,True,14651
53,4979,18.0,1.0,16.0,2.0,9620.0,6.0,2.0,32.0,1.0,1.0,False,1847
54,4980,20.0,1.0,19.0,1.0,3602.0,29.0,0.0,45.0,2.0,1.0,False,6053
55,4981,66.0,6.0,22.0,1.0,810.0,29.0,0.0,40.0,1.0,1.0,True,30758
56,4982,28.0,1.0,16.0,1.0,8990.0,29.0,0.0,40.0,1.0,1.0,False,11238
57,4983,18.0,1.0,15.0,2.0,4000.0,29.0,2.0,26.0,1.0,1.0,False,29955
58,4984,23.0,1.0,21.0,2.0,3421.0,29.0,17.0,15.0,1.0,1.0,False,477
59,4985,23.0,1.0,21.0,2.0,5410.0,29.0,12.0,30.0,2.0,1.0,False,10853
60,4986,60.0,1.0,16.0,1.0,5610.0,29.0,0.0,40.0,2.0,1.0,False,12423
61,4987,52.0,1.0,21.0,1.0,440.0,55.0,0.0,55.0,1.0,1.0,True,30220
62,4988,70.0,1.0,21.0,2.0,5165.0,29.0,0.0,40.0,2.0,2.0,False,28430
63,4989,18.0,1.0,14.0,2.0,7750.0,29.0,2.0,25.0,1.0,1.0,False,26141
64,4990,57.0,1.0,15.0,1.0,3601.0,29.0,0.0,20.0,2.0,1.0,False,5807
65,4991,56.0,5.0,20.0,2.0,5250.0,138.0,0.0,45.0,2.0,1.0,True,29956
66,4992,32.0,2.0,21.0,2.0,350.0,29.0,0.0,50.0,2.0,1.0,True,13512
67,4993,25.0,1.0,13.0,2.0,8990.0,210.0,5.0,40.0,2.0,2.0,False,15026
68,4994,23.0,1.0,20.0,2.0,5240.0,29.0,2.0,35.0,2.0,1.0,False,9359
69,4995,17.0,1.0,14.0,2.0,4720.0,29.0,2.0,10.0,1.0,2.0,False,26976
70,4996,57.0,1.0,18.0,1.0,9130.0,6.0,0.0,70.0,1.0,1.0,False,21963
71,4997,23.0,1.0,19.0,2.0,3603.0,19.0,15.0,25.0,2.0,1.0,False,11645
72,4998,55.0,7.0,16.0,1.0,6410.0,40.0,1.0,40.0,1.0,1.0,False,22917
73,4999,68.0,7.0,21.0,1.0,2004.0,40.0,1.0,24.0,1.0,1.0,True,14467
74,5000,32.0,1.0,17.0,2.0,6200.0,17.0,13.0,45.0,1.0,1.0,False,21494
75,5001,30.0,1.0,21.0,1.0,1410.0,29.0,0.0,40.0,1.0,1.0,False,5911
76,5002,61.0,1.0,23.0,1.0,2100.0,36.0,1.0,45.0,1.0,1.0,True,21937
77,5003,64.0,1.0,14.0,1.0,205.0,29.0,1.0,20.0,1.0,1.0,False,27515
78,5004,65.0,6.0,16.0,2.0,7200.0,29.0,0.0,30.0,1.0,1.0,True,2631
79,5005,42.0,1.0,16.0,1.0,9620.0,29.0,1.0,40.0,1.0,1.0,False,25028
80,5006,34.0,2.0,21.0,1.0,726.0,29.0,1.0,40.0,2.0,1.0,True,27607
81,5007,45.0,1.0,22.0,1.0,2310.0,29.0,0.0,45.0,2.0,1.0,False,31525
82,5008,20.0,1.0,16.0,1.0,8140.0,29.0,1.0,40.0,1.0,1.0,False,3187
83,5009,54.0,1.0,22.0,2.0,1760.0,29.0,15.0,40.0,1.0,1.0,False,26499
84,5010,47.0,6.0,22.0,2.0,3230.0,18.0,0.0,60.0,2.0,1.0,False,8557
85,5011,56.0,6.0,16.0,2.0,6230.0,19.0,0.0,27.0,1.0,1.0,False,9374
86,5012,26.0,1.0,19.0,2.0,8710.0,29.0,0.0,40.0,1.0,2.0,False,29825
87,5013,48.0,4.0,22.0,2.0,2310.0,29.0,0.0,40.0,1.0,1.0,True,22170
88,5014,30.0,1.0,18.0,2.0,5840.0,29.0,0.0,40.0,2.0,1.0,False,7423
89,5015,31.0,1.0,19.0,1.0,6442.0,29.0,0.0,40.0,1.0,1.0,True,17299
90,5016,50.0,1.0,16.0,1.0,910.0,29.0,1.0,30.0,1.0,1.0,False,14360
91,5017,17.0,1.0,14.0,2.0,4140.0,29.0,2.0,12.0,1.0,1.0,False,9121
