,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,10865,67.0,1.0,16.0,2.0,9620.0,28.0,0.0,40.0,1.0,2.0,False,9225
1,10866,38.0,5.0,19.0,2.0,4400.0,12.0,0.0,40.0,2.0,2.0,False,11555
2,10867,35.0,1.0,20.0,2.0,4720.0,28.0,0.0,40.0,2.0,1.0,False,2674
3,10868,61.0,1.0,20.0,1.0,9130.0,28.0,1.0,60.0,1.0,1.0,False,10524
4,10869,43.0,2.0,15.0,1.0,2545.0,28.0,0.0,40.0,2.0,2.0,False,5247
5,10870,34.0,1.0,16.0,2.0,7855.0,28.0,0.0,40.0,2.0,1.0,False,7283
6,10871,48.0,4.0,20.0,2.0,3930.0,28.0,2.0,55.0,1.0,2.0,True,1797
7,10872,26.0,2.0,21.0,1.0,2040.0,28.0,0.0,40.0,1.0,1.0,False,4977
8,10873,51.0,3.0,1.0,1.0,2400.0,22.0,1.0,40.0,1.0,1.0,False,9030
9,10874,40.0,1.0,16.0,1.0,5600.0,47.0,0.0,50.0,1.0,1.0,True,2824
10,10875,75.0,1.0,16.0,1.0,4120.0,28.0,0.0,20.0,2.0,2.0,False,12429
11,10876,59.0,4.0,21.0,1.0,3255.0,28.0,0.0,40.0,2.0,1.0,False,9243
12,10877,31.0,1.0,20.0,1.0,3255.0,28.0,0.0,40.0,2.0,1.0,False,1769
13,10878,29.0,5.0,16.0,1.0,9825.0,6.0,17.0,40.0,1.0,1.0,False,319
14,10879,68.0,1.0,20.0,1.0,440.0,28.0,0.0,84.0,1.0,1.0,True,12597
15,10880,48.0,1.0,20.0,2.0,340.0,48.0,13.0,40.0,2.0,1.0,False,4901
16,10881,30.0,1.0,20.0,1.0,52.0,28.0,1.0,28.0,2.0,1.0,False,3346
17,10882,35.0,3.0,13.0,2.0,9122.0,49.0,0.0,25.0,2.0,1.0,False,12155
18,10883,52.0,1.0,16.0,1.0,8225.0,28.0,0.0,40.0,1.0,2.0,False,7055
19,10884,59.0,1.0,17.0,2.0,4700.0,28.0,13.0,45.0,1.0,1.0,False,12675
20,10885,23.0,1.0,16.0,2.0,9620.0,28.0,4.0,40.0,1.0,2.0,False,9586
21,10886,33.0,3.0,19.0,1.0,7200.0,6.0,1.0,40.0,1.0,2.0,False,7882
22,10887,38.0,6.0,20.0,1.0,7150.0,28.0,1.0,40.0,1.0,1.0,True,2343
23,10888,61.0,1.0,21.0,1.0,1010.0,13.0,1.0,35.0,1.0,1.0,True,5760
24,10889,54.0,1.0,17.0,1.0,7360.0,28.0,0.0,40.0,1.0,1.0,False,5995
25,10890,28.0,2.0,24.0,1.0,3140.0,12.0,0.0,40.0,2.0,1.0,True,9607
26,10891,24.0,1.0,21.0,2.0,4700.0,41.0,2.0,35.0,1.0,2.0,False,8428
27,10892,25.0,1.0,16.0,1.0,7810.0,303.0,2.0,40.0,2.0,2.0,False,5975
28,10893,50.0,1.0,16.0,2.0,9600.0,28.0,0.0,40.0,1.0,2.0,False,659
29,10894,58.0,2.0,20.0,2.0,5740.0,28.0,0.0,12.0,2.0,2.0,False,1975
30,10895,35.0,1.0,18.0,2.0,9005.0,28.0,0.0,38.0,2.0,1.0,False,2781
31,10896,56.0,1.0,20.0,1.0,9130.0,28.0,1.0,50.0,1.0,2.0,True,7492
32,10897,41.0,1.0,22.0,2.0,2722.0,28.0,0.0,4.0,2.0,2.0,False,12908
33,10898,67.0,6.0,21.0,2.0,6050.0,28.0,0.0,40.0,2.0,1.0,False,6101
34,10899,60.0,1.0,20.0,1.0,1010.0,28.0,1.0,40.0,1.0,1.0,True,6352
35,10900,65.0,1.0,16.0,1.0,4020.0,28.0,0.0,20.0,1.0,2.0,False,11131
36,10901,48.0,1.0,21.0,1.0,530.0,26.0,1.0,45.0,1.0,1.0,True,3124
37,10902,71.0,2.0,16.0,1.0,5740.0,28.0,1.0,16.0,2.0,1.0,False,7335
38,10903,43.0,5.0,20.0,1.0,1108.0,6.0,0.0,40.0,1.0,2.0,True,7352
39,10904,23.0,1.0,18.0,2.0,3603.0,28.0,2.0,40.0,2.0,1.0,False,11439
40,10905,27.0,4.0,17.0,2.0,9600.0,28.0,15.0,70.0,1.0,2.0,False,4502
41,10906,29.0,5.0,18.0,2.0,8990.0,37.0,0.0,55.0,1.0,1.0,False,11626
