,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,8677,34.0,1.0,14.0,2.0,6410.0,42.0,0.0,40.0,1.0,2.0,False
1,8678,57.0,1.0,16.0,2.0,7240.0,37.0,13.0,40.0,1.0,1.0,False
2,8679,25.0,1.0,18.0,2.0,9620.0,37.0,2.0,20.0,1.0,1.0,False
3,8680,25.0,5.0,19.0,2.0,9825.0,31.0,17.0,40.0,1.0,1.0,False
4,8681,27.0,1.0,16.0,2.0,8320.0,37.0,0.0,40.0,2.0,2.0,False
5,8682,64.0,1.0,20.0,2.0,6355.0,42.0,0.0,40.0,1.0,1.0,False
6,8683,50.0,1.0,21.0,1.0,1430.0,37.0,1.0,50.0,1.0,1.0,True
7,8684,40.0,1.0,24.0,2.0,2205.0,210.0,0.0,40.0,2.0,2.0,True
8,8685,47.0,2.0,21.0,1.0,3255.0,51.0,0.0,36.0,2.0,1.0,True
9,8686,73.0,6.0,17.0,1.0,4810.0,37.0,0.0,20.0,1.0,1.0,False
10,8687,45.0,1.0,19.0,1.0,10.0,51.0,0.0,45.0,1.0,1.0,True
11,8688,20.0,4.0,19.0,2.0,5240.0,13.0,17.0,10.0,2.0,2.0,False
12,8689,47.0,3.0,21.0,1.0,2310.0,301.0,1.0,50.0,2.0,1.0,False
13,8690,18.0,1.0,18.0,2.0,4110.0,38.0,4.0,30.0,2.0,2.0,False
14,8691,58.0,1.0,16.0,2.0,4850.0,37.0,0.0,40.0,2.0,2.0,False
15,8692,23.0,1.0,16.0,2.0,6230.0,6.0,15.0,50.0,1.0,2.0,False
16,8693,56.0,1.0,17.0,1.0,440.0,37.0,1.0,50.0,1.0,1.0,True
17,8694,25.0,1.0,16.0,1.0,3300.0,37.0,9.0,40.0,2.0,2.0,False
18,8695,27.0,1.0,16.0,2.0,7855.0,37.0,0.0,45.0,2.0,2.0,False
19,8696,47.0,3.0,19.0,1.0,5320.0,37.0,1.0,40.0,2.0,1.0,False
20,8697,60.0,7.0,19.0,1.0,800.0,37.0,1.0,50.0,2.0,1.0,True
21,8698,41.0,1.0,22.0,1.0,2320.0,37.0,3.0,40.0,2.0,1.0,False
22,8699,22.0,1.0,20.0,1.0,7200.0,37.0,0.0,50.0,1.0,1.0,False
23,8700,54.0,6.0,22.0,1.0,710.0,8.0,0.0,40.0,1.0,1.0,False
24,8701,52.0,2.0,22.0,1.0,2310.0,37.0,1.0,50.0,2.0,1.0,False
25,8702,24.0,4.0,21.0,2.0,2145.0,37.0,2.0,90.0,2.0,1.0,False
26,8703,59.0,1.0,20.0,1.0,3255.0,42.0,1.0,40.0,2.0,1.0,False
27,8704,59.0,4.0,19.0,1.0,8990.0,51.0,0.0,40.0,2.0,1.0,False
28,8705,60.0,1.0,17.0,1.0,3640.0,37.0,1.0,32.0,2.0,1.0,False
29,8706,35.0,5.0,19.0,1.0,3740.0,39.0,0.0,72.0,1.0,1.0,True
30,8707,59.0,4.0,18.0,1.0,1108.0,42.0,0.0,40.0,1.0,1.0,True
31,8708,47.0,5.0,21.0,1.0,9825.0,28.0,1.0,60.0,1.0,2.0,True
32,8709,67.0,6.0,22.0,1.0,1006.0,39.0,0.0,45.0,1.0,1.0,False
33,8710,24.0,4.0,21.0,2.0,440.0,36.0,13.0,40.0,2.0,1.0,False
34,8711,66.0,4.0,16.0,2.0,2545.0,37.0,0.0,12.0,2.0,2.0,False
35,8712,33.0,1.0,21.0,1.0,2310.0,39.0,1.0,40.0,1.0,1.0,False
36,8713,62.0,3.0,19.0,1.0,1555.0,5.0,1.0,25.0,1.0,1.0,False
37,8714,46.0,1.0,21.0,1.0,10.0,18.0,0.0,55.0,1.0,1.0,True
38,8715,33.0,4.0,22.0,2.0,2310.0,36.0,0.0,60.0,2.0,1.0,False
39,8716,62.0,2.0,21.0,1.0,420.0,36.0,1.0,45.0,1.0,1.0,False
40,8717,44.0,1.0,21.0,1.0,705.0,42.0,0.0,46.0,2.0,1.0,True
41,8718,46.0,1.0,20.0,1.0,4760.0,37.0,0.0,33.0,2.0,1.0,False
42,8719,43.0,1.0,21.0,1.0,136.0,54.0,0.0,50.0,1.0,1.0,True
43,8720,58.0,1.0,16.0,1.0,4760.0,37.0,1.0,25.0,1.0,1.0,False
44,8721,29.0,1.0,21.0,2.0,4760.0,30.0,12.0,40.0,1.0,1.0,False
45,8722,27.0,1.0,22.0,1.0,7700.0,37.0,1.0,40.0,1.0,2.0,False
46,8723,67.0,1.0,24.0,1.0,3090.0,51.0,0.0,40.0,1.0,1.0,True
47,8724,34.0,1.0,16.0,2.0,735.0,37.0,0.0,45.0,1.0,1.0,False
48,8725,57.0,4.0,22.0,1.0,230.0,45.0,1.0,40.0,2.0,1.0,True
49,8726,64.0,1.0,22.0,2.0,1460.0,37.0,0.0,40.0,2.0,2.0,True
50,8727,52.0,1.0,20.0,1.0,2145.0,37.0,0.0,50.0,2.0,2.0,True
51,8728,44.0,4.0,19.0,2.0,4600.0,37.0,0.0,36.0,2.0,2.0,False
52,8729,73.0,4.0,18.0,2.0,5860.0,47.0,0.0,16.0,2.0,1.0,False
53,8730,63.0,1.0,16.0,1.0,4720.0,37.0,1.0,16.0,2.0,1.0,False
54,8731,49.0,5.0,19.0,2.0,5550.0,37.0,0.0,60.0,2.0,1.0,True
55,8732,49.0,1.0,17.0,1.0,110.0,12.0,0.0,50.0,1.0,1.0,True
56,8733,36.0,2.0,24.0,2.0,205.0,26.0,0.0,55.0,1.0,1.0,True
57,8734,35.0,1.0,16.0,1.0,4110.0,37.0,4.0,20.0,2.0,2.0,False
58,8735,73.0,7.0,19.0,2.0,52.0,37.0,0.0,60.0,1.0,1.0,True
59,8736,58.0,1.0,20.0,1.0,3255.0,51.0,0.0,32.0,2.0,1.0,False
60,8737,21.0,1.0,18.0,2.0,4720.0,37.0,3.0,39.0,2.0,2.0,False
61,8738,59.0,1.0,21.0,1.0,1108.0,45.0,1.0,45.0,2.0,1.0,True
62,8739,37.0,1.0,23.0,2.0,3250.0,51.0,0.0,45.0,2.0,1.0,True
63,8740,54.0,2.0,21.0,2.0,4540.0,37.0,0.0,40.0,1.0,1.0,False
64,8741,65.0,4.0,21.0,1.0,2320.0,37.0,0.0,40.0,2.0,1.0,True
65,8742,61.0,4.0,23.0,1.0,2100.0,45.0,0.0,45.0,1.0,1.0,True
66,8743,62.0,1.0,22.0,1.0,1530.0,20.0,0.0,55.0,1.0,1.0,True
67,8744,31.0,6.0,15.0,1.0,4230.0,362.0,1.0,25.0,2.0,2.0,False
