,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,5391,31.0,2.0,21.0,1.0,2310.0,31.0,1.0,30.0,2.0,1.0,False
1,5392,28.0,1.0,21.0,2.0,2170.0,31.0,0.0,40.0,2.0,1.0,False
2,5393,59.0,1.0,21.0,1.0,1555.0,31.0,0.0,44.0,1.0,1.0,True
3,5394,39.0,1.0,21.0,2.0,800.0,31.0,0.0,40.0,2.0,1.0,True
4,5395,30.0,1.0,15.0,2.0,4020.0,31.0,2.0,35.0,1.0,1.0,False
5,5396,75.0,7.0,21.0,1.0,440.0,25.0,0.0,14.0,1.0,1.0,True
6,5397,54.0,3.0,16.0,2.0,5260.0,31.0,0.0,48.0,2.0,1.0,False
7,5398,64.0,1.0,18.0,1.0,6050.0,31.0,0.0,60.0,1.0,1.0,False
8,5399,18.0,1.0,18.0,2.0,4130.0,31.0,2.0,4.0,2.0,1.0,False
9,5400,56.0,5.0,19.0,1.0,6010.0,31.0,1.0,68.0,2.0,1.0,False
10,5401,52.0,1.0,23.0,1.0,2310.0,31.0,0.0,40.0,1.0,1.0,True
11,5402,46.0,1.0,18.0,1.0,3603.0,31.0,0.0,40.0,2.0,1.0,False
12,5403,29.0,1.0,19.0,2.0,8630.0,31.0,2.0,42.0,1.0,1.0,True
13,5404,29.0,1.0,20.0,1.0,800.0,31.0,1.0,45.0,2.0,1.0,False
14,5405,46.0,1.0,16.0,1.0,6200.0,19.0,0.0,40.0,1.0,1.0,False
15,5406,42.0,1.0,21.0,1.0,4700.0,19.0,1.0,45.0,1.0,1.0,True
16,5407,60.0,3.0,16.0,2.0,2545.0,31.0,0.0,40.0,2.0,1.0,False
17,5408,33.0,4.0,21.0,1.0,2310.0,31.0,0.0,40.0,2.0,1.0,False
18,5409,61.0,1.0,21.0,1.0,2810.0,31.0,0.0,42.0,1.0,1.0,False
19,5410,38.0,3.0,24.0,1.0,2100.0,31.0,0.0,10.0,2.0,2.0,False
20,5411,32.0,2.0,24.0,1.0,1825.0,6.0,0.0,50.0,2.0,2.0,False
21,5412,58.0,2.0,16.0,1.0,420.0,31.0,0.0,40.0,1.0,1.0,True
22,5413,23.0,5.0,18.0,2.0,7140.0,45.0,0.0,40.0,1.0,1.0,False
23,5414,25.0,1.0,19.0,2.0,6250.0,310.0,12.0,55.0,1.0,2.0,False
24,5415,21.0,1.0,16.0,1.0,5160.0,31.0,0.0,40.0,2.0,1.0,False
25,5416,38.0,1.0,22.0,1.0,10.0,31.0,1.0,50.0,2.0,1.0,True
