,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,6350,40.0,1.0,19.0,1.0,8030.0,33.0,9.0,40.0,1.0,1.0,False,3236
1,6351,51.0,1.0,17.0,2.0,5860.0,25.0,0.0,40.0,2.0,1.0,False,3581
2,6352,56.0,3.0,19.0,2.0,440.0,25.0,12.0,35.0,2.0,1.0,False,2021
3,6353,40.0,1.0,18.0,1.0,7420.0,25.0,1.0,40.0,1.0,1.0,True,5404
4,6354,43.0,1.0,16.0,1.0,630.0,33.0,15.0,40.0,2.0,1.0,False,3329
5,6355,63.0,1.0,22.0,1.0,4710.0,25.0,0.0,50.0,1.0,1.0,True,7927
6,6356,28.0,1.0,20.0,1.0,3310.0,33.0,1.0,40.0,2.0,1.0,True,2664
7,6357,32.0,1.0,20.0,2.0,7700.0,37.0,12.0,50.0,1.0,1.0,False,2924
8,6358,66.0,4.0,16.0,1.0,5740.0,50.0,0.0,9.0,2.0,1.0,False,2681
9,6359,26.0,2.0,21.0,2.0,735.0,33.0,13.0,40.0,2.0,1.0,False,6311
10,6360,23.0,1.0,21.0,2.0,845.0,50.0,0.0,40.0,1.0,1.0,True,7479
11,6361,17.0,1.0,15.0,2.0,4720.0,33.0,2.0,10.0,2.0,1.0,False,7406
12,6362,56.0,3.0,16.0,1.0,8990.0,25.0,1.0,40.0,1.0,1.0,True,4202
13,6363,55.0,1.0,21.0,1.0,4850.0,33.0,0.0,75.0,1.0,1.0,True,6592
14,6364,18.0,1.0,18.0,2.0,4435.0,25.0,17.0,20.0,1.0,1.0,False,6
15,6365,52.0,1.0,16.0,2.0,630.0,36.0,0.0,40.0,2.0,1.0,False,2065
16,6366,23.0,1.0,16.0,2.0,4020.0,25.0,2.0,40.0,1.0,1.0,False,7582
17,6367,61.0,1.0,18.0,1.0,2360.0,33.0,0.0,40.0,1.0,1.0,False,1333
18,6368,69.0,1.0,16.0,1.0,4760.0,33.0,1.0,10.0,2.0,1.0,False,4749
19,6369,58.0,3.0,16.0,1.0,6355.0,25.0,1.0,50.0,1.0,1.0,True,5340
20,6370,56.0,2.0,16.0,2.0,350.0,25.0,13.0,40.0,2.0,1.0,True,2022
21,6371,41.0,1.0,17.0,2.0,5630.0,132.0,13.0,40.0,2.0,1.0,True,1554
22,6372,32.0,6.0,16.0,2.0,6200.0,33.0,0.0,40.0,1.0,1.0,False,4476
23,6373,22.0,1.0,19.0,2.0,7220.0,33.0,2.0,48.0,1.0,1.0,False,5293
24,6374,19.0,6.0,19.0,2.0,4621.0,33.0,17.0,30.0,1.0,1.0,False,71
25,6375,18.0,5.0,16.0,2.0,4622.0,33.0,17.0,70.0,1.0,1.0,False,364
26,6376,75.0,6.0,22.0,1.0,2910.0,23.0,0.0,10.0,1.0,1.0,True,2757
27,6377,65.0,1.0,22.0,2.0,800.0,33.0,0.0,18.0,2.0,1.0,False,5745
28,6378,22.0,1.0,16.0,2.0,4030.0,33.0,2.0,40.0,1.0,1.0,False,7611
29,6379,37.0,1.0,18.0,2.0,9620.0,33.0,13.0,48.0,1.0,1.0,False,5494
30,6380,43.0,3.0,20.0,1.0,2310.0,25.0,0.0,34.0,2.0,1.0,False,2306
