,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,23889,30.0,1.0,24.0,2.0,3090.0,6.0,0.0,50.0,1.0,2.0,False
1,23890,32.0,1.0,21.0,2.0,1021.0,134.0,0.0,50.0,1.0,1.0,True
2,23891,71.0,2.0,16.0,1.0,1108.0,34.0,0.0,40.0,1.0,1.0,True
3,23892,55.0,1.0,22.0,1.0,51.0,207.0,1.0,40.0,1.0,2.0,True
4,23893,52.0,3.0,21.0,1.0,1305.0,9.0,0.0,40.0,1.0,1.0,True
5,23894,63.0,1.0,23.0,1.0,2100.0,34.0,1.0,45.0,1.0,1.0,True
6,23895,75.0,1.0,23.0,1.0,3090.0,231.0,1.0,60.0,1.0,2.0,True
7,23896,42.0,1.0,22.0,1.0,630.0,39.0,1.0,60.0,1.0,1.0,True
8,23897,22.0,1.0,21.0,2.0,4840.0,42.0,12.0,40.0,1.0,1.0,False
9,23898,44.0,1.0,21.0,1.0,120.0,42.0,1.0,50.0,1.0,1.0,False
10,23899,36.0,1.0,1.0,2.0,4030.0,72.0,0.0,40.0,2.0,2.0,False
11,23900,35.0,7.0,21.0,1.0,4220.0,34.0,1.0,60.0,1.0,2.0,False
12,23901,17.0,1.0,14.0,2.0,4350.0,34.0,2.0,14.0,2.0,1.0,False
13,23902,18.0,1.0,18.0,2.0,2722.0,36.0,10.0,30.0,2.0,1.0,False
14,23903,37.0,1.0,19.0,2.0,5240.0,34.0,0.0,35.0,2.0,1.0,True
15,23904,56.0,1.0,20.0,1.0,1006.0,34.0,0.0,40.0,1.0,1.0,True
16,23905,67.0,1.0,21.0,1.0,2634.0,34.0,0.0,26.0,2.0,1.0,True
17,23906,38.0,1.0,19.0,1.0,6230.0,34.0,1.0,36.0,1.0,1.0,True
18,23907,21.0,3.0,19.0,2.0,4622.0,36.0,12.0,40.0,2.0,1.0,False
19,23908,46.0,2.0,16.0,2.0,6230.0,303.0,0.0,40.0,1.0,2.0,False
20,23909,55.0,1.0,11.0,1.0,4220.0,329.0,1.0,40.0,2.0,1.0,False
21,23910,19.0,1.0,16.0,2.0,1108.0,34.0,12.0,40.0,2.0,1.0,False
22,23911,55.0,4.0,21.0,1.0,2310.0,34.0,0.0,35.0,2.0,1.0,True
23,23912,48.0,1.0,21.0,1.0,4700.0,34.0,1.0,45.0,1.0,1.0,True
24,23913,33.0,1.0,19.0,1.0,8255.0,36.0,2.0,40.0,1.0,1.0,False
25,23914,72.0,1.0,22.0,1.0,101.0,34.0,1.0,40.0,2.0,1.0,True
26,23915,50.0,1.0,23.0,1.0,3090.0,210.0,0.0,45.0,2.0,2.0,True
27,23916,70.0,8.0,22.0,1.0,4760.0,36.0,0.0,8.0,2.0,1.0,False
28,23917,44.0,1.0,21.0,2.0,1006.0,34.0,0.0,60.0,1.0,1.0,True
29,23918,58.0,3.0,21.0,2.0,4220.0,314.0,0.0,40.0,2.0,1.0,False
30,23919,37.0,1.0,21.0,2.0,710.0,210.0,0.0,40.0,2.0,2.0,False
31,23920,41.0,1.0,22.0,1.0,1065.0,210.0,0.0,40.0,1.0,2.0,True
32,23921,49.0,1.0,16.0,2.0,20.0,34.0,0.0,45.0,1.0,1.0,True
33,23922,32.0,1.0,18.0,2.0,5860.0,34.0,2.0,40.0,2.0,2.0,False
34,23923,27.0,1.0,22.0,1.0,710.0,240.0,1.0,40.0,2.0,2.0,True
35,23924,45.0,1.0,16.0,1.0,4500.0,42.0,0.0,40.0,2.0,1.0,False
36,23925,31.0,1.0,22.0,1.0,1007.0,36.0,2.0,40.0,2.0,2.0,False
37,23926,67.0,2.0,18.0,1.0,2545.0,447.0,0.0,30.0,1.0,2.0,False
38,23927,58.0,1.0,15.0,1.0,5000.0,243.0,0.0,40.0,1.0,1.0,True
39,23928,54.0,1.0,22.0,1.0,2310.0,36.0,1.0,40.0,2.0,1.0,True
40,23929,32.0,1.0,18.0,2.0,4840.0,312.0,0.0,40.0,2.0,1.0,True
41,23930,43.0,1.0,22.0,1.0,4710.0,210.0,0.0,40.0,1.0,2.0,True
42,23931,61.0,6.0,21.0,1.0,5000.0,9.0,0.0,20.0,1.0,1.0,False
43,23932,21.0,1.0,16.0,2.0,705.0,34.0,13.0,25.0,2.0,1.0,True
44,23933,32.0,1.0,24.0,1.0,1760.0,460.0,0.0,40.0,2.0,2.0,True
45,23934,54.0,1.0,22.0,1.0,2300.0,210.0,1.0,35.0,2.0,2.0,False
46,23935,47.0,1.0,21.0,2.0,5740.0,34.0,0.0,30.0,1.0,1.0,False
47,23936,64.0,1.0,16.0,1.0,9620.0,42.0,0.0,40.0,1.0,1.0,False
48,23937,47.0,1.0,17.0,1.0,1108.0,34.0,1.0,40.0,1.0,2.0,True
49,23938,71.0,1.0,16.0,2.0,5400.0,37.0,0.0,40.0,2.0,1.0,False
50,23939,29.0,1.0,18.0,2.0,2910.0,34.0,0.0,40.0,1.0,1.0,False
51,23940,26.0,4.0,21.0,2.0,800.0,440.0,0.0,20.0,1.0,2.0,False
52,23941,51.0,1.0,18.0,1.0,8100.0,34.0,0.0,40.0,1.0,1.0,False
53,23942,52.0,3.0,21.0,1.0,4600.0,34.0,0.0,35.0,2.0,1.0,False
54,23943,59.0,1.0,16.0,1.0,5140.0,42.0,1.0,40.0,2.0,1.0,True
