,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,2467,43.0,1.0,17.0,1.0,4940.0,247.0,1.0,12.0,2.0,2.0,False
1,2468,62.0,1.0,20.0,1.0,5120.0,18.0,0.0,45.0,2.0,1.0,False
2,2469,38.0,5.0,21.0,1.0,9430.0,15.0,1.0,50.0,1.0,1.0,True
3,2470,37.0,1.0,23.0,2.0,2100.0,42.0,0.0,70.0,1.0,1.0,True
4,2471,65.0,1.0,16.0,2.0,9141.0,41.0,13.0,24.0,1.0,1.0,False
5,2472,37.0,3.0,24.0,1.0,2205.0,4.0,1.0,40.0,2.0,1.0,True
6,2473,45.0,7.0,16.0,2.0,440.0,327.0,0.0,40.0,1.0,1.0,False
7,2474,68.0,6.0,16.0,1.0,6260.0,9.0,1.0,15.0,1.0,1.0,False
8,2475,24.0,1.0,16.0,2.0,4700.0,6.0,13.0,30.0,2.0,1.0,False
9,2476,53.0,1.0,21.0,1.0,2640.0,49.0,0.0,40.0,2.0,1.0,False
10,2477,18.0,1.0,16.0,1.0,4720.0,6.0,2.0,20.0,2.0,2.0,False
11,2478,36.0,1.0,19.0,2.0,5400.0,32.0,0.0,40.0,2.0,2.0,False
12,2479,50.0,6.0,9.0,2.0,4850.0,315.0,0.0,22.0,2.0,2.0,False
13,2480,25.0,2.0,20.0,2.0,2752.0,109.0,12.0,20.0,1.0,2.0,False
14,2481,44.0,3.0,17.0,1.0,4400.0,6.0,0.0,19.0,2.0,2.0,False
15,2482,64.0,3.0,22.0,2.0,2320.0,24.0,0.0,50.0,2.0,1.0,True
16,2483,53.0,1.0,16.0,1.0,9620.0,9.0,1.0,40.0,1.0,1.0,False
17,2484,41.0,1.0,19.0,1.0,1050.0,6.0,0.0,35.0,2.0,1.0,False
18,2485,35.0,1.0,19.0,2.0,9005.0,6.0,12.0,45.0,1.0,1.0,True
19,2486,65.0,3.0,21.0,2.0,3602.0,233.0,0.0,30.0,2.0,2.0,False
20,2487,69.0,1.0,19.0,2.0,5240.0,6.0,0.0,20.0,2.0,1.0,False
21,2488,49.0,4.0,22.0,1.0,2310.0,8.0,0.0,40.0,2.0,1.0,True
22,2489,44.0,1.0,21.0,2.0,4850.0,1.0,0.0,60.0,2.0,1.0,True
23,2490,44.0,1.0,16.0,1.0,4700.0,6.0,0.0,40.0,2.0,1.0,False
24,2491,59.0,3.0,14.0,2.0,2002.0,32.0,0.0,40.0,2.0,2.0,True
25,2492,37.0,1.0,19.0,1.0,220.0,32.0,1.0,40.0,1.0,1.0,True
26,2493,18.0,1.0,14.0,2.0,4720.0,32.0,2.0,20.0,1.0,1.0,False
27,2494,45.0,2.0,21.0,2.0,2014.0,416.0,0.0,40.0,1.0,2.0,False
28,2495,50.0,1.0,21.0,1.0,5530.0,6.0,0.0,40.0,1.0,1.0,False
29,2496,48.0,1.0,19.0,2.0,9040.0,32.0,2.0,40.0,2.0,1.0,False
30,2497,41.0,1.0,16.0,2.0,4800.0,137.0,13.0,38.0,1.0,1.0,True
31,2498,72.0,1.0,20.0,1.0,2145.0,48.0,0.0,24.0,1.0,1.0,True
32,2499,45.0,1.0,22.0,1.0,800.0,6.0,0.0,45.0,2.0,1.0,True
33,2500,60.0,1.0,18.0,1.0,7140.0,6.0,1.0,40.0,1.0,1.0,True
34,2501,24.0,1.0,21.0,2.0,51.0,32.0,5.0,40.0,2.0,1.0,False
