,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,0,33.0,1.0,13.0,2.0,6442.0,39.0,0.0,40.0,1.0,2.0,False,55910
1,1,26.0,1.0,19.0,1.0,2360.0,39.0,0.0,40.0,1.0,1.0,True,5122
2,2,18.0,2.0,18.0,2.0,5860.0,25.0,2.0,20.0,2.0,2.0,False,18189
3,3,30.0,1.0,16.0,1.0,120.0,39.0,0.0,45.0,2.0,1.0,False,9258
4,4,50.0,1.0,16.0,2.0,51.0,39.0,0.0,55.0,1.0,1.0,True,59587
5,5,20.0,1.0,16.0,2.0,4252.0,39.0,3.0,40.0,1.0,1.0,False,38245
6,6,38.0,1.0,18.0,1.0,9130.0,21.0,0.0,50.0,1.0,1.0,False,43606
7,7,22.0,1.0,19.0,2.0,4251.0,36.0,2.0,30.0,1.0,1.0,False,15978
8,8,29.0,5.0,21.0,2.0,5550.0,21.0,2.0,40.0,1.0,1.0,False,2743
9,9,18.0,1.0,18.0,2.0,4110.0,39.0,7.0,25.0,2.0,2.0,False,25597
10,10,32.0,3.0,16.0,1.0,5400.0,39.0,1.0,30.0,2.0,1.0,False,44944
11,11,46.0,2.0,21.0,2.0,2310.0,39.0,0.0,45.0,2.0,1.0,True,42649
12,12,50.0,1.0,13.0,1.0,3601.0,39.0,0.0,9.0,2.0,2.0,False,7468
13,13,39.0,6.0,21.0,2.0,2721.0,139.0,0.0,20.0,1.0,1.0,False,33879
14,14,52.0,2.0,16.0,2.0,9122.0,39.0,0.0,40.0,2.0,2.0,False,15784
15,15,52.0,5.0,21.0,1.0,1400.0,39.0,0.0,40.0,1.0,1.0,True,52488
16,16,32.0,1.0,16.0,1.0,9645.0,39.0,0.0,50.0,2.0,1.0,False,49782
17,17,38.0,6.0,16.0,2.0,6410.0,39.0,0.0,35.0,1.0,1.0,False,17107
18,18,77.0,7.0,21.0,1.0,5000.0,42.0,1.0,40.0,2.0,1.0,True,61214
19,19,19.0,5.0,15.0,2.0,9825.0,39.0,2.0,25.0,2.0,1.0,False,54709
20,20,37.0,1.0,17.0,2.0,3930.0,39.0,16.0,25.0,1.0,2.0,False,1411
21,21,18.0,1.0,18.0,2.0,4600.0,39.0,2.0,10.0,1.0,1.0,False,21402
22,22,28.0,1.0,20.0,2.0,20.0,39.0,0.0,40.0,1.0,1.0,False,56050
23,23,31.0,1.0,16.0,1.0,7750.0,39.0,0.0,40.0,2.0,1.0,False,9699
24,24,18.0,1.0,16.0,2.0,4150.0,39.0,17.0,30.0,2.0,1.0,False,1417
25,25,39.0,1.0,22.0,1.0,650.0,48.0,0.0,45.0,1.0,1.0,True,42793
26,26,57.0,1.0,16.0,1.0,4710.0,35.0,0.0,55.0,1.0,1.0,True,6674
27,27,67.0,6.0,16.0,1.0,6130.0,12.0,0.0,30.0,1.0,1.0,True,2732
28,28,44.0,1.0,21.0,1.0,520.0,39.0,1.0,40.0,1.0,1.0,True,4035
29,29,60.0,1.0,16.0,1.0,9620.0,39.0,0.0,8.0,1.0,1.0,False,40009
30,30,47.0,1.0,18.0,1.0,8225.0,39.0,0.0,40.0,2.0,1.0,False,24470
31,31,40.0,4.0,19.0,1.0,5260.0,39.0,0.0,40.0,2.0,1.0,False,15119
32,32,33.0,1.0,19.0,2.0,7720.0,39.0,7.0,40.0,1.0,1.0,False,19601
33,33,46.0,3.0,16.0,1.0,6260.0,39.0,0.0,40.0,1.0,1.0,False,34091
34,34,66.0,2.0,16.0,1.0,102.0,39.0,0.0,40.0,1.0,1.0,True,12672
35,35,61.0,1.0,20.0,1.0,7000.0,39.0,0.0,45.0,1.0,1.0,True,49377
36,36,36.0,1.0,17.0,1.0,7700.0,39.0,0.0,40.0,1.0,1.0,True,49174
37,37,25.0,7.0,16.0,2.0,6260.0,312.0,0.0,40.0,1.0,1.0,False,61258
38,38,26.0,1.0,19.0,2.0,4110.0,26.0,13.0,30.0,2.0,2.0,False,43355
39,39,53.0,1.0,21.0,1.0,1555.0,429.0,1.0,53.0,1.0,2.0,False,46334
40,40,44.0,6.0,21.0,1.0,2910.0,39.0,0.0,8.0,2.0,1.0,False,33627
41,41,60.0,3.0,20.0,1.0,5420.0,54.0,1.0,40.0,2.0,1.0,True,57665
42,42,59.0,1.0,16.0,2.0,9620.0,39.0,0.0,40.0,1.0,1.0,True,32650
43,43,30.0,1.0,20.0,1.0,4210.0,39.0,0.0,50.0,1.0,1.0,False,58477
