,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,8655,64.0,6.0,21.0,2.0,2910.0,34.0,0.0,40.0,1.0,1.0,False,11698
1,8656,26.0,1.0,15.0,1.0,6305.0,40.0,1.0,40.0,1.0,1.0,False,9582
2,8657,60.0,2.0,20.0,1.0,3255.0,39.0,0.0,32.0,2.0,1.0,False,15863
3,8658,64.0,1.0,19.0,1.0,205.0,8.0,1.0,50.0,1.0,1.0,False,12663
4,8659,47.0,1.0,21.0,1.0,4850.0,40.0,0.0,50.0,1.0,1.0,True,4421
5,8660,32.0,1.0,16.0,1.0,6230.0,303.0,0.0,46.0,1.0,1.0,False,17622
6,8661,30.0,1.0,21.0,1.0,5740.0,217.0,0.0,40.0,2.0,2.0,False,16140
7,8662,66.0,5.0,21.0,1.0,5550.0,40.0,0.0,43.0,1.0,1.0,False,12529
8,8663,38.0,1.0,22.0,1.0,1360.0,362.0,0.0,40.0,1.0,1.0,True,11390
9,8664,32.0,1.0,16.0,2.0,5860.0,40.0,13.0,40.0,2.0,1.0,False,5056
10,8665,54.0,2.0,16.0,1.0,5940.0,40.0,0.0,40.0,2.0,2.0,False,14751
11,8666,30.0,1.0,19.0,2.0,8990.0,40.0,0.0,50.0,1.0,2.0,False,5597
12,8667,53.0,4.0,16.0,1.0,5740.0,40.0,1.0,32.0,2.0,1.0,False,16342
13,8668,57.0,3.0,18.0,2.0,5120.0,40.0,0.0,38.0,2.0,2.0,False,12458
14,8669,38.0,1.0,15.0,2.0,6460.0,303.0,13.0,40.0,1.0,1.0,False,7544
15,8670,35.0,1.0,16.0,1.0,5600.0,40.0,1.0,38.0,2.0,1.0,False,4262
16,8671,45.0,6.0,18.0,1.0,9142.0,40.0,0.0,60.0,1.0,1.0,True,9681
17,8672,18.0,1.0,16.0,1.0,4030.0,40.0,1.0,35.0,1.0,1.0,False,8814
18,8673,22.0,1.0,20.0,1.0,4720.0,40.0,1.0,20.0,2.0,1.0,False,4885
19,8674,40.0,1.0,19.0,2.0,3500.0,40.0,0.0,45.0,2.0,2.0,False,2813
20,8675,54.0,1.0,19.0,1.0,9030.0,41.0,1.0,40.0,2.0,1.0,False,6729
21,8676,53.0,4.0,22.0,1.0,2310.0,20.0,1.0,36.0,2.0,2.0,False,4128
22,8677,34.0,1.0,21.0,1.0,1520.0,22.0,0.0,45.0,2.0,1.0,False,16362
23,8678,34.0,1.0,21.0,2.0,1021.0,20.0,0.0,40.0,1.0,1.0,True,7590
24,8679,33.0,1.0,19.0,2.0,940.0,42.0,13.0,45.0,1.0,1.0,False,4671
25,8680,38.0,2.0,16.0,1.0,4020.0,40.0,0.0,25.0,2.0,2.0,False,7868
26,8681,41.0,1.0,19.0,2.0,5000.0,29.0,0.0,40.0,2.0,1.0,False,11258
27,8682,35.0,1.0,21.0,2.0,1860.0,40.0,2.0,40.0,2.0,1.0,False,12723
28,8683,60.0,2.0,22.0,1.0,2040.0,40.0,0.0,45.0,1.0,1.0,True,15329
29,8684,46.0,1.0,20.0,1.0,3255.0,40.0,4.0,30.0,2.0,2.0,False,9039
30,8685,31.0,1.0,20.0,2.0,1545.0,6.0,0.0,40.0,1.0,1.0,False,3581
31,8686,60.0,1.0,18.0,1.0,5400.0,42.0,1.0,37.0,2.0,1.0,False,9244
32,8687,50.0,7.0,22.0,1.0,10.0,48.0,0.0,60.0,1.0,1.0,True,10224
33,8688,43.0,5.0,16.0,2.0,3323.0,40.0,2.0,40.0,2.0,2.0,True,2118
34,8689,34.0,1.0,16.0,1.0,6230.0,40.0,1.0,40.0,1.0,2.0,False,14739
35,8690,21.0,1.0,16.0,1.0,6050.0,23.0,2.0,45.0,1.0,1.0,False,10978
36,8691,40.0,1.0,16.0,1.0,9600.0,40.0,1.0,40.0,1.0,2.0,False,5550
37,8692,30.0,1.0,15.0,2.0,6260.0,40.0,2.0,40.0,1.0,2.0,True,11888
38,8693,43.0,7.0,16.0,1.0,6200.0,40.0,0.0,30.0,1.0,2.0,False,12703
39,8694,54.0,1.0,19.0,1.0,4760.0,40.0,0.0,40.0,1.0,1.0,True,15033
40,8695,43.0,6.0,16.0,2.0,4510.0,40.0,2.0,40.0,2.0,1.0,False,2460
41,8696,33.0,1.0,16.0,1.0,7240.0,40.0,0.0,40.0,1.0,2.0,False,5502
42,8697,55.0,6.0,19.0,2.0,6230.0,40.0,0.0,28.0,1.0,2.0,False,7903
43,8698,64.0,1.0,19.0,1.0,5740.0,40.0,0.0,40.0,2.0,1.0,False,8540
44,8699,74.0,1.0,16.0,1.0,9130.0,40.0,0.0,40.0,1.0,1.0,True,14076
45,8700,72.0,3.0,14.0,2.0,6305.0,40.0,0.0,43.0,1.0,1.0,False,11057
46,8701,37.0,6.0,16.0,2.0,6260.0,6.0,5.0,1.0,1.0,1.0,False,6683
47,8702,32.0,6.0,20.0,1.0,7315.0,40.0,1.0,50.0,1.0,2.0,True,3127
48,8703,64.0,1.0,16.0,2.0,3603.0,303.0,0.0,40.0,2.0,1.0,False,15170
49,8704,59.0,1.0,19.0,1.0,4720.0,47.0,1.0,20.0,2.0,1.0,False,4570
50,8705,37.0,1.0,1.0,1.0,8140.0,303.0,0.0,40.0,1.0,1.0,False,4798
51,8706,30.0,1.0,19.0,2.0,8990.0,40.0,0.0,40.0,1.0,1.0,False,6458
52,8707,26.0,6.0,16.0,1.0,4710.0,48.0,0.0,40.0,1.0,1.0,False,5115
53,8708,33.0,7.0,16.0,1.0,4700.0,40.0,1.0,30.0,1.0,1.0,False,9861
54,8709,40.0,1.0,16.0,1.0,7200.0,40.0,1.0,40.0,1.0,1.0,True,3563
55,8710,34.0,1.0,19.0,2.0,1400.0,40.0,0.0,34.0,1.0,1.0,False,1032
56,8711,26.0,4.0,21.0,1.0,52.0,370.0,1.0,50.0,2.0,1.0,False,16987
57,8712,53.0,4.0,21.0,2.0,2310.0,8.0,0.0,40.0,2.0,2.0,False,12973
58,8713,60.0,4.0,22.0,2.0,2310.0,40.0,0.0,40.0,2.0,1.0,False,1149
59,8714,38.0,5.0,16.0,1.0,5540.0,5.0,0.0,50.0,1.0,2.0,True,3476
60,8715,60.0,2.0,17.0,2.0,2825.0,40.0,0.0,20.0,1.0,1.0,False,7910
61,8716,46.0,1.0,16.0,1.0,8800.0,40.0,0.0,40.0,1.0,1.0,False,13701
62,8717,62.0,1.0,20.0,1.0,2830.0,19.0,1.0,40.0,2.0,1.0,True,8874
63,8718,36.0,1.0,19.0,2.0,5240.0,40.0,0.0,40.0,1.0,1.0,False,9862
64,8719,37.0,5.0,22.0,1.0,136.0,29.0,1.0,45.0,1.0,1.0,True,13600
65,8720,52.0,1.0,17.0,2.0,4720.0,13.0,0.0,8.0,2.0,2.0,False,6926
66,8721,21.0,1.0,19.0,2.0,4760.0,40.0,2.0,16.0,2.0,1.0,False,14405
67,8722,26.0,1.0,16.0,1.0,4810.0,40.0,0.0,40.0,2.0,1.0,False,7613
