,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,10854,19.0,1.0,16.0,2.0,9620.0,16.0,12.0,60.0,1.0,1.0,False,7604
1,10855,36.0,1.0,20.0,1.0,5240.0,41.0,1.0,45.0,2.0,1.0,False,9275
2,10856,52.0,1.0,18.0,1.0,4820.0,53.0,1.0,40.0,1.0,1.0,True,1294
3,10857,39.0,1.0,19.0,1.0,9130.0,16.0,1.0,40.0,1.0,1.0,False,1804
4,10858,32.0,3.0,20.0,1.0,2545.0,6.0,1.0,10.0,2.0,1.0,False,15543
5,10859,47.0,3.0,16.0,1.0,4220.0,303.0,0.0,40.0,1.0,1.0,False,14459
6,10860,55.0,1.0,21.0,1.0,440.0,6.0,0.0,50.0,2.0,1.0,True,4718
7,10861,39.0,5.0,22.0,2.0,630.0,42.0,0.0,45.0,2.0,1.0,True,10326
8,10862,40.0,1.0,12.0,1.0,4030.0,303.0,0.0,34.0,2.0,1.0,False,6140
9,10863,64.0,2.0,20.0,1.0,6050.0,6.0,1.0,20.0,1.0,1.0,True,13462
10,10864,57.0,2.0,18.0,1.0,5860.0,6.0,0.0,38.0,2.0,1.0,False,7842
11,10865,47.0,6.0,19.0,1.0,220.0,41.0,15.0,50.0,1.0,1.0,False,15171
12,10866,38.0,6.0,22.0,2.0,6260.0,53.0,0.0,10.0,1.0,1.0,False,10843
13,10867,60.0,7.0,21.0,2.0,3255.0,6.0,0.0,99.0,2.0,1.0,True,4007
14,10868,50.0,1.0,20.0,1.0,4350.0,41.0,1.0,40.0,1.0,1.0,True,10383
15,10869,61.0,6.0,18.0,1.0,6220.0,164.0,0.0,40.0,1.0,1.0,False,9462
16,10870,25.0,1.0,21.0,2.0,1970.0,20.0,12.0,40.0,1.0,1.0,False,5120
17,10871,31.0,5.0,22.0,2.0,2002.0,30.0,0.0,40.0,2.0,1.0,False,4237
18,10872,43.0,1.0,21.0,1.0,10.0,34.0,1.0,50.0,1.0,1.0,True,1644
19,10873,28.0,1.0,21.0,1.0,300.0,41.0,0.0,50.0,1.0,1.0,True,841
20,10874,24.0,1.0,19.0,2.0,1935.0,41.0,0.0,60.0,1.0,1.0,True,18425
21,10875,49.0,1.0,15.0,1.0,4850.0,26.0,0.0,40.0,1.0,1.0,True,7754
22,10876,42.0,1.0,22.0,2.0,8640.0,41.0,0.0,40.0,1.0,1.0,False,8540
23,10877,40.0,1.0,21.0,2.0,1021.0,41.0,13.0,40.0,1.0,1.0,True,5149
24,10878,40.0,1.0,19.0,1.0,6260.0,48.0,0.0,50.0,1.0,1.0,True,4061
25,10879,65.0,2.0,19.0,1.0,3646.0,41.0,1.0,40.0,2.0,1.0,False,17529
26,10880,44.0,1.0,16.0,2.0,4760.0,19.0,2.0,8.0,2.0,1.0,False,9001
27,10881,27.0,1.0,19.0,2.0,5740.0,47.0,13.0,40.0,2.0,1.0,False,16885
28,10882,67.0,6.0,20.0,1.0,6410.0,17.0,0.0,32.0,1.0,1.0,True,5785
29,10883,33.0,1.0,22.0,1.0,1021.0,210.0,0.0,40.0,1.0,2.0,True,2181
30,10884,35.0,6.0,21.0,1.0,2634.0,36.0,1.0,10.0,2.0,1.0,False,2972
31,10885,21.0,1.0,17.0,2.0,310.0,2.0,12.0,35.0,1.0,1.0,False,11714
32,10886,43.0,3.0,21.0,1.0,3870.0,6.0,1.0,50.0,1.0,1.0,True,20759
33,10887,25.0,1.0,18.0,2.0,7210.0,41.0,2.0,42.0,1.0,1.0,False,18071
34,10888,36.0,1.0,17.0,1.0,9130.0,41.0,0.0,40.0,1.0,1.0,False,9320
35,10889,64.0,1.0,22.0,1.0,110.0,53.0,0.0,50.0,1.0,1.0,True,18546
36,10890,20.0,1.0,19.0,2.0,4435.0,41.0,15.0,30.0,2.0,1.0,False,21570
37,10891,71.0,1.0,16.0,1.0,4230.0,41.0,1.0,25.0,2.0,1.0,False,18075
38,10892,29.0,1.0,21.0,2.0,410.0,41.0,0.0,40.0,2.0,1.0,False,17363
39,10893,22.0,5.0,19.0,2.0,1105.0,26.0,17.0,40.0,1.0,1.0,False,648
40,10894,78.0,7.0,16.0,1.0,10.0,6.0,0.0,50.0,2.0,1.0,True,11954
41,10895,24.0,1.0,12.0,2.0,7855.0,303.0,2.0,48.0,1.0,2.0,False,8508
42,10896,33.0,6.0,16.0,1.0,4510.0,301.0,0.0,32.0,2.0,1.0,False,20034
43,10897,20.0,1.0,19.0,2.0,9620.0,41.0,12.0,5.0,1.0,1.0,False,13538
44,10898,28.0,1.0,18.0,2.0,4600.0,41.0,2.0,40.0,2.0,1.0,False,21814
45,10899,31.0,1.0,19.0,2.0,5240.0,6.0,2.0,40.0,2.0,1.0,False,15085
46,10900,55.0,4.0,19.0,1.0,3602.0,6.0,1.0,30.0,2.0,1.0,False,7204
47,10901,58.0,7.0,21.0,1.0,110.0,12.0,0.0,70.0,1.0,1.0,True,20230
48,10902,19.0,1.0,18.0,2.0,4030.0,41.0,17.0,25.0,2.0,1.0,False,560
49,10903,43.0,4.0,22.0,1.0,2205.0,11.0,0.0,40.0,1.0,1.0,True,13081
50,10904,52.0,6.0,19.0,1.0,6260.0,41.0,0.0,40.0,1.0,1.0,False,20357
51,10905,49.0,1.0,17.0,1.0,6200.0,41.0,0.0,43.0,1.0,1.0,True,2588
52,10906,35.0,2.0,22.0,1.0,2310.0,4.0,1.0,40.0,2.0,1.0,False,4228
53,10907,60.0,1.0,21.0,2.0,350.0,27.0,0.0,45.0,2.0,1.0,True,13975
54,10908,33.0,2.0,19.0,1.0,440.0,41.0,0.0,25.0,1.0,1.0,False,16977
55,10909,31.0,4.0,21.0,1.0,2310.0,41.0,1.0,50.0,2.0,1.0,False,7738
56,10910,30.0,1.0,21.0,1.0,800.0,41.0,1.0,40.0,1.0,1.0,True,8102
57,10911,39.0,6.0,22.0,2.0,440.0,132.0,0.0,30.0,2.0,1.0,False,21528
58,10912,68.0,1.0,16.0,2.0,8256.0,41.0,17.0,15.0,2.0,1.0,False,521
59,10913,66.0,1.0,15.0,1.0,6005.0,303.0,10.0,45.0,1.0,1.0,True,4451
60,10914,30.0,1.0,16.0,2.0,1530.0,32.0,0.0,50.0,1.0,1.0,True,10869
61,10915,61.0,1.0,17.0,1.0,6305.0,41.0,1.0,40.0,1.0,1.0,False,4535
62,10916,50.0,4.0,23.0,2.0,2310.0,6.0,0.0,48.0,2.0,1.0,True,1386
63,10917,43.0,1.0,2.0,1.0,7700.0,41.0,1.0,60.0,1.0,1.0,True,17611
64,10918,20.0,2.0,19.0,2.0,4420.0,41.0,10.0,26.0,1.0,1.0,False,8643
65,10919,32.0,1.0,22.0,1.0,440.0,164.0,1.0,40.0,2.0,1.0,True,11580
66,10920,47.0,4.0,21.0,1.0,1108.0,34.0,1.0,20.0,2.0,1.0,False,3010
67,10921,61.0,2.0,20.0,2.0,1006.0,41.0,0.0,50.0,2.0,1.0,True,21613
