,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,53960,25.0,3.0,20.0,2.0,5000.0,42.0,2.0,40.0,1.0,1.0,False,7492
1,53961,63.0,1.0,16.0,2.0,6230.0,39.0,2.0,40.0,1.0,1.0,False,57529
2,53962,44.0,1.0,17.0,1.0,7000.0,341.0,0.0,50.0,1.0,2.0,False,11849
3,53963,48.0,1.0,20.0,1.0,1460.0,42.0,1.0,48.0,1.0,1.0,True,66363
4,53964,52.0,6.0,16.0,1.0,4200.0,24.0,1.0,50.0,1.0,1.0,False,10113
5,53965,25.0,1.0,19.0,2.0,6355.0,42.0,4.0,40.0,1.0,2.0,False,49563
6,53966,45.0,1.0,16.0,1.0,6260.0,54.0,1.0,40.0,1.0,1.0,False,66483
7,53967,45.0,4.0,16.0,2.0,4220.0,42.0,0.0,40.0,2.0,1.0,False,26396
8,53968,63.0,1.0,23.0,1.0,2100.0,42.0,0.0,40.0,1.0,1.0,True,5369
9,53969,40.0,2.0,21.0,1.0,420.0,42.0,0.0,15.0,2.0,1.0,False,61299
10,53970,26.0,1.0,18.0,1.0,3300.0,42.0,1.0,22.0,2.0,1.0,False,54908
11,53971,59.0,1.0,19.0,2.0,5260.0,42.0,13.0,40.0,2.0,2.0,True,13309
12,53972,56.0,1.0,16.0,1.0,7950.0,42.0,1.0,40.0,1.0,1.0,True,22406
13,53973,47.0,5.0,16.0,1.0,5550.0,42.0,0.0,40.0,1.0,1.0,True,55660
14,53974,46.0,2.0,18.0,1.0,3255.0,34.0,0.0,42.0,2.0,1.0,True,11881
15,53975,65.0,2.0,18.0,2.0,5860.0,42.0,0.0,40.0,2.0,1.0,False,42421
16,53976,52.0,1.0,20.0,1.0,102.0,42.0,0.0,45.0,1.0,1.0,True,17254
17,53977,39.0,1.0,17.0,1.0,9130.0,42.0,0.0,30.0,1.0,1.0,False,29254
18,53978,28.0,1.0,16.0,2.0,6400.0,36.0,16.0,45.0,1.0,2.0,False,1373
19,53979,60.0,7.0,22.0,2.0,800.0,42.0,0.0,70.0,2.0,1.0,True,48618
20,53980,61.0,1.0,19.0,1.0,9130.0,42.0,1.0,50.0,1.0,1.0,True,44870
21,53981,70.0,2.0,21.0,2.0,20.0,42.0,0.0,46.0,2.0,1.0,True,30887
22,53982,48.0,1.0,19.0,1.0,4750.0,42.0,0.0,40.0,1.0,1.0,True,39168
23,53983,52.0,7.0,20.0,1.0,6230.0,42.0,0.0,50.0,1.0,1.0,False,43910
24,53984,32.0,1.0,22.0,1.0,4710.0,42.0,1.0,40.0,2.0,1.0,True,43192
25,53985,28.0,1.0,24.0,1.0,1530.0,207.0,1.0,40.0,2.0,2.0,True,42071
26,53986,55.0,6.0,16.0,1.0,4700.0,42.0,0.0,55.0,1.0,1.0,False,28472
27,53987,44.0,1.0,17.0,2.0,8140.0,42.0,16.0,50.0,1.0,1.0,False,2389
28,53988,25.0,1.0,17.0,1.0,6850.0,36.0,1.0,84.0,1.0,1.0,False,4315
29,53989,28.0,1.0,21.0,2.0,1760.0,42.0,0.0,40.0,2.0,1.0,False,9426
30,53990,61.0,1.0,21.0,1.0,705.0,301.0,1.0,60.0,1.0,1.0,True,38050
31,53991,26.0,1.0,18.0,2.0,20.0,42.0,2.0,50.0,1.0,1.0,False,37214
32,53992,21.0,1.0,19.0,2.0,1006.0,34.0,17.0,6.0,1.0,1.0,False,410
33,53993,24.0,2.0,21.0,2.0,4640.0,36.0,12.0,35.0,1.0,1.0,False,37413
34,53994,55.0,6.0,22.0,2.0,860.0,34.0,0.0,40.0,1.0,1.0,False,43838
35,53995,34.0,1.0,21.0,2.0,735.0,42.0,12.0,40.0,1.0,1.0,False,34962
36,53996,40.0,1.0,16.0,2.0,4220.0,42.0,0.0,37.0,2.0,2.0,False,61240
