,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,26800,25.0,1.0,21.0,2.0,3646.0,18.0,17.0,40.0,2.0,1.0,False,397
1,26801,37.0,1.0,16.0,1.0,4010.0,313.0,0.0,48.0,1.0,1.0,False,7715
2,26802,64.0,3.0,20.0,1.0,8130.0,28.0,1.0,40.0,1.0,1.0,False,28247
3,26803,39.0,4.0,21.0,1.0,2014.0,19.0,1.0,38.0,1.0,1.0,False,23593
4,26804,54.0,1.0,11.0,1.0,8740.0,312.0,0.0,40.0,1.0,1.0,False,4015
5,26805,44.0,5.0,21.0,2.0,750.0,47.0,2.0,40.0,2.0,1.0,True,16629
6,26806,56.0,1.0,21.0,1.0,4710.0,47.0,1.0,45.0,1.0,1.0,True,24516
7,26807,17.0,1.0,14.0,2.0,4055.0,47.0,7.0,10.0,2.0,1.0,False,18605
8,26808,47.0,1.0,16.0,2.0,7700.0,25.0,13.0,45.0,1.0,1.0,True,16540
9,26809,61.0,2.0,21.0,1.0,5740.0,28.0,1.0,40.0,2.0,1.0,False,14718
10,26810,49.0,8.0,16.0,1.0,5860.0,47.0,0.0,27.0,2.0,1.0,False,16989
11,26811,23.0,1.0,18.0,1.0,5740.0,47.0,2.0,40.0,2.0,1.0,False,3191
12,26812,33.0,1.0,21.0,2.0,6305.0,47.0,7.0,50.0,1.0,1.0,False,24738
13,26813,29.0,6.0,19.0,2.0,4920.0,47.0,0.0,40.0,2.0,1.0,False,18613
14,26814,67.0,3.0,18.0,2.0,440.0,47.0,0.0,40.0,1.0,1.0,True,8382
15,26815,78.0,6.0,22.0,1.0,4760.0,47.0,0.0,35.0,1.0,1.0,True,25178
16,26816,22.0,1.0,21.0,2.0,2545.0,139.0,12.0,20.0,2.0,1.0,False,23968
17,26817,27.0,1.0,21.0,1.0,4700.0,47.0,0.0,48.0,2.0,1.0,False,19695
18,26818,34.0,1.0,17.0,2.0,4020.0,45.0,0.0,25.0,1.0,2.0,False,5853
19,26819,31.0,1.0,18.0,2.0,4720.0,110.0,0.0,30.0,2.0,2.0,False,27004
20,26820,45.0,6.0,18.0,2.0,9130.0,6.0,0.0,12.0,1.0,1.0,False,12006
21,26821,47.0,7.0,21.0,1.0,10.0,36.0,0.0,40.0,2.0,1.0,False,33669
22,26822,52.0,1.0,19.0,1.0,160.0,20.0,1.0,55.0,1.0,1.0,True,2738
23,26823,58.0,7.0,19.0,1.0,440.0,1.0,0.0,30.0,1.0,1.0,True,31263
24,26824,28.0,1.0,16.0,2.0,6050.0,47.0,0.0,70.0,1.0,1.0,False,9139
25,26825,43.0,1.0,16.0,2.0,9620.0,47.0,2.0,40.0,1.0,1.0,True,8888
26,26826,51.0,1.0,17.0,2.0,440.0,47.0,0.0,40.0,1.0,1.0,False,31793
27,26827,48.0,1.0,19.0,1.0,8990.0,47.0,0.0,53.0,1.0,2.0,False,32982
28,26828,64.0,1.0,16.0,1.0,8740.0,26.0,1.0,70.0,1.0,1.0,True,1723
29,26829,59.0,1.0,21.0,2.0,5510.0,47.0,6.0,20.0,2.0,2.0,False,13698
30,26830,36.0,1.0,16.0,2.0,5310.0,47.0,0.0,50.0,2.0,1.0,False,25917
31,26831,27.0,4.0,21.0,1.0,3255.0,72.0,1.0,36.0,2.0,1.0,False,30502
32,26832,26.0,1.0,21.0,1.0,3255.0,6.0,1.0,52.0,2.0,1.0,False,15730
33,26833,75.0,1.0,16.0,1.0,4655.0,47.0,1.0,12.0,2.0,1.0,False,15630
34,26834,58.0,1.0,19.0,2.0,5522.0,47.0,0.0,45.0,2.0,1.0,False,7814
35,26835,40.0,6.0,16.0,2.0,440.0,47.0,16.0,70.0,1.0,1.0,False,1135
36,26836,18.0,1.0,16.0,2.0,4720.0,47.0,2.0,40.0,1.0,1.0,False,1753
37,26837,37.0,1.0,13.0,2.0,9640.0,47.0,0.0,40.0,2.0,2.0,False,25532
38,26838,46.0,1.0,14.0,2.0,6230.0,47.0,16.0,40.0,1.0,1.0,False,463
39,26839,49.0,1.0,21.0,1.0,3324.0,47.0,1.0,40.0,2.0,1.0,True,32648
40,26840,72.0,6.0,15.0,2.0,3602.0,47.0,0.0,60.0,2.0,1.0,False,27749
41,26841,41.0,2.0,24.0,2.0,2310.0,128.0,17.0,40.0,2.0,1.0,True,810
42,26842,63.0,1.0,14.0,2.0,4020.0,28.0,0.0,35.0,1.0,2.0,False,25981
43,26843,69.0,1.0,18.0,1.0,4220.0,21.0,0.0,25.0,1.0,1.0,False,19898
44,26844,39.0,1.0,21.0,1.0,6660.0,47.0,1.0,40.0,1.0,1.0,False,28400
45,26845,56.0,1.0,21.0,1.0,4850.0,47.0,1.0,50.0,1.0,1.0,True,28969
46,26846,59.0,1.0,21.0,1.0,10.0,6.0,1.0,50.0,1.0,1.0,True,29942
47,26847,56.0,1.0,16.0,1.0,20.0,47.0,1.0,50.0,2.0,2.0,True,22351
