,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,13610,57.0,1.0,16.0,1.0,5630.0,370.0,0.0,48.0,1.0,2.0,False
1,13611,58.0,7.0,19.0,1.0,9130.0,49.0,0.0,75.0,1.0,1.0,True
2,13612,62.0,5.0,22.0,1.0,5000.0,6.0,0.0,40.0,1.0,1.0,True
3,13613,18.0,1.0,16.0,2.0,4020.0,49.0,2.0,10.0,1.0,1.0,False
4,13614,21.0,2.0,18.0,2.0,6355.0,49.0,17.0,20.0,1.0,1.0,False
5,13615,42.0,1.0,20.0,1.0,9570.0,49.0,1.0,45.0,1.0,1.0,True
6,13616,47.0,1.0,21.0,2.0,2360.0,49.0,0.0,42.0,1.0,1.0,False
7,13617,34.0,1.0,19.0,1.0,4110.0,49.0,0.0,30.0,2.0,1.0,False
8,13618,41.0,1.0,16.0,1.0,9130.0,49.0,1.0,52.0,1.0,1.0,False
9,13619,50.0,6.0,16.0,1.0,6260.0,49.0,1.0,30.0,1.0,1.0,True
10,13620,24.0,1.0,19.0,2.0,3421.0,49.0,2.0,20.0,1.0,1.0,False
11,13621,56.0,1.0,1.0,1.0,8990.0,205.0,5.0,45.0,2.0,2.0,False
12,13622,32.0,1.0,16.0,2.0,9645.0,49.0,2.0,40.0,1.0,1.0,False
13,13623,32.0,6.0,21.0,1.0,2300.0,4.0,0.0,5.0,2.0,1.0,False
14,13624,31.0,1.0,20.0,1.0,3910.0,210.0,1.0,40.0,2.0,2.0,False
15,13625,53.0,1.0,16.0,1.0,7750.0,150.0,1.0,40.0,2.0,1.0,False
16,13626,60.0,1.0,19.0,1.0,4920.0,49.0,1.0,40.0,1.0,1.0,True
17,13627,27.0,4.0,21.0,1.0,2310.0,13.0,0.0,40.0,2.0,1.0,False
18,13628,57.0,1.0,23.0,1.0,2205.0,49.0,1.0,45.0,1.0,1.0,True
19,13629,48.0,3.0,19.0,1.0,4600.0,49.0,1.0,29.0,2.0,1.0,False
20,13630,34.0,1.0,16.0,1.0,7340.0,49.0,1.0,40.0,1.0,1.0,False
21,13631,70.0,6.0,21.0,1.0,440.0,49.0,0.0,60.0,1.0,1.0,False
22,13632,27.0,1.0,22.0,2.0,9650.0,49.0,2.0,80.0,1.0,1.0,False
23,13633,53.0,1.0,19.0,2.0,6260.0,49.0,2.0,40.0,1.0,1.0,True
24,13634,50.0,8.0,12.0,2.0,3603.0,49.0,6.0,70.0,2.0,1.0,True
25,13635,32.0,1.0,22.0,1.0,3245.0,49.0,1.0,40.0,2.0,1.0,False
26,13636,38.0,1.0,21.0,1.0,4710.0,6.0,0.0,40.0,1.0,1.0,True
27,13637,38.0,7.0,19.0,1.0,4700.0,49.0,1.0,35.0,2.0,1.0,False
28,13638,32.0,1.0,18.0,1.0,3630.0,49.0,0.0,20.0,2.0,1.0,False
29,13639,49.0,1.0,22.0,1.0,1305.0,49.0,1.0,40.0,1.0,1.0,True
