,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,7035,73.0,4.0,21.0,1.0,2205.0,51.0,0.0,10.0,1.0,1.0,False,34499
1,7036,33.0,4.0,22.0,2.0,2205.0,13.0,0.0,45.0,1.0,1.0,False,4262
2,7037,73.0,3.0,21.0,1.0,2310.0,39.0,0.0,35.0,1.0,1.0,False,6106
3,7038,61.0,3.0,20.0,2.0,7010.0,36.0,0.0,40.0,1.0,1.0,True,3182
4,7039,56.0,1.0,16.0,1.0,7340.0,51.0,1.0,40.0,1.0,2.0,True,4047
5,7040,24.0,1.0,16.0,2.0,160.0,51.0,0.0,45.0,1.0,1.0,False,31484
6,7041,35.0,3.0,20.0,1.0,3870.0,51.0,1.0,40.0,1.0,1.0,False,41370
7,7042,19.0,1.0,18.0,2.0,2920.0,51.0,17.0,5.0,2.0,1.0,False,385
8,7043,41.0,1.0,16.0,2.0,6050.0,37.0,2.0,30.0,1.0,1.0,False,32128
9,7044,20.0,5.0,16.0,2.0,9825.0,20.0,17.0,40.0,1.0,2.0,False,1807
10,7045,42.0,5.0,19.0,1.0,440.0,54.0,0.0,45.0,1.0,1.0,True,26805
11,7046,58.0,3.0,16.0,1.0,4200.0,51.0,0.0,40.0,1.0,1.0,True,30180
12,7047,60.0,1.0,1.0,2.0,4030.0,17.0,0.0,40.0,2.0,1.0,False,25476
13,7048,25.0,1.0,16.0,2.0,7200.0,51.0,12.0,34.0,1.0,2.0,False,3936
14,7049,48.0,5.0,23.0,1.0,1220.0,17.0,0.0,40.0,1.0,1.0,True,6707
15,7050,63.0,1.0,16.0,1.0,140.0,54.0,0.0,45.0,1.0,1.0,True,30584
16,7051,26.0,1.0,18.0,2.0,5240.0,12.0,0.0,40.0,2.0,2.0,False,30973
17,7052,31.0,1.0,22.0,1.0,220.0,51.0,0.0,40.0,2.0,1.0,False,39917
18,7053,48.0,1.0,17.0,1.0,9130.0,51.0,0.0,50.0,1.0,1.0,True,14122
19,7054,17.0,1.0,16.0,2.0,2350.0,4.0,17.0,13.0,2.0,2.0,False,1389
20,7055,43.0,7.0,20.0,1.0,2910.0,217.0,12.0,1.0,1.0,2.0,False,18747
21,7056,60.0,1.0,21.0,1.0,1220.0,42.0,0.0,40.0,1.0,1.0,True,32094
22,7057,57.0,1.0,16.0,2.0,4140.0,462.0,12.0,40.0,1.0,2.0,False,31602
23,7058,57.0,1.0,19.0,2.0,9121.0,36.0,0.0,25.0,2.0,2.0,False,23896
24,7059,47.0,1.0,1.0,1.0,6260.0,312.0,1.0,36.0,2.0,1.0,False,12153
25,7060,43.0,5.0,22.0,1.0,9830.0,51.0,0.0,45.0,1.0,2.0,True,42079
26,7061,67.0,1.0,16.0,1.0,5510.0,51.0,0.0,22.0,1.0,1.0,False,16820
27,7062,53.0,6.0,23.0,1.0,1825.0,11.0,0.0,40.0,2.0,1.0,False,16244
28,7063,21.0,1.0,16.0,2.0,4150.0,51.0,2.0,20.0,2.0,1.0,False,16167
29,7064,27.0,5.0,18.0,2.0,8600.0,51.0,0.0,40.0,1.0,1.0,False,7379
30,7065,55.0,1.0,21.0,1.0,2840.0,36.0,1.0,40.0,1.0,1.0,True,3212
31,7066,28.0,7.0,21.0,1.0,630.0,42.0,1.0,20.0,2.0,1.0,False,27742
32,7067,63.0,2.0,20.0,1.0,2825.0,13.0,1.0,30.0,2.0,1.0,False,5877
33,7068,40.0,1.0,23.0,1.0,3090.0,36.0,1.0,40.0,2.0,2.0,True,35884
34,7069,26.0,5.0,19.0,1.0,700.0,55.0,0.0,50.0,1.0,1.0,False,43445
35,7070,67.0,1.0,21.0,1.0,9030.0,15.0,1.0,40.0,1.0,1.0,True,36774
36,7071,49.0,1.0,17.0,2.0,9130.0,51.0,0.0,50.0,1.0,2.0,True,32433
37,7072,48.0,1.0,16.0,2.0,6130.0,51.0,4.0,40.0,1.0,1.0,False,33309
38,7073,19.0,7.0,19.0,2.0,3960.0,34.0,17.0,14.0,1.0,1.0,False,758
39,7074,21.0,1.0,19.0,1.0,4760.0,51.0,1.0,25.0,1.0,2.0,False,15878
40,7075,59.0,1.0,15.0,1.0,7340.0,51.0,0.0,45.0,1.0,1.0,False,5409
41,7076,27.0,1.0,21.0,1.0,1010.0,51.0,1.0,45.0,1.0,1.0,True,40804
42,7077,22.0,1.0,18.0,2.0,9620.0,51.0,2.0,30.0,1.0,2.0,False,8230
43,7078,35.0,5.0,22.0,1.0,3870.0,36.0,0.0,40.0,1.0,1.0,True,25388
44,7079,38.0,1.0,19.0,2.0,4700.0,51.0,0.0,40.0,2.0,2.0,False,6774
45,7080,29.0,1.0,19.0,2.0,5240.0,51.0,7.0,40.0,1.0,2.0,False,38128
46,7081,19.0,1.0,19.0,2.0,4760.0,51.0,2.0,15.0,2.0,2.0,False,22458
47,7082,19.0,1.0,16.0,2.0,5240.0,51.0,2.0,20.0,2.0,1.0,False,32968
48,7083,57.0,1.0,22.0,1.0,2830.0,34.0,1.0,45.0,1.0,1.0,True,18415
49,7084,30.0,1.0,17.0,2.0,7810.0,51.0,5.0,40.0,2.0,1.0,False,29551
50,7085,18.0,1.0,18.0,2.0,4720.0,24.0,17.0,35.0,2.0,2.0,False,1818
51,7086,28.0,1.0,21.0,2.0,800.0,51.0,0.0,40.0,1.0,2.0,True,31316
52,7087,30.0,1.0,19.0,1.0,4220.0,47.0,0.0,40.0,1.0,1.0,False,6730
53,7088,29.0,1.0,21.0,2.0,2634.0,51.0,0.0,40.0,2.0,2.0,False,11552
54,7089,65.0,1.0,20.0,1.0,440.0,51.0,0.0,45.0,1.0,1.0,True,35414
55,7090,62.0,7.0,20.0,1.0,4700.0,51.0,0.0,30.0,2.0,1.0,False,22163
56,7091,19.0,1.0,18.0,2.0,4720.0,25.0,2.0,40.0,1.0,1.0,False,39105
57,7092,25.0,7.0,21.0,2.0,4622.0,51.0,2.0,32.0,2.0,2.0,False,25944
58,7093,53.0,1.0,16.0,1.0,5810.0,301.0,0.0,40.0,2.0,1.0,False,37881
59,7094,21.0,1.0,20.0,2.0,7840.0,51.0,13.0,40.0,2.0,1.0,False,23245
60,7095,48.0,1.0,14.0,2.0,4710.0,51.0,0.0,50.0,1.0,2.0,False,39392
61,7096,46.0,1.0,21.0,1.0,4810.0,51.0,0.0,50.0,1.0,2.0,True,45495
62,7097,28.0,3.0,21.0,2.0,4622.0,51.0,7.0,25.0,1.0,2.0,False,42797
63,7098,45.0,1.0,21.0,2.0,735.0,51.0,0.0,45.0,2.0,1.0,True,21176
64,7099,36.0,1.0,16.0,2.0,310.0,21.0,2.0,50.0,2.0,1.0,False,6835
65,7100,46.0,1.0,21.0,2.0,2006.0,48.0,0.0,50.0,2.0,1.0,True,37820
66,7101,50.0,5.0,10.0,2.0,9620.0,51.0,16.0,60.0,1.0,2.0,False,678
67,7102,60.0,1.0,13.0,2.0,4230.0,51.0,13.0,40.0,1.0,2.0,False,37611
68,7103,30.0,3.0,22.0,1.0,2330.0,9.0,1.0,40.0,2.0,1.0,False,26048
69,7104,31.0,1.0,17.0,1.0,4110.0,51.0,1.0,50.0,2.0,1.0,False,40318
70,7105,64.0,1.0,16.0,1.0,6260.0,51.0,1.0,40.0,1.0,2.0,True,40144
71,7106,34.0,1.0,18.0,2.0,3930.0,303.0,13.0,40.0,1.0,2.0,False,20692
72,7107,34.0,1.0,21.0,1.0,7320.0,51.0,1.0,20.0,1.0,2.0,False,37981
73,7108,67.0,3.0,20.0,1.0,5860.0,51.0,0.0,28.0,1.0,1.0,False,10156
74,7109,56.0,1.0,20.0,1.0,4810.0,51.0,0.0,40.0,2.0,1.0,False,3907
75,7110,47.0,1.0,20.0,1.0,5240.0,51.0,1.0,40.0,2.0,1.0,False,23170
76,7111,61.0,6.0,21.0,1.0,5120.0,51.0,0.0,20.0,2.0,1.0,False,17795
77,7112,26.0,1.0,21.0,2.0,4600.0,303.0,15.0,32.0,2.0,2.0,False,24908
78,7113,43.0,1.0,21.0,2.0,8740.0,54.0,0.0,40.0,1.0,1.0,True,36203
79,7114,30.0,1.0,22.0,2.0,4700.0,215.0,0.0,40.0,1.0,2.0,True,10242
80,7115,30.0,1.0,16.0,2.0,710.0,303.0,0.0,40.0,2.0,2.0,False,43259
81,7116,64.0,1.0,17.0,1.0,7340.0,51.0,0.0,36.0,1.0,1.0,False,10924
82,7117,21.0,4.0,16.0,2.0,3802.0,51.0,7.0,40.0,1.0,1.0,False,39706
83,7118,17.0,1.0,13.0,2.0,4720.0,51.0,2.0,15.0,2.0,2.0,False,15782
84,7119,75.0,1.0,23.0,1.0,120.0,51.0,0.0,4.0,1.0,1.0,True,35733
85,7120,75.0,7.0,19.0,2.0,4700.0,24.0,0.0,20.0,2.0,1.0,False,18065
86,7121,42.0,1.0,21.0,1.0,860.0,36.0,1.0,39.0,2.0,1.0,True,14963
87,7122,65.0,1.0,18.0,1.0,800.0,11.0,0.0,36.0,1.0,1.0,True,40591
88,7123,72.0,7.0,16.0,1.0,4700.0,51.0,1.0,20.0,1.0,1.0,True,8639
89,7124,46.0,8.0,19.0,1.0,2865.0,6.0,0.0,10.0,2.0,1.0,False,21457
90,7125,25.0,1.0,16.0,2.0,8530.0,51.0,2.0,48.0,1.0,2.0,False,29584
91,7126,17.0,1.0,14.0,2.0,4622.0,51.0,2.0,20.0,1.0,1.0,False,2599
92,7127,32.0,1.0,22.0,1.0,7700.0,51.0,0.0,40.0,1.0,1.0,True,30067
93,7128,30.0,3.0,18.0,1.0,7200.0,6.0,0.0,40.0,1.0,1.0,True,45931
94,7129,20.0,1.0,20.0,2.0,4760.0,24.0,2.0,4.0,2.0,2.0,False,13395
95,7130,25.0,1.0,20.0,2.0,5400.0,51.0,2.0,40.0,2.0,1.0,False,35152
