,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,10880,38.0,1.0,19.0,1.0,6355.0,55.0,0.0,50.0,1.0,1.0,True,16268
1,10881,37.0,1.0,19.0,2.0,3255.0,55.0,7.0,20.0,2.0,2.0,False,16602
2,10882,68.0,1.0,19.0,1.0,6050.0,55.0,0.0,30.0,1.0,1.0,True,22010
3,10883,42.0,2.0,20.0,1.0,340.0,55.0,0.0,40.0,2.0,1.0,False,18437
4,10884,46.0,3.0,22.0,1.0,2002.0,36.0,1.0,40.0,2.0,1.0,True,4025
5,10885,71.0,8.0,19.0,1.0,8910.0,55.0,1.0,7.0,1.0,1.0,False,20588
6,10886,52.0,1.0,15.0,2.0,410.0,18.0,0.0,30.0,2.0,1.0,False,16536
7,10887,30.0,1.0,14.0,2.0,9600.0,55.0,0.0,40.0,1.0,1.0,False,12229
8,10888,36.0,1.0,19.0,2.0,7200.0,19.0,0.0,40.0,1.0,1.0,True,16138
9,10889,37.0,1.0,21.0,2.0,3255.0,55.0,13.0,36.0,2.0,2.0,True,25828
10,10890,47.0,2.0,18.0,2.0,2145.0,55.0,0.0,40.0,2.0,1.0,False,14095
11,10891,66.0,1.0,21.0,1.0,1360.0,17.0,0.0,44.0,1.0,1.0,True,2932
12,10892,39.0,1.0,16.0,1.0,4040.0,55.0,0.0,12.0,2.0,1.0,False,26953
13,10893,31.0,1.0,18.0,1.0,5360.0,55.0,0.0,40.0,2.0,1.0,False,10808
14,10894,39.0,1.0,16.0,2.0,9620.0,55.0,5.0,30.0,2.0,1.0,False,8656
15,10895,68.0,1.0,19.0,1.0,52.0,55.0,0.0,40.0,1.0,1.0,True,5935
16,10896,51.0,1.0,20.0,2.0,5860.0,55.0,0.0,24.0,2.0,1.0,False,16384
17,10897,17.0,1.0,14.0,2.0,4055.0,55.0,2.0,22.0,1.0,1.0,False,22868
18,10898,49.0,3.0,20.0,1.0,6050.0,55.0,1.0,40.0,1.0,1.0,False,13446
19,10899,28.0,1.0,16.0,2.0,9720.0,55.0,2.0,60.0,1.0,1.0,False,19255
20,10900,61.0,1.0,16.0,1.0,9620.0,55.0,1.0,50.0,1.0,1.0,False,3017
21,10901,53.0,1.0,16.0,1.0,9630.0,55.0,1.0,40.0,2.0,1.0,False,14457
22,10902,21.0,1.0,21.0,2.0,705.0,55.0,2.0,25.0,1.0,1.0,False,11032
23,10903,65.0,1.0,16.0,2.0,4220.0,55.0,0.0,20.0,1.0,1.0,True,24911
24,10904,43.0,1.0,19.0,2.0,7750.0,55.0,0.0,40.0,1.0,1.0,True,17966
25,10905,51.0,1.0,20.0,1.0,440.0,39.0,1.0,45.0,1.0,1.0,True,20560
26,10906,25.0,1.0,20.0,2.0,3255.0,55.0,0.0,36.0,2.0,1.0,False,14037
27,10907,24.0,1.0,21.0,2.0,3050.0,47.0,2.0,80.0,2.0,1.0,True,15585
28,10908,32.0,1.0,17.0,2.0,3602.0,55.0,13.0,40.0,2.0,1.0,False,20070
29,10909,53.0,1.0,20.0,1.0,5740.0,55.0,0.0,38.0,2.0,1.0,False,25015
30,10910,36.0,7.0,21.0,1.0,6410.0,55.0,1.0,78.0,1.0,1.0,True,24923
31,10911,52.0,1.0,16.0,2.0,6260.0,55.0,2.0,40.0,1.0,1.0,False,27199
32,10912,31.0,1.0,21.0,2.0,1450.0,55.0,0.0,45.0,2.0,1.0,True,13010
33,10913,59.0,1.0,22.0,2.0,1825.0,55.0,13.0,28.0,2.0,1.0,False,3492
34,10914,18.0,1.0,16.0,2.0,4110.0,55.0,2.0,25.0,2.0,1.0,False,25485
35,10915,48.0,2.0,18.0,1.0,420.0,26.0,1.0,20.0,2.0,1.0,False,21284
36,10916,49.0,1.0,16.0,1.0,5600.0,55.0,1.0,45.0,2.0,1.0,True,5707
37,10917,39.0,1.0,23.0,1.0,2100.0,55.0,1.0,50.0,1.0,1.0,True,6066
38,10918,58.0,1.0,18.0,1.0,4700.0,55.0,0.0,60.0,1.0,2.0,False,12694
39,10919,56.0,7.0,16.0,1.0,6260.0,55.0,1.0,40.0,1.0,1.0,True,27429
40,10920,29.0,3.0,21.0,1.0,2310.0,17.0,0.0,50.0,1.0,1.0,False,28700
41,10921,48.0,1.0,16.0,2.0,440.0,55.0,0.0,50.0,1.0,1.0,False,27155
42,10922,56.0,1.0,16.0,2.0,6200.0,26.0,0.0,32.0,1.0,1.0,False,20310
43,10923,42.0,4.0,24.0,2.0,2310.0,240.0,0.0,40.0,2.0,2.0,True,29338
44,10924,65.0,1.0,16.0,1.0,9645.0,55.0,0.0,40.0,1.0,1.0,False,14118
45,10925,66.0,1.0,16.0,2.0,7700.0,6.0,8.0,40.0,2.0,1.0,False,11396
46,10926,48.0,2.0,21.0,1.0,3030.0,55.0,1.0,40.0,2.0,1.0,True,10654
47,10927,55.0,6.0,18.0,2.0,4950.0,55.0,0.0,27.0,2.0,1.0,False,9770
48,10928,39.0,4.0,22.0,1.0,230.0,26.0,1.0,50.0,2.0,1.0,True,16330
49,10929,58.0,7.0,17.0,1.0,5740.0,12.0,1.0,10.0,2.0,1.0,False,29616
50,10930,53.0,1.0,21.0,1.0,51.0,55.0,1.0,40.0,1.0,2.0,True,18042
51,10931,57.0,7.0,16.0,1.0,10.0,55.0,0.0,40.0,2.0,1.0,False,19049
52,10932,57.0,4.0,23.0,1.0,230.0,55.0,0.0,50.0,1.0,1.0,True,10557
53,10933,33.0,1.0,16.0,2.0,9620.0,55.0,0.0,40.0,1.0,1.0,True,20660
54,10934,64.0,6.0,16.0,1.0,6130.0,55.0,0.0,40.0,1.0,1.0,False,28716
55,10935,65.0,1.0,18.0,1.0,7700.0,17.0,0.0,40.0,1.0,1.0,True,19104
56,10936,20.0,1.0,16.0,2.0,6040.0,55.0,2.0,38.0,2.0,1.0,False,3255
57,10937,35.0,2.0,19.0,2.0,3640.0,55.0,0.0,40.0,2.0,1.0,False,19040
58,10938,74.0,4.0,20.0,1.0,565.0,55.0,0.0,27.0,1.0,1.0,True,1575
59,10939,38.0,1.0,16.0,1.0,4020.0,303.0,0.0,34.0,1.0,1.0,False,16417
60,10940,33.0,1.0,16.0,2.0,8990.0,55.0,0.0,40.0,1.0,1.0,False,22708
61,10941,60.0,1.0,16.0,2.0,3940.0,28.0,17.0,35.0,1.0,2.0,False,1152
62,10942,53.0,6.0,19.0,1.0,9130.0,17.0,1.0,50.0,1.0,1.0,True,31934
63,10943,61.0,1.0,16.0,1.0,9620.0,55.0,0.0,45.0,1.0,1.0,True,14624
64,10944,56.0,2.0,24.0,1.0,2205.0,27.0,0.0,40.0,1.0,1.0,True,18379
65,10945,31.0,1.0,16.0,2.0,4220.0,55.0,13.0,50.0,1.0,2.0,False,6974
66,10946,44.0,7.0,21.0,1.0,6355.0,27.0,1.0,45.0,1.0,1.0,False,3574
67,10947,61.0,1.0,16.0,1.0,6442.0,55.0,0.0,40.0,1.0,1.0,True,31831
68,10948,17.0,1.0,14.0,2.0,4150.0,55.0,2.0,10.0,2.0,1.0,False,10536
69,10949,67.0,1.0,19.0,1.0,310.0,55.0,1.0,32.0,1.0,1.0,False,21811
70,10950,78.0,6.0,20.0,2.0,2040.0,55.0,0.0,2.0,2.0,1.0,False,2723
71,10951,60.0,7.0,20.0,1.0,205.0,55.0,1.0,90.0,1.0,1.0,True,22104
72,10952,24.0,1.0,21.0,2.0,2640.0,55.0,2.0,50.0,1.0,1.0,True,14767
73,10953,41.0,2.0,16.0,2.0,9620.0,55.0,17.0,15.0,2.0,1.0,False,210
74,10954,71.0,1.0,19.0,1.0,4760.0,55.0,1.0,40.0,1.0,1.0,True,25127
75,10955,19.0,1.0,19.0,2.0,8300.0,13.0,17.0,47.0,2.0,1.0,False,5
76,10956,22.0,2.0,16.0,2.0,5400.0,17.0,17.0,8.0,1.0,2.0,False,362
77,10957,30.0,1.0,20.0,1.0,4850.0,55.0,1.0,50.0,2.0,1.0,True,23029
78,10958,57.0,7.0,21.0,2.0,710.0,55.0,0.0,45.0,1.0,1.0,False,15532
79,10959,41.0,1.0,18.0,1.0,6050.0,27.0,1.0,80.0,1.0,1.0,True,26366
80,10960,87.0,3.0,20.0,1.0,800.0,19.0,0.0,7.0,1.0,1.0,False,19658
81,10961,65.0,2.0,19.0,2.0,4600.0,55.0,0.0,20.0,1.0,2.0,True,31269
82,10962,38.0,3.0,16.0,1.0,5400.0,55.0,0.0,40.0,2.0,1.0,False,2512
83,10963,54.0,1.0,13.0,1.0,5600.0,55.0,0.0,40.0,1.0,1.0,True,3887
84,10964,59.0,2.0,21.0,1.0,2330.0,1.0,1.0,50.0,2.0,1.0,False,2137
85,10965,32.0,1.0,19.0,2.0,8140.0,17.0,5.0,40.0,1.0,1.0,False,15593
86,10966,48.0,1.0,21.0,2.0,2006.0,55.0,0.0,42.0,2.0,1.0,False,15886
87,10967,19.0,4.0,18.0,2.0,4130.0,207.0,17.0,6.0,2.0,2.0,False,71
88,10968,63.0,1.0,16.0,2.0,9600.0,55.0,0.0,40.0,1.0,1.0,False,13104
89,10969,58.0,4.0,21.0,1.0,800.0,10.0,0.0,40.0,1.0,1.0,True,5542
90,10970,51.0,1.0,16.0,2.0,5000.0,55.0,0.0,46.0,2.0,1.0,False,1218
91,10971,50.0,1.0,16.0,1.0,8300.0,55.0,1.0,50.0,1.0,1.0,False,23691
92,10972,55.0,4.0,16.0,1.0,5240.0,55.0,0.0,30.0,2.0,1.0,True,27014
93,10973,20.0,1.0,16.0,2.0,4720.0,55.0,2.0,25.0,2.0,1.0,False,18713
94,10974,28.0,1.0,21.0,2.0,310.0,17.0,0.0,38.0,2.0,1.0,False,12538
95,10975,40.0,1.0,20.0,2.0,4700.0,139.0,0.0,50.0,2.0,1.0,False,7678
