model,accuracy,EO_SEX,EO_RACE,EO_MAR,dataset
LogisticRegression,0.7667454688731284,0.0144231438555458,0.045048877796055736,0.1799689440993789,WA_3
XGBoost,0.7848699763593381,0.055318882345570725,0.024921058105016353,0.1673136645962734,WA_3
LogisticRegression,0.7981651376146789,0.11421362489486964,0.003112494441974145,0.1811111111111111,UT_4
XGBoost,0.8146788990825689,0.037626489048289996,0.0782570031124944,0.1288019863438858,UT_4
LogisticRegression,0.7869415807560137,0.043560606060606064,0.24652455977757182,0.1878149335776454,NM_1
XGBoost,0.7903780068728522,0.05444646098003636,0.18906394810009264,0.09344938158497484,NM_1
LogisticRegression,0.7516016307513105,0.03689995090078191,0.0946822216538305,0.16518027103432076,NY_5
XGBoost,0.7935352358765289,0.01753918666534876,0.12461030126336248,0.14961067616264706,NY_5
LogisticRegression,0.7635410599883518,0.0912068764744699,0.08133693592072566,0.1520266326754539,NY_4
XGBoost,0.7920792079207921,0.06401625097579167,0.09818799472728112,0.1258818805358285,NY_4
LogisticRegression,0.7618243243243243,0.041269841269841234,0.12010443864229765,0.13532818532818536,IA_0
XGBoost,0.7668918918918919,0.02546061221529089,0.4661016949152543,0.09227799227799227,IA_0
LogisticRegression,0.7672811059907834,0.040655788177339836,0.08852683461117195,0.13038269043301148,NC_1
XGBoost,0.7914746543778802,0.05913157678732661,0.08186742834630158,0.13276803851411328,NC_1
LogisticRegression,0.7713375796178344,0.038678869876641486,0.05269844777108762,0.10419833063410983,MI_1
XGBoost,0.7847133757961784,0.16285979572887654,0.06446445340551299,0.18679456833187996,MI_1
LogisticRegression,0.7883320867614061,0.073340099353667,0.06637642984317454,0.19587726797758143,MA_0
XGBoost,0.8212415856394913,0.015499528159108322,0.04435257676642035,0.17754345967512114,MA_0
LogisticRegression,0.7842794759825328,0.08207171314741035,0.2077922077922078,0.14425287356321842,IN_0
XGBoost,0.8,0.09144144144144144,0.053030303030303094,0.1477011494252874,IN_0
LogisticRegression,0.8160919540229885,0.020215633423180612,0.13076923076923075,0.1766381766381766,WV_0
XGBoost,0.8199233716475096,0.3557951482479784,0.0692307692307692,0.131054131054131,WV_0
LogisticRegression,0.7855855855855856,0.03419540229885054,0.12951807228915657,0.11054379921259838,AZ_0
XGBoost,0.8054054054054054,0.029999014188108075,0.17987951807228908,0.09553395669291342,AZ_0
LogisticRegression,0.7766323024054983,0.17733990147783246,0.28977871443624864,0.04708097928436916,NM_5
XGBoost,0.8144329896907216,0.27955665024630544,0.3224446786090621,0.253609541745135,NM_5
LogisticRegression,0.7518072289156627,0.051010070913533156,0.2329059829059829,0.08748387096774193,SC_2
XGBoost,0.7903614457831325,0.07222453965794651,0.07051282051282048,0.16748387096774195,SC_2
LogisticRegression,0.7701149425287356,0.14842767295597487,0.40625,0.18357487922705312,WV_5
XGBoost,0.7662835249042146,0.10285220397579947,0.13043478260869565,0.2946859903381643,WV_5
LogisticRegression,0.758220502901354,0.05852464034282223,0.10330578512396693,0.14723056389723055,MN_4
XGBoost,0.7794970986460348,0.08367689581195785,0.10074773711137353,0.1291291291291291,MN_4
LogisticRegression,0.7629586488060571,0.04192864146639186,0.12836363001379503,0.12348267960150014,NY_2
XGBoost,0.7885847408270239,0.05312480398524552,0.0752981685272559,0.1203543301502783,NY_2
LogisticRegression,0.7854477611940298,0.06598290598290596,0.18345995765350606,0.09292412617220802,TN_5
XGBoost,0.8003731343283582,0.03291062801932368,0.05433114502515134,0.08536937788986969,TN_5
LogisticRegression,0.7874015748031497,0.11219792865362477,0.28267477203647406,0.13013698630136983,NH_5
XGBoost,0.7834645669291339,0.14154345474215652,0.16083916083916083,0.1882716049382716,NH_5
LogisticRegression,0.7684113015284854,0.09790351692245258,0.04415506660679541,0.0950047905234736,PA_0
XGBoost,0.7924965261695229,0.05156634378843787,0.049060324359129145,0.16006880933716572,PA_0
LogisticRegression,0.7543520309477756,0.11377955031501064,0.12300275482093664,0.12645296641403164,MN_3
XGBoost,0.753384912959381,0.046760302872666304,0.15013774104683197,0.14243458475540383,MN_3
LogisticRegression,0.7603377984857309,0.05996450304259626,0.15109200743494422,0.16048987196528186,NY_0
XGBoost,0.7932440302853815,0.026096142663306843,0.07718162195497996,0.13447301595128325,NY_0
LogisticRegression,0.7737789203084833,0.02457542457542461,0.03206687450751995,0.085033445374782,OH_4
XGBoost,0.8082262210796916,0.0701631701631702,0.04176851186196984,0.19669320946693203,OH_4
LogisticRegression,0.771376591873863,0.02869257412930469,0.11980890526447263,0.07549685744878176,FL_5
XGBoost,0.7956337174044875,0.012864456785838252,0.06881908449384877,0.0724995920057,FL_5
LogisticRegression,0.7427466150870407,0.05689404934687947,0.08530296519123336,0.129088710703831,MN_5
XGBoost,0.7388781431334622,0.0759195621738577,0.08573270305113881,0.1654257350133639,MN_5
LogisticRegression,0.7740112994350282,0.02130435906048944,0.056323758933216506,0.13519985502744122,NJ_3
XGBoost,0.810420590081607,0.05067052530942351,0.10156713489042835,0.1847564936335392,NJ_3
LogisticRegression,0.77698975571316,0.016134223004140913,0.07950051465409827,0.18461538461538463,WA_5
XGBoost,0.8045705279747833,0.07805607426050717,0.10237102045975766,0.189010989010989,WA_5
LogisticRegression,0.7849898580121704,0.04713275726630012,0.19114732437789034,0.05402298850574713,MO_1
XGBoost,0.8123732251521298,0.06679805942995753,0.06782646994054176,0.13049933578182393,MO_1
