,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,11074,27.0,1.0,21.0,2.0,4640.0,4.0,12.0,40.0,2.0,5.0,False,18593
1,11075,66.0,7.0,23.0,1.0,440.0,21.0,0.0,40.0,1.0,1.0,True,5359
2,11076,55.0,1.0,5.0,1.0,410.0,303.0,6.0,40.0,1.0,1.0,False,31097
3,11077,55.0,1.0,20.0,2.0,1050.0,35.0,2.0,50.0,1.0,1.0,False,5161
4,11078,43.0,1.0,16.0,1.0,4700.0,39.0,0.0,48.0,1.0,1.0,True,15143
5,11079,41.0,7.0,16.0,1.0,220.0,6.0,0.0,40.0,1.0,1.0,True,17488
6,11080,57.0,1.0,21.0,1.0,300.0,49.0,0.0,50.0,1.0,1.0,True,18508
7,11081,51.0,1.0,22.0,1.0,2310.0,12.0,0.0,40.0,2.0,2.0,True,5649
8,11082,32.0,1.0,21.0,1.0,910.0,6.0,1.0,45.0,1.0,1.0,True,30917
9,11083,41.0,1.0,22.0,1.0,440.0,19.0,1.0,45.0,2.0,1.0,False,23645
10,11084,23.0,1.0,19.0,2.0,8800.0,6.0,2.0,40.0,1.0,5.0,False,24255
11,11085,36.0,2.0,24.0,1.0,2205.0,48.0,0.0,40.0,2.0,1.0,False,17330
12,11086,24.0,6.0,16.0,2.0,7200.0,36.0,13.0,40.0,1.0,1.0,False,5129
13,11087,58.0,5.0,22.0,1.0,440.0,17.0,1.0,40.0,1.0,1.0,True,27155
14,11088,51.0,8.0,21.0,1.0,800.0,4.0,1.0,20.0,2.0,1.0,False,2755
15,11089,60.0,1.0,20.0,1.0,310.0,36.0,0.0,48.0,1.0,1.0,True,26784
16,11090,51.0,1.0,19.0,2.0,4400.0,17.0,0.0,20.0,2.0,1.0,False,12494
17,11091,61.0,1.0,21.0,2.0,2640.0,421.0,0.0,40.0,1.0,2.0,True,3775
18,11092,51.0,1.0,21.0,2.0,1545.0,29.0,0.0,45.0,1.0,2.0,True,4875
19,11093,59.0,1.0,16.0,2.0,7700.0,54.0,5.0,30.0,2.0,1.0,False,26252
20,11094,35.0,1.0,16.0,2.0,4700.0,128.0,0.0,50.0,1.0,1.0,True,8352
21,11095,25.0,4.0,21.0,2.0,5740.0,4.0,2.0,40.0,2.0,1.0,False,23700
22,11096,46.0,3.0,22.0,2.0,420.0,31.0,0.0,40.0,2.0,1.0,True,20640
23,11097,47.0,2.0,20.0,2.0,5120.0,48.0,0.0,40.0,2.0,1.0,False,25113
24,11098,34.0,7.0,21.0,2.0,4220.0,4.0,7.0,30.0,2.0,1.0,False,22168
25,11099,49.0,1.0,20.0,2.0,1050.0,48.0,0.0,40.0,2.0,5.0,True,28732
26,11100,72.0,7.0,19.0,1.0,5860.0,49.0,0.0,15.0,2.0,1.0,False,19853
27,11101,88.0,2.0,22.0,2.0,2360.0,42.0,0.0,2.0,2.0,1.0,False,9276
28,11102,39.0,1.0,18.0,2.0,20.0,4.0,0.0,40.0,1.0,1.0,True,5405
29,11103,56.0,1.0,20.0,1.0,3255.0,4.0,1.0,40.0,1.0,1.0,True,1409
30,11104,18.0,1.0,14.0,2.0,4020.0,4.0,5.0,45.0,1.0,1.0,False,31437
31,11105,21.0,5.0,19.0,2.0,3870.0,26.0,17.0,40.0,1.0,1.0,False,297
32,11106,48.0,1.0,19.0,2.0,5240.0,4.0,11.0,40.0,2.0,1.0,False,29272
33,11107,45.0,1.0,20.0,2.0,5110.0,26.0,0.0,40.0,1.0,5.0,False,6968
34,11108,43.0,3.0,21.0,1.0,5110.0,303.0,1.0,20.0,2.0,1.0,False,23017
35,11109,58.0,4.0,21.0,1.0,800.0,17.0,0.0,22.0,1.0,1.0,True,2038
