,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,20871,21.0,1.0,19.0,2.0,2640.0,26.0,13.0,3.0,2.0,1.0,False
1,20872,61.0,1.0,16.0,1.0,8225.0,31.0,0.0,40.0,1.0,1.0,False
2,20873,41.0,1.0,22.0,1.0,4760.0,17.0,1.0,40.0,2.0,5.0,True
3,20874,36.0,1.0,23.0,1.0,2100.0,8.0,1.0,60.0,1.0,1.0,True
4,20875,38.0,7.0,21.0,1.0,205.0,8.0,0.0,70.0,1.0,1.0,True
5,20876,57.0,1.0,16.0,2.0,4700.0,8.0,0.0,40.0,2.0,1.0,False
6,20877,46.0,1.0,21.0,1.0,1050.0,210.0,1.0,45.0,1.0,3.0,True
7,20878,17.0,1.0,14.0,2.0,5240.0,8.0,3.0,24.0,2.0,1.0,False
8,20879,56.0,7.0,20.0,1.0,5000.0,15.0,1.0,25.0,2.0,1.0,False
9,20880,59.0,1.0,21.0,1.0,1108.0,36.0,0.0,50.0,1.0,1.0,True
10,20881,32.0,1.0,17.0,2.0,5240.0,8.0,11.0,40.0,1.0,1.0,False
11,20882,53.0,1.0,15.0,1.0,4521.0,247.0,1.0,30.0,2.0,3.0,False
12,20883,62.0,1.0,22.0,1.0,120.0,8.0,0.0,40.0,1.0,1.0,False
13,20884,30.0,1.0,21.0,2.0,910.0,42.0,2.0,40.0,2.0,1.0,True
14,20885,24.0,2.0,21.0,2.0,3255.0,8.0,0.0,36.0,2.0,1.0,False
15,20886,25.0,1.0,16.0,1.0,3602.0,8.0,1.0,40.0,2.0,1.0,False
16,20887,69.0,6.0,20.0,1.0,440.0,8.0,0.0,30.0,1.0,1.0,True
17,20888,65.0,3.0,16.0,1.0,9720.0,36.0,0.0,2.0,2.0,1.0,False
18,20889,46.0,1.0,21.0,1.0,2810.0,8.0,1.0,50.0,1.0,1.0,True
19,20890,38.0,3.0,22.0,2.0,3870.0,8.0,0.0,65.0,1.0,1.0,True
20,20891,58.0,1.0,19.0,1.0,1021.0,6.0,1.0,50.0,1.0,1.0,True
