,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,6595,28.0,1.0,21.0,1.0,110.0,9.0,1.0,40.0,1.0,1.0,True
1,6596,28.0,3.0,22.0,2.0,2310.0,34.0,0.0,50.0,2.0,1.0,True
2,6597,55.0,2.0,16.0,2.0,4030.0,9.0,0.0,20.0,1.0,2.0,False
3,6598,55.0,1.0,21.0,2.0,150.0,9.0,0.0,50.0,1.0,1.0,True
4,6599,71.0,1.0,20.0,2.0,350.0,9.0,0.0,32.0,2.0,1.0,True
5,6600,53.0,1.0,16.0,2.0,4510.0,9.0,0.0,23.0,2.0,1.0,False
6,6601,26.0,1.0,16.0,2.0,9645.0,36.0,17.0,6.0,1.0,1.0,False
7,6602,44.0,1.0,21.0,1.0,4720.0,210.0,1.0,15.0,2.0,3.0,False
8,6603,39.0,1.0,22.0,1.0,1065.0,229.0,1.0,40.0,1.0,3.0,True
9,6604,54.0,3.0,20.0,1.0,4600.0,44.0,1.0,20.0,2.0,1.0,False
10,6605,64.0,2.0,21.0,1.0,3255.0,36.0,0.0,40.0,2.0,1.0,True
11,6606,20.0,1.0,19.0,2.0,4760.0,9.0,2.0,25.0,2.0,1.0,False
12,6607,51.0,2.0,23.0,1.0,2100.0,333.0,1.0,60.0,2.0,2.0,True
13,6608,33.0,1.0,1.0,2.0,3930.0,9.0,15.0,40.0,1.0,1.0,False
14,6609,62.0,2.0,19.0,2.0,5240.0,72.0,15.0,40.0,1.0,1.0,True
15,6610,39.0,1.0,16.0,2.0,6305.0,72.0,0.0,50.0,1.0,5.0,False
16,6611,24.0,3.0,19.0,2.0,5400.0,36.0,2.0,10.0,1.0,2.0,False
17,6612,51.0,6.0,16.0,2.0,2640.0,72.0,2.0,45.0,2.0,5.0,False
18,6613,55.0,1.0,16.0,2.0,6305.0,9.0,0.0,40.0,1.0,1.0,False
19,6614,75.0,2.0,22.0,1.0,2014.0,9.0,1.0,40.0,2.0,1.0,True
20,6615,59.0,1.0,16.0,2.0,7750.0,9.0,2.0,40.0,2.0,1.0,False
21,6616,53.0,1.0,20.0,2.0,3255.0,9.0,0.0,40.0,2.0,1.0,True
22,6617,55.0,1.0,22.0,2.0,6720.0,9.0,0.0,50.0,1.0,1.0,True
23,6618,51.0,1.0,20.0,1.0,4510.0,9.0,1.0,16.0,2.0,1.0,False
24,6619,58.0,1.0,20.0,1.0,440.0,9.0,0.0,50.0,1.0,1.0,True
25,6620,40.0,1.0,22.0,1.0,3160.0,9.0,0.0,40.0,2.0,1.0,True
26,6621,52.0,1.0,18.0,2.0,7330.0,9.0,0.0,40.0,1.0,1.0,False
27,6622,67.0,4.0,22.0,2.0,2320.0,41.0,0.0,40.0,2.0,1.0,False
28,6623,18.0,1.0,16.0,2.0,4055.0,36.0,4.0,15.0,2.0,5.0,False
29,6624,61.0,3.0,16.0,2.0,9130.0,9.0,0.0,35.0,1.0,1.0,False
30,6625,32.0,1.0,21.0,1.0,1021.0,210.0,0.0,40.0,1.0,3.0,True
31,6626,63.0,1.0,19.0,1.0,1460.0,51.0,0.0,40.0,1.0,1.0,True
32,6627,35.0,8.0,22.0,2.0,1065.0,9.0,0.0,55.0,2.0,1.0,False
