,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,3142,42.0,1.0,18.0,1.0,9130.0,10.0,0.0,45.0,1.0,1.0,True,727
1,3143,33.0,1.0,19.0,2.0,7000.0,42.0,0.0,43.0,1.0,1.0,True,2100
2,3144,40.0,1.0,21.0,2.0,1970.0,10.0,2.0,40.0,2.0,1.0,False,590
3,3145,46.0,1.0,16.0,1.0,4030.0,217.0,1.0,35.0,2.0,3.0,False,3756
4,3146,70.0,1.0,21.0,1.0,9130.0,414.0,0.0,30.0,1.0,1.0,False,2063
5,3147,62.0,1.0,16.0,1.0,7020.0,34.0,0.0,50.0,1.0,1.0,True,1958
6,3148,55.0,1.0,22.0,1.0,800.0,429.0,1.0,40.0,1.0,2.0,True,3572
7,3149,39.0,1.0,13.0,2.0,4055.0,10.0,2.0,5.0,2.0,2.0,False,595
8,3150,75.0,4.0,19.0,1.0,4130.0,10.0,0.0,20.0,1.0,1.0,False,3634
9,3151,47.0,6.0,16.0,2.0,6230.0,24.0,0.0,40.0,2.0,1.0,False,2645
10,3152,23.0,1.0,11.0,2.0,6260.0,10.0,2.0,40.0,1.0,1.0,True,3238
11,3153,53.0,1.0,22.0,1.0,440.0,10.0,1.0,50.0,1.0,1.0,True,3379
12,3154,61.0,1.0,21.0,1.0,1050.0,42.0,0.0,40.0,1.0,1.0,True,2417
13,3155,55.0,1.0,16.0,1.0,4760.0,42.0,1.0,60.0,1.0,1.0,True,4406
14,3156,45.0,1.0,21.0,1.0,2145.0,10.0,0.0,35.0,2.0,1.0,True,790
15,3157,27.0,1.0,22.0,2.0,1006.0,210.0,0.0,40.0,1.0,3.0,True,276
16,3158,20.0,1.0,19.0,2.0,2205.0,10.0,17.0,10.0,2.0,2.0,False,136
17,3159,65.0,2.0,20.0,1.0,4600.0,1.0,0.0,99.0,2.0,5.0,False,931
18,3160,75.0,4.0,18.0,1.0,2435.0,42.0,1.0,20.0,2.0,1.0,True,1501
19,3161,79.0,6.0,16.0,1.0,6200.0,10.0,1.0,10.0,1.0,1.0,False,2949
20,3162,73.0,6.0,16.0,1.0,4700.0,24.0,1.0,30.0,1.0,1.0,False,666
21,3163,49.0,1.0,19.0,2.0,440.0,10.0,0.0,55.0,2.0,1.0,True,353
22,3164,57.0,2.0,16.0,1.0,2025.0,207.0,0.0,52.0,1.0,3.0,True,1997
23,3165,52.0,4.0,22.0,1.0,2825.0,243.0,0.0,40.0,1.0,1.0,True,1556
24,3166,57.0,4.0,21.0,1.0,7340.0,10.0,0.0,40.0,2.0,1.0,True,1121
25,3167,61.0,1.0,17.0,1.0,5000.0,36.0,1.0,40.0,1.0,2.0,False,1909
26,3168,17.0,1.0,14.0,2.0,4150.0,34.0,2.0,12.0,2.0,5.0,False,2049
27,3169,20.0,1.0,18.0,2.0,3160.0,10.0,2.0,40.0,2.0,1.0,False,1030
28,3170,70.0,6.0,19.0,2.0,710.0,42.0,0.0,10.0,1.0,1.0,False,4458
29,3171,37.0,1.0,21.0,1.0,7700.0,42.0,0.0,40.0,1.0,2.0,True,1688
30,3172,52.0,7.0,16.0,2.0,410.0,42.0,15.0,60.0,1.0,1.0,False,1519
31,3173,22.0,1.0,16.0,2.0,6400.0,10.0,5.0,52.0,1.0,1.0,False,2393
32,3174,25.0,1.0,22.0,2.0,1650.0,42.0,0.0,40.0,2.0,1.0,True,4528
33,3175,54.0,1.0,16.0,1.0,5240.0,39.0,1.0,37.0,2.0,1.0,False,2808
34,3176,56.0,5.0,21.0,1.0,750.0,24.0,0.0,40.0,1.0,1.0,True,1153
35,3177,55.0,1.0,21.0,2.0,3255.0,10.0,0.0,35.0,2.0,1.0,True,254
36,3178,21.0,3.0,19.0,2.0,2310.0,10.0,12.0,25.0,1.0,1.0,False,2120
37,3179,35.0,1.0,16.0,2.0,6515.0,10.0,12.0,40.0,1.0,1.0,False,1586
38,3180,37.0,1.0,9.0,2.0,4020.0,303.0,13.0,38.0,2.0,1.0,False,471
39,3181,24.0,1.0,21.0,2.0,630.0,10.0,2.0,40.0,2.0,1.0,False,1932
40,3182,25.0,1.0,16.0,2.0,4110.0,42.0,15.0,40.0,2.0,1.0,False,1108
41,3183,37.0,1.0,24.0,1.0,3090.0,440.0,0.0,80.0,2.0,2.0,True,3270
42,3184,57.0,4.0,20.0,1.0,2310.0,10.0,0.0,38.0,2.0,1.0,False,2511
43,3185,41.0,1.0,16.0,2.0,4720.0,10.0,0.0,40.0,2.0,2.0,False,1872
44,3186,34.0,1.0,20.0,1.0,3255.0,24.0,1.0,18.0,2.0,1.0,False,171
45,3187,61.0,4.0,16.0,1.0,4200.0,42.0,0.0,40.0,1.0,1.0,False,4666
46,3188,41.0,1.0,21.0,2.0,102.0,10.0,2.0,56.0,1.0,1.0,True,4379
47,3189,48.0,1.0,16.0,1.0,5000.0,10.0,0.0,40.0,2.0,1.0,False,4611
48,3190,44.0,1.0,16.0,2.0,6410.0,24.0,0.0,40.0,2.0,1.0,False,1217
49,3191,66.0,4.0,20.0,1.0,5740.0,10.0,1.0,20.0,2.0,1.0,False,2958
50,3192,50.0,2.0,23.0,2.0,3090.0,210.0,0.0,45.0,1.0,3.0,True,1615
51,3193,25.0,4.0,21.0,1.0,6010.0,9.0,0.0,38.0,2.0,1.0,False,899
52,3194,31.0,2.0,21.0,2.0,3324.0,10.0,12.0,72.0,2.0,1.0,False,2845
53,3195,67.0,7.0,23.0,1.0,2100.0,42.0,0.0,55.0,1.0,1.0,True,3301
54,3196,47.0,1.0,18.0,2.0,4130.0,10.0,0.0,37.0,1.0,2.0,False,2651
55,3197,21.0,1.0,18.0,2.0,4110.0,37.0,2.0,30.0,2.0,4.0,False,4114
56,3198,32.0,1.0,18.0,2.0,4700.0,42.0,2.0,30.0,2.0,1.0,False,694
57,3199,60.0,4.0,22.0,1.0,2310.0,21.0,0.0,24.0,1.0,1.0,False,3912
58,3200,19.0,1.0,19.0,2.0,4020.0,72.0,2.0,40.0,1.0,1.0,False,2316
59,3201,18.0,3.0,16.0,2.0,4622.0,34.0,17.0,8.0,2.0,1.0,False,138
60,3202,26.0,2.0,21.0,2.0,735.0,42.0,0.0,37.0,2.0,1.0,False,1554
61,3203,50.0,1.0,16.0,2.0,9645.0,10.0,15.0,48.0,2.0,1.0,False,2913
62,3204,56.0,1.0,18.0,1.0,3500.0,36.0,1.0,24.0,2.0,1.0,False,3351
63,3205,45.0,4.0,19.0,1.0,3720.0,10.0,1.0,40.0,1.0,1.0,True,4579
64,3206,26.0,1.0,21.0,2.0,7420.0,42.0,2.0,40.0,1.0,1.0,False,1582
65,3207,28.0,5.0,19.0,1.0,9130.0,36.0,0.0,40.0,1.0,1.0,False,2080
66,3208,63.0,7.0,18.0,2.0,4850.0,11.0,0.0,40.0,1.0,1.0,False,3389
67,3209,36.0,1.0,21.0,1.0,4522.0,10.0,1.0,35.0,2.0,1.0,False,969
68,3210,21.0,1.0,20.0,2.0,4020.0,421.0,2.0,30.0,1.0,2.0,False,2570
69,3211,37.0,1.0,21.0,1.0,705.0,34.0,0.0,40.0,2.0,2.0,True,4435
70,3212,69.0,3.0,21.0,1.0,2310.0,39.0,0.0,24.0,1.0,1.0,True,3644
71,3213,19.0,1.0,16.0,2.0,4110.0,10.0,2.0,25.0,2.0,1.0,False,575
72,3214,38.0,2.0,21.0,2.0,2100.0,27.0,0.0,48.0,2.0,1.0,True,4518
73,3215,52.0,1.0,17.0,2.0,6230.0,34.0,13.0,40.0,1.0,1.0,False,2462
74,3216,34.0,2.0,22.0,2.0,2205.0,23.0,13.0,70.0,2.0,1.0,False,4536
75,3217,50.0,1.0,19.0,1.0,136.0,333.0,0.0,55.0,2.0,2.0,True,2823
76,3218,47.0,1.0,19.0,2.0,7810.0,10.0,11.0,40.0,1.0,2.0,True,3619
77,3219,42.0,1.0,21.0,1.0,440.0,42.0,1.0,45.0,1.0,1.0,True,566
78,3220,51.0,6.0,19.0,1.0,310.0,315.0,1.0,30.0,1.0,5.0,False,858
79,3221,69.0,4.0,24.0,1.0,1420.0,421.0,0.0,40.0,1.0,2.0,True,2569
80,3222,30.0,4.0,22.0,1.0,2360.0,42.0,0.0,37.0,2.0,1.0,False,4585
81,3223,44.0,1.0,16.0,1.0,150.0,36.0,1.0,40.0,2.0,1.0,False,3725
82,3224,49.0,1.0,21.0,1.0,650.0,6.0,1.0,40.0,2.0,2.0,True,1444
83,3225,65.0,1.0,22.0,1.0,8990.0,37.0,1.0,40.0,2.0,2.0,False,2060
84,3226,46.0,7.0,14.0,1.0,4710.0,10.0,0.0,50.0,1.0,1.0,True,3696
85,3227,17.0,1.0,13.0,2.0,4251.0,10.0,2.0,15.0,1.0,5.0,False,228
86,3228,52.0,1.0,16.0,1.0,6050.0,23.0,1.0,48.0,1.0,1.0,False,4415
87,3229,58.0,4.0,16.0,1.0,9310.0,42.0,1.0,40.0,1.0,1.0,True,1511
88,3230,47.0,1.0,16.0,2.0,4010.0,42.0,11.0,48.0,1.0,1.0,False,673
89,3231,31.0,3.0,22.0,1.0,230.0,10.0,0.0,60.0,1.0,1.0,True,2075
90,3232,22.0,1.0,19.0,2.0,3401.0,10.0,2.0,50.0,2.0,2.0,False,1578
91,3233,17.0,1.0,14.0,2.0,4760.0,10.0,7.0,12.0,2.0,1.0,False,753
92,3234,23.0,1.0,21.0,2.0,4110.0,10.0,2.0,15.0,1.0,1.0,False,3660
93,3235,20.0,1.0,16.0,2.0,4750.0,72.0,4.0,20.0,1.0,1.0,False,1426
94,3236,29.0,1.0,21.0,2.0,4850.0,34.0,0.0,45.0,1.0,1.0,True,2135
95,3237,20.0,4.0,18.0,2.0,2205.0,34.0,12.0,40.0,2.0,1.0,False,2592
96,3238,58.0,1.0,16.0,2.0,4710.0,24.0,5.0,40.0,1.0,1.0,False,4044
