,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,72.0,6.0,22.0,1.0,710.0,6.0,0.0,30.0,1.0,1.0,True
1,1,54.0,1.0,21.0,1.0,10.0,36.0,0.0,45.0,1.0,1.0,True
2,2,76.0,2.0,16.0,2.0,3602.0,39.0,0.0,20.0,2.0,1.0,False
3,3,39.0,4.0,16.0,1.0,5860.0,17.0,0.0,40.0,2.0,2.0,False
4,4,54.0,1.0,21.0,1.0,1031.0,26.0,1.0,40.0,1.0,1.0,True
5,5,33.0,1.0,16.0,2.0,6260.0,34.0,13.0,40.0,1.0,1.0,False
6,6,17.0,1.0,13.0,2.0,5240.0,12.0,2.0,20.0,1.0,1.0,False
7,7,41.0,1.0,16.0,2.0,4230.0,332.0,0.0,30.0,2.0,2.0,False
8,8,45.0,2.0,21.0,1.0,3255.0,19.0,0.0,36.0,2.0,1.0,True
9,9,21.0,1.0,18.0,2.0,5310.0,12.0,3.0,35.0,2.0,1.0,False
10,10,55.0,2.0,22.0,1.0,110.0,36.0,0.0,50.0,2.0,1.0,True
11,11,71.0,7.0,23.0,1.0,3250.0,19.0,0.0,40.0,1.0,1.0,True
12,12,80.0,1.0,18.0,1.0,5260.0,34.0,0.0,12.0,1.0,1.0,False
13,13,41.0,3.0,18.0,1.0,2145.0,12.0,0.0,40.0,2.0,1.0,False
14,14,22.0,1.0,20.0,2.0,4720.0,12.0,2.0,15.0,1.0,1.0,False
15,15,28.0,1.0,20.0,1.0,9005.0,327.0,9.0,50.0,1.0,1.0,True
16,16,47.0,1.0,22.0,1.0,4700.0,6.0,0.0,47.0,1.0,1.0,True
17,17,66.0,3.0,18.0,1.0,440.0,9.0,1.0,40.0,2.0,1.0,True
18,18,53.0,7.0,19.0,1.0,5860.0,17.0,0.0,20.0,2.0,1.0,False
19,19,72.0,4.0,22.0,1.0,2310.0,27.0,1.0,15.0,1.0,1.0,True
20,20,36.0,1.0,21.0,1.0,9130.0,12.0,1.0,40.0,1.0,2.0,False
21,21,33.0,1.0,20.0,1.0,5300.0,329.0,0.0,40.0,2.0,5.0,False
22,22,58.0,1.0,16.0,1.0,6442.0,27.0,1.0,40.0,1.0,1.0,False
23,23,21.0,1.0,16.0,2.0,5240.0,12.0,2.0,30.0,2.0,1.0,False
24,24,66.0,1.0,21.0,2.0,9050.0,72.0,0.0,45.0,1.0,5.0,True
25,25,60.0,7.0,24.0,1.0,2006.0,42.0,1.0,40.0,2.0,1.0,True
26,26,20.0,1.0,18.0,2.0,9130.0,313.0,13.0,40.0,1.0,1.0,False
27,27,59.0,1.0,18.0,1.0,3500.0,19.0,1.0,40.0,2.0,1.0,True
28,28,47.0,1.0,19.0,1.0,4700.0,12.0,1.0,60.0,1.0,1.0,True
29,29,53.0,1.0,12.0,2.0,6260.0,1.0,11.0,4.0,2.0,1.0,False
30,30,25.0,1.0,16.0,2.0,3605.0,233.0,10.0,40.0,1.0,3.0,False
31,31,54.0,1.0,18.0,2.0,4710.0,9.0,0.0,40.0,2.0,1.0,True
32,32,26.0,1.0,16.0,1.0,4700.0,34.0,0.0,40.0,1.0,1.0,False
33,33,52.0,1.0,16.0,1.0,750.0,363.0,15.0,40.0,1.0,1.0,False
34,34,22.0,3.0,19.0,2.0,4760.0,12.0,2.0,38.0,1.0,2.0,False
35,35,25.0,1.0,20.0,1.0,2300.0,36.0,2.0,30.0,2.0,5.0,False
36,36,37.0,1.0,19.0,1.0,7410.0,12.0,0.0,50.0,1.0,1.0,True
37,37,32.0,3.0,18.0,1.0,2545.0,34.0,0.0,37.0,2.0,1.0,False
38,38,42.0,3.0,16.0,2.0,5740.0,327.0,0.0,40.0,2.0,1.0,False
39,39,35.0,3.0,21.0,1.0,3870.0,42.0,0.0,50.0,1.0,1.0,True
40,40,24.0,1.0,16.0,2.0,4020.0,12.0,2.0,40.0,1.0,1.0,False
