,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,62.0,1.0,6.0,2.0,4220.0,303.0,0.0,40.0,2.0,1.0,False
1,1,41.0,6.0,23.0,1.0,2100.0,37.0,0.0,50.0,2.0,2.0,False
2,2,60.0,1.0,19.0,1.0,2545.0,21.0,1.0,40.0,2.0,1.0,False
3,3,20.0,1.0,13.0,2.0,4055.0,13.0,7.0,35.0,2.0,1.0,False
4,4,58.0,7.0,22.0,1.0,710.0,51.0,0.0,50.0,2.0,1.0,True
5,5,59.0,1.0,16.0,1.0,4965.0,13.0,0.0,48.0,1.0,2.0,False
6,6,48.0,2.0,21.0,1.0,2025.0,34.0,1.0,40.0,1.0,1.0,True
7,7,54.0,1.0,21.0,2.0,4710.0,13.0,2.0,40.0,1.0,2.0,False
8,8,49.0,1.0,22.0,1.0,630.0,13.0,1.0,50.0,1.0,1.0,True
9,9,57.0,1.0,18.0,1.0,9600.0,41.0,0.0,40.0,1.0,1.0,False
10,10,40.0,1.0,19.0,1.0,630.0,12.0,1.0,60.0,1.0,1.0,True
11,11,26.0,4.0,21.0,2.0,2310.0,34.0,0.0,40.0,2.0,2.0,False
12,12,38.0,1.0,16.0,2.0,1021.0,42.0,13.0,50.0,1.0,1.0,True
13,13,38.0,1.0,19.0,2.0,630.0,368.0,0.0,40.0,1.0,2.0,True
14,14,33.0,1.0,22.0,1.0,800.0,6.0,0.0,40.0,2.0,1.0,True
15,15,58.0,4.0,24.0,2.0,2310.0,13.0,0.0,40.0,2.0,1.0,True
16,16,56.0,1.0,17.0,1.0,9645.0,1.0,0.0,40.0,2.0,1.0,False
17,17,26.0,1.0,11.0,2.0,7855.0,38.0,13.0,40.0,1.0,1.0,False
18,18,23.0,1.0,21.0,1.0,8910.0,13.0,1.0,40.0,2.0,1.0,False
19,19,51.0,1.0,13.0,2.0,4700.0,13.0,0.0,35.0,2.0,1.0,False
20,20,60.0,6.0,16.0,1.0,735.0,301.0,0.0,50.0,1.0,1.0,True
21,21,18.0,7.0,18.0,2.0,4600.0,13.0,17.0,25.0,2.0,1.0,False
22,22,54.0,1.0,17.0,2.0,7340.0,12.0,13.0,38.0,1.0,1.0,False
23,23,44.0,1.0,21.0,1.0,3255.0,13.0,1.0,40.0,2.0,1.0,False
24,24,48.0,4.0,16.0,1.0,5740.0,13.0,0.0,40.0,2.0,2.0,False
25,25,26.0,1.0,21.0,1.0,3300.0,47.0,1.0,40.0,1.0,1.0,True
26,26,23.0,1.0,16.0,2.0,9620.0,13.0,2.0,40.0,1.0,2.0,False
27,27,51.0,1.0,17.0,1.0,4020.0,13.0,1.0,20.0,2.0,1.0,False
28,28,34.0,1.0,16.0,2.0,9130.0,314.0,0.0,60.0,1.0,1.0,False
29,29,63.0,7.0,22.0,1.0,3255.0,10.0,0.0,40.0,2.0,1.0,True
30,30,17.0,6.0,14.0,2.0,2723.0,45.0,2.0,4.0,2.0,1.0,False
31,31,30.0,1.0,22.0,1.0,5000.0,40.0,1.0,40.0,2.0,1.0,False
32,32,38.0,4.0,24.0,1.0,2205.0,42.0,0.0,50.0,1.0,1.0,True
33,33,54.0,4.0,22.0,1.0,2205.0,13.0,1.0,40.0,2.0,1.0,False
34,34,26.0,1.0,19.0,2.0,5840.0,333.0,0.0,40.0,2.0,5.0,True
35,35,48.0,1.0,21.0,1.0,1530.0,28.0,1.0,44.0,1.0,1.0,True
36,36,59.0,1.0,19.0,2.0,6442.0,22.0,0.0,40.0,1.0,2.0,False
37,37,64.0,4.0,21.0,2.0,5240.0,13.0,5.0,40.0,2.0,2.0,False
38,38,19.0,1.0,16.0,2.0,5350.0,10.0,2.0,40.0,1.0,5.0,False
39,39,32.0,1.0,16.0,2.0,9130.0,36.0,2.0,18.0,1.0,2.0,True
40,40,47.0,4.0,22.0,1.0,2330.0,45.0,1.0,50.0,1.0,2.0,False
41,41,52.0,1.0,15.0,1.0,9130.0,18.0,0.0,65.0,1.0,1.0,False
42,42,57.0,1.0,16.0,1.0,8465.0,13.0,1.0,40.0,1.0,2.0,False
43,43,42.0,7.0,22.0,1.0,705.0,210.0,0.0,40.0,1.0,3.0,True
44,44,45.0,5.0,21.0,1.0,440.0,18.0,1.0,40.0,2.0,1.0,False
45,45,67.0,2.0,20.0,1.0,3255.0,17.0,0.0,25.0,2.0,1.0,True
46,46,27.0,1.0,19.0,2.0,3649.0,48.0,5.0,40.0,1.0,5.0,False
47,47,31.0,6.0,21.0,1.0,4230.0,362.0,0.0,40.0,1.0,1.0,False
48,48,28.0,1.0,19.0,2.0,5410.0,333.0,2.0,40.0,1.0,2.0,False
49,49,35.0,1.0,17.0,2.0,4600.0,13.0,0.0,40.0,2.0,1.0,True
50,50,20.0,1.0,15.0,2.0,4720.0,13.0,7.0,15.0,2.0,2.0,False
51,51,53.0,1.0,19.0,2.0,2001.0,13.0,0.0,40.0,2.0,1.0,False
52,52,50.0,6.0,16.0,2.0,7200.0,13.0,0.0,50.0,1.0,2.0,True
53,53,31.0,1.0,19.0,1.0,6230.0,12.0,1.0,40.0,1.0,1.0,False
54,54,59.0,1.0,19.0,2.0,10.0,48.0,13.0,75.0,1.0,1.0,True
55,55,61.0,1.0,12.0,1.0,2300.0,13.0,1.0,40.0,2.0,1.0,False
56,56,40.0,7.0,20.0,1.0,5120.0,33.0,0.0,20.0,1.0,1.0,False
57,57,64.0,3.0,23.0,1.0,2310.0,45.0,1.0,40.0,2.0,2.0,True
58,58,59.0,5.0,22.0,1.0,5000.0,24.0,1.0,40.0,2.0,2.0,True
59,59,36.0,6.0,14.0,1.0,9142.0,13.0,1.0,12.0,2.0,1.0,False
60,60,25.0,1.0,21.0,1.0,3230.0,12.0,1.0,36.0,2.0,1.0,False
61,61,46.0,1.0,16.0,1.0,6230.0,36.0,1.0,40.0,1.0,2.0,False
62,62,53.0,1.0,21.0,1.0,1460.0,13.0,1.0,50.0,1.0,1.0,True
63,63,58.0,1.0,18.0,2.0,4850.0,301.0,0.0,40.0,1.0,1.0,False
64,64,58.0,1.0,18.0,1.0,5240.0,13.0,1.0,40.0,2.0,1.0,False
65,65,62.0,1.0,22.0,1.0,440.0,37.0,0.0,50.0,1.0,1.0,True
66,66,32.0,1.0,19.0,2.0,9365.0,5.0,0.0,40.0,1.0,2.0,False
67,67,37.0,3.0,19.0,2.0,4130.0,6.0,0.0,30.0,2.0,2.0,False
68,68,63.0,4.0,24.0,1.0,710.0,13.0,1.0,40.0,2.0,2.0,True
69,69,25.0,5.0,20.0,1.0,7340.0,12.0,0.0,40.0,1.0,1.0,True
70,70,41.0,1.0,16.0,2.0,5000.0,26.0,0.0,40.0,1.0,1.0,True
71,71,59.0,6.0,17.0,1.0,4850.0,13.0,0.0,40.0,2.0,1.0,False
72,72,48.0,4.0,17.0,2.0,4230.0,13.0,0.0,37.0,2.0,2.0,False
73,73,44.0,3.0,15.0,2.0,2545.0,40.0,5.0,40.0,1.0,1.0,True
74,74,37.0,1.0,19.0,2.0,440.0,13.0,2.0,50.0,1.0,2.0,False
75,75,28.0,1.0,18.0,2.0,9645.0,28.0,10.0,40.0,1.0,1.0,False
76,76,50.0,1.0,1.0,1.0,7000.0,303.0,0.0,48.0,1.0,5.0,False
77,77,18.0,2.0,16.0,2.0,630.0,13.0,2.0,20.0,2.0,1.0,False
78,78,41.0,1.0,19.0,1.0,1021.0,39.0,0.0,40.0,1.0,1.0,True
79,79,54.0,7.0,21.0,2.0,5522.0,18.0,0.0,70.0,1.0,1.0,True
80,80,48.0,7.0,18.0,1.0,5740.0,24.0,0.0,40.0,2.0,1.0,True
81,81,69.0,6.0,1.0,1.0,6355.0,13.0,5.0,40.0,1.0,1.0,False
82,82,54.0,2.0,21.0,2.0,2752.0,12.0,0.0,5.0,1.0,2.0,False
83,83,42.0,1.0,21.0,2.0,440.0,24.0,2.0,40.0,1.0,1.0,True
84,84,51.0,1.0,21.0,2.0,630.0,13.0,0.0,40.0,2.0,1.0,True
85,85,43.0,1.0,19.0,2.0,7130.0,2.0,0.0,40.0,1.0,2.0,False
86,86,32.0,1.0,21.0,1.0,1108.0,13.0,1.0,40.0,1.0,1.0,True
87,87,24.0,3.0,16.0,2.0,3802.0,13.0,2.0,40.0,1.0,1.0,False
88,88,25.0,1.0,18.0,2.0,5020.0,17.0,13.0,40.0,2.0,1.0,False
89,89,53.0,1.0,21.0,1.0,1010.0,45.0,1.0,40.0,1.0,1.0,True
90,90,43.0,6.0,17.0,2.0,4920.0,13.0,0.0,40.0,2.0,1.0,False
91,91,26.0,1.0,21.0,2.0,5240.0,17.0,2.0,40.0,1.0,2.0,False
92,92,43.0,6.0,21.0,2.0,4330.0,45.0,0.0,40.0,2.0,2.0,False
93,93,49.0,1.0,1.0,1.0,4220.0,370.0,0.0,40.0,1.0,1.0,False
94,94,57.0,1.0,21.0,1.0,6260.0,164.0,0.0,40.0,1.0,1.0,True
95,95,19.0,1.0,18.0,2.0,3401.0,13.0,0.0,40.0,2.0,1.0,False
96,96,62.0,1.0,16.0,1.0,5600.0,13.0,0.0,40.0,1.0,2.0,False
97,97,44.0,1.0,16.0,1.0,4110.0,13.0,2.0,47.0,2.0,2.0,False
98,98,61.0,1.0,16.0,1.0,205.0,110.0,1.0,40.0,1.0,1.0,True
99,99,20.0,1.0,16.0,2.0,9645.0,39.0,2.0,30.0,1.0,1.0,False
100,100,43.0,1.0,19.0,1.0,5400.0,12.0,1.0,40.0,2.0,1.0,False
101,101,61.0,1.0,16.0,1.0,3646.0,24.0,0.0,40.0,2.0,1.0,True
102,102,71.0,2.0,16.0,1.0,2040.0,47.0,1.0,3.0,1.0,1.0,False
103,103,39.0,1.0,21.0,1.0,20.0,13.0,0.0,50.0,1.0,5.0,True
104,104,25.0,1.0,20.0,2.0,3255.0,13.0,2.0,12.0,2.0,1.0,False
105,105,59.0,1.0,16.0,2.0,5240.0,13.0,13.0,40.0,2.0,1.0,False
106,106,28.0,4.0,21.0,2.0,2310.0,13.0,0.0,42.0,2.0,1.0,False
107,107,53.0,2.0,22.0,2.0,3300.0,47.0,0.0,40.0,2.0,2.0,True
108,108,70.0,3.0,18.0,1.0,440.0,13.0,1.0,4.0,2.0,1.0,False
109,109,58.0,1.0,23.0,2.0,2205.0,36.0,0.0,50.0,2.0,2.0,True
110,110,51.0,1.0,22.0,1.0,136.0,13.0,0.0,45.0,1.0,1.0,True
