,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,60.0,1.0,16.0,1.0,3515.0,6.0,1.0,40.0,2.0,1.0,False
1,1,47.0,1.0,21.0,1.0,4800.0,16.0,1.0,40.0,1.0,1.0,True
2,2,63.0,1.0,16.0,1.0,7750.0,303.0,6.0,40.0,1.0,1.0,False
3,3,53.0,1.0,16.0,2.0,4760.0,30.0,12.0,40.0,2.0,1.0,False
4,4,71.0,3.0,16.0,1.0,220.0,16.0,0.0,40.0,1.0,1.0,True
5,5,69.0,6.0,16.0,1.0,205.0,16.0,0.0,40.0,1.0,1.0,False
6,6,25.0,1.0,16.0,2.0,4720.0,16.0,0.0,40.0,1.0,1.0,False
7,7,43.0,1.0,21.0,1.0,800.0,6.0,0.0,32.0,2.0,1.0,False
8,8,35.0,1.0,18.0,2.0,9645.0,24.0,0.0,45.0,1.0,1.0,False
9,9,31.0,1.0,16.0,1.0,4030.0,16.0,1.0,3.0,2.0,1.0,False
10,10,36.0,1.0,22.0,1.0,2014.0,16.0,0.0,36.0,1.0,1.0,False
11,11,21.0,1.0,18.0,2.0,5160.0,16.0,7.0,10.0,2.0,1.0,False
12,12,49.0,2.0,16.0,2.0,3602.0,49.0,6.0,99.0,2.0,5.0,True
13,13,63.0,6.0,16.0,1.0,8140.0,32.0,1.0,80.0,1.0,1.0,False
14,14,23.0,1.0,16.0,1.0,4720.0,16.0,0.0,34.0,2.0,1.0,False
15,15,24.0,1.0,17.0,2.0,4110.0,53.0,16.0,40.0,1.0,1.0,False
16,16,24.0,3.0,21.0,2.0,150.0,53.0,2.0,40.0,1.0,1.0,False
17,17,44.0,1.0,16.0,2.0,5240.0,34.0,13.0,39.0,2.0,1.0,False
18,18,40.0,7.0,21.0,1.0,6520.0,33.0,1.0,50.0,1.0,1.0,False
19,19,46.0,1.0,16.0,1.0,205.0,303.0,0.0,60.0,1.0,1.0,False
