,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,30.0,1.0,21.0,2.0,710.0,48.0,0.0,42.0,1.0,1.0,True
1,1,19.0,1.0,18.0,2.0,4130.0,17.0,2.0,30.0,2.0,1.0,False
2,2,51.0,2.0,22.0,1.0,2310.0,55.0,1.0,20.0,2.0,1.0,False
3,3,62.0,1.0,21.0,1.0,1530.0,54.0,0.0,40.0,1.0,1.0,True
4,4,29.0,2.0,24.0,2.0,420.0,26.0,0.0,60.0,2.0,1.0,False
5,5,39.0,1.0,16.0,1.0,5610.0,17.0,0.0,35.0,2.0,1.0,False
6,6,26.0,1.0,18.0,2.0,3603.0,17.0,0.0,50.0,2.0,1.0,False
7,7,29.0,1.0,20.0,2.0,5610.0,36.0,2.0,25.0,1.0,3.0,False
8,8,27.0,4.0,24.0,2.0,2205.0,17.0,0.0,20.0,1.0,1.0,False
9,9,41.0,1.0,19.0,2.0,120.0,313.0,0.0,40.0,2.0,4.0,False
10,10,28.0,1.0,19.0,2.0,9365.0,17.0,13.0,20.0,2.0,1.0,False
11,11,51.0,1.0,22.0,2.0,3323.0,213.0,0.0,40.0,2.0,1.0,True
12,12,60.0,1.0,22.0,1.0,10.0,39.0,0.0,50.0,1.0,1.0,True
13,13,54.0,1.0,19.0,1.0,1900.0,303.0,0.0,40.0,1.0,1.0,True
14,14,23.0,1.0,19.0,2.0,4030.0,17.0,5.0,40.0,2.0,5.0,False
15,15,47.0,4.0,16.0,1.0,4220.0,18.0,0.0,40.0,1.0,1.0,False
16,16,51.0,1.0,16.0,2.0,6200.0,17.0,0.0,40.0,1.0,1.0,True
17,17,51.0,1.0,16.0,2.0,8130.0,17.0,13.0,40.0,1.0,1.0,True
18,18,36.0,1.0,22.0,1.0,4030.0,163.0,1.0,35.0,2.0,1.0,False
19,19,34.0,1.0,19.0,2.0,7800.0,17.0,2.0,39.0,2.0,1.0,False
20,20,32.0,1.0,19.0,2.0,4055.0,17.0,0.0,20.0,2.0,1.0,False
21,21,50.0,1.0,21.0,1.0,4710.0,17.0,0.0,55.0,1.0,1.0,True
22,22,39.0,1.0,16.0,2.0,2810.0,29.0,7.0,40.0,2.0,1.0,False
