,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,41.0,1.0,16.0,1.0,9130.0,18.0,1.0,60.0,1.0,1.0,True
1,1,55.0,2.0,23.0,1.0,10.0,18.0,0.0,50.0,1.0,1.0,True
2,2,21.0,2.0,19.0,2.0,51.0,18.0,17.0,30.0,1.0,1.0,False
3,3,35.0,1.0,21.0,1.0,3421.0,18.0,0.0,30.0,2.0,1.0,False
4,4,39.0,1.0,16.0,2.0,5630.0,18.0,0.0,40.0,2.0,1.0,False
5,5,28.0,2.0,21.0,1.0,3255.0,18.0,1.0,44.0,2.0,1.0,True
6,6,39.0,1.0,21.0,1.0,4110.0,48.0,1.0,15.0,2.0,1.0,False
7,7,64.0,2.0,19.0,2.0,3620.0,26.0,0.0,40.0,2.0,1.0,False
8,8,36.0,1.0,11.0,2.0,7750.0,18.0,2.0,40.0,2.0,1.0,False
9,9,39.0,1.0,16.0,2.0,9600.0,18.0,0.0,40.0,1.0,1.0,False
10,10,68.0,8.0,16.0,1.0,4220.0,18.0,1.0,25.0,1.0,1.0,False
11,11,36.0,1.0,20.0,2.0,9141.0,45.0,0.0,50.0,2.0,1.0,False
12,12,40.0,1.0,21.0,1.0,3255.0,18.0,1.0,40.0,2.0,1.0,False
13,13,54.0,1.0,19.0,1.0,5120.0,47.0,0.0,40.0,2.0,1.0,False
14,14,69.0,1.0,18.0,1.0,7750.0,18.0,0.0,40.0,1.0,1.0,False
15,15,40.0,1.0,21.0,1.0,1021.0,18.0,0.0,40.0,1.0,1.0,True
16,16,60.0,3.0,16.0,1.0,5740.0,18.0,1.0,40.0,2.0,1.0,False
17,17,30.0,1.0,17.0,2.0,7700.0,18.0,0.0,40.0,1.0,1.0,False
18,18,41.0,4.0,16.0,1.0,2545.0,18.0,0.0,21.0,2.0,1.0,False
19,19,57.0,1.0,22.0,1.0,2722.0,27.0,1.0,20.0,1.0,1.0,False
20,20,25.0,2.0,21.0,2.0,2545.0,36.0,0.0,10.0,1.0,1.0,False
21,21,26.0,1.0,17.0,2.0,3930.0,18.0,2.0,40.0,1.0,1.0,False
22,22,30.0,7.0,19.0,1.0,2640.0,6.0,0.0,30.0,1.0,1.0,False
23,23,52.0,1.0,22.0,1.0,4850.0,18.0,1.0,50.0,2.0,1.0,True
24,24,57.0,3.0,19.0,1.0,9121.0,18.0,0.0,30.0,2.0,1.0,False
25,25,21.0,1.0,13.0,2.0,9645.0,18.0,0.0,40.0,1.0,1.0,False
26,26,19.0,1.0,18.0,2.0,4251.0,18.0,2.0,30.0,1.0,1.0,False
27,27,19.0,1.0,16.0,1.0,4720.0,18.0,2.0,20.0,2.0,1.0,False
28,28,51.0,1.0,21.0,2.0,5000.0,18.0,0.0,55.0,2.0,1.0,True
29,29,39.0,1.0,20.0,2.0,2310.0,18.0,13.0,40.0,2.0,1.0,False
30,30,53.0,1.0,19.0,1.0,2360.0,37.0,0.0,20.0,1.0,1.0,False
31,31,37.0,1.0,21.0,2.0,3255.0,18.0,0.0,40.0,2.0,1.0,False
32,32,26.0,1.0,15.0,2.0,4220.0,39.0,0.0,40.0,1.0,1.0,False
33,33,43.0,4.0,17.0,2.0,2545.0,20.0,2.0,40.0,1.0,1.0,True
34,34,38.0,2.0,20.0,1.0,60.0,17.0,1.0,25.0,2.0,1.0,False
35,35,52.0,1.0,20.0,2.0,4020.0,19.0,0.0,20.0,2.0,1.0,False
36,36,40.0,2.0,22.0,1.0,2400.0,41.0,0.0,42.0,1.0,5.0,False
37,37,72.0,1.0,16.0,1.0,9130.0,21.0,0.0,29.0,1.0,1.0,False
38,38,56.0,1.0,19.0,1.0,5740.0,18.0,1.0,36.0,2.0,1.0,False
39,39,31.0,1.0,21.0,2.0,4700.0,18.0,0.0,20.0,2.0,1.0,False
40,40,60.0,1.0,21.0,1.0,5110.0,18.0,0.0,20.0,2.0,1.0,False
41,41,42.0,1.0,21.0,1.0,2310.0,18.0,1.0,40.0,2.0,1.0,False
42,42,61.0,7.0,17.0,1.0,6200.0,18.0,0.0,50.0,1.0,1.0,False
43,43,43.0,1.0,18.0,1.0,1430.0,18.0,0.0,55.0,1.0,1.0,False
44,44,32.0,1.0,16.0,2.0,3602.0,17.0,0.0,60.0,1.0,1.0,False
45,45,68.0,2.0,16.0,2.0,2040.0,28.0,0.0,40.0,1.0,2.0,True
46,46,26.0,1.0,21.0,1.0,5240.0,18.0,0.0,30.0,2.0,1.0,False
47,47,39.0,1.0,21.0,2.0,4700.0,18.0,0.0,45.0,2.0,1.0,True
48,48,36.0,1.0,21.0,1.0,1021.0,210.0,1.0,40.0,2.0,3.0,True
49,49,62.0,1.0,16.0,2.0,9005.0,55.0,0.0,50.0,1.0,1.0,False
50,50,19.0,1.0,19.0,2.0,4720.0,40.0,2.0,8.0,2.0,1.0,False
51,51,52.0,1.0,16.0,2.0,8990.0,18.0,0.0,40.0,1.0,1.0,False
52,52,49.0,1.0,19.0,1.0,7410.0,18.0,1.0,50.0,1.0,1.0,True
53,53,73.0,1.0,21.0,1.0,800.0,6.0,0.0,45.0,1.0,1.0,True
54,54,19.0,1.0,19.0,2.0,4110.0,36.0,17.0,8.0,1.0,1.0,False
55,55,49.0,1.0,18.0,1.0,4220.0,18.0,1.0,40.0,1.0,1.0,False
56,56,49.0,1.0,21.0,2.0,5860.0,18.0,0.0,40.0,2.0,1.0,False
57,57,47.0,1.0,19.0,1.0,5740.0,17.0,0.0,40.0,2.0,1.0,True
58,58,19.0,2.0,19.0,2.0,630.0,18.0,17.0,40.0,1.0,1.0,False
59,59,24.0,1.0,16.0,2.0,7260.0,18.0,2.0,30.0,1.0,1.0,False
60,60,37.0,1.0,16.0,1.0,7150.0,18.0,1.0,40.0,1.0,1.0,True
61,61,51.0,1.0,18.0,2.0,8140.0,18.0,0.0,40.0,1.0,1.0,False
62,62,70.0,1.0,16.0,2.0,8990.0,18.0,0.0,40.0,2.0,1.0,False
63,63,57.0,1.0,22.0,1.0,3255.0,18.0,0.0,40.0,1.0,1.0,True
64,64,30.0,1.0,20.0,2.0,8740.0,18.0,2.0,40.0,1.0,5.0,False
