,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,65.0,1.0,16.0,1.0,9130.0,8.0,0.0,45.0,1.0,1.0,False
1,1,57.0,1.0,16.0,1.0,800.0,20.0,1.0,45.0,2.0,1.0,False
2,2,57.0,1.0,20.0,1.0,4000.0,55.0,0.0,45.0,1.0,1.0,True
3,3,29.0,7.0,17.0,2.0,6240.0,303.0,5.0,40.0,1.0,5.0,False
4,4,35.0,1.0,20.0,2.0,5740.0,12.0,13.0,44.0,2.0,1.0,False
5,5,69.0,1.0,16.0,2.0,7340.0,20.0,0.0,40.0,1.0,1.0,False
6,6,53.0,7.0,23.0,1.0,3250.0,20.0,0.0,60.0,1.0,1.0,True
7,7,18.0,1.0,16.0,2.0,4720.0,29.0,2.0,20.0,1.0,3.0,False
8,8,47.0,6.0,19.0,1.0,7220.0,24.0,0.0,50.0,1.0,1.0,False
9,9,61.0,1.0,16.0,1.0,9210.0,48.0,0.0,60.0,1.0,1.0,True
10,10,42.0,1.0,16.0,1.0,9645.0,20.0,1.0,40.0,2.0,1.0,False
11,11,41.0,1.0,19.0,1.0,4220.0,303.0,0.0,40.0,1.0,1.0,False
12,12,33.0,1.0,19.0,1.0,1108.0,6.0,1.0,45.0,1.0,1.0,True
13,13,65.0,2.0,22.0,1.0,2752.0,40.0,1.0,8.0,2.0,1.0,False
14,14,87.0,6.0,16.0,1.0,440.0,20.0,0.0,40.0,1.0,1.0,False
15,15,45.0,1.0,18.0,1.0,9130.0,20.0,1.0,40.0,1.0,1.0,False
16,16,34.0,5.0,21.0,1.0,420.0,20.0,0.0,40.0,2.0,1.0,False
17,17,24.0,2.0,21.0,2.0,5820.0,36.0,12.0,42.0,2.0,1.0,False
18,18,51.0,3.0,20.0,1.0,3500.0,20.0,0.0,56.0,2.0,1.0,True
19,19,42.0,6.0,21.0,1.0,205.0,20.0,1.0,60.0,1.0,1.0,False
20,20,62.0,1.0,19.0,1.0,540.0,20.0,1.0,40.0,2.0,1.0,True
21,21,50.0,1.0,21.0,1.0,1530.0,36.0,0.0,45.0,1.0,1.0,True
22,22,27.0,3.0,18.0,1.0,3603.0,6.0,0.0,12.0,2.0,1.0,False
23,23,66.0,1.0,20.0,1.0,5240.0,20.0,1.0,25.0,2.0,1.0,False
24,24,56.0,7.0,20.0,2.0,205.0,20.0,0.0,20.0,1.0,1.0,False
25,25,66.0,1.0,16.0,2.0,5610.0,20.0,11.0,40.0,2.0,1.0,False
26,26,53.0,4.0,20.0,2.0,9430.0,20.0,0.0,40.0,2.0,1.0,False
27,27,20.0,1.0,19.0,2.0,5860.0,8.0,17.0,40.0,2.0,1.0,False
28,28,56.0,1.0,19.0,1.0,5120.0,6.0,0.0,35.0,2.0,1.0,False
29,29,34.0,1.0,18.0,1.0,4251.0,16.0,0.0,30.0,1.0,1.0,False
30,30,18.0,1.0,19.0,2.0,4720.0,19.0,17.0,30.0,1.0,1.0,False
31,31,69.0,1.0,21.0,2.0,440.0,20.0,0.0,35.0,1.0,1.0,True
32,32,39.0,4.0,20.0,2.0,4220.0,12.0,17.0,40.0,1.0,1.0,False
33,33,23.0,3.0,18.0,1.0,3802.0,20.0,2.0,40.0,1.0,5.0,False
34,34,44.0,1.0,18.0,1.0,5522.0,20.0,0.0,40.0,2.0,1.0,False
35,35,18.0,1.0,16.0,2.0,6260.0,20.0,2.0,25.0,1.0,1.0,False
36,36,40.0,1.0,14.0,2.0,6260.0,20.0,2.0,50.0,1.0,4.0,False
37,37,51.0,3.0,21.0,1.0,5860.0,20.0,1.0,32.0,2.0,1.0,False
38,38,32.0,1.0,16.0,1.0,8950.0,20.0,1.0,40.0,2.0,1.0,False
39,39,58.0,1.0,22.0,1.0,410.0,45.0,0.0,45.0,1.0,1.0,True
40,40,45.0,6.0,16.0,1.0,6230.0,303.0,0.0,44.0,1.0,5.0,False
41,41,55.0,1.0,15.0,1.0,440.0,20.0,0.0,45.0,1.0,1.0,False
42,42,22.0,1.0,17.0,2.0,3602.0,36.0,2.0,15.0,2.0,1.0,False
43,43,52.0,1.0,21.0,1.0,20.0,39.0,0.0,40.0,2.0,1.0,False
44,44,36.0,1.0,21.0,2.0,9130.0,20.0,0.0,50.0,2.0,1.0,False
45,45,67.0,1.0,16.0,1.0,5120.0,8.0,1.0,40.0,2.0,1.0,False
46,46,54.0,7.0,23.0,1.0,2100.0,19.0,0.0,60.0,1.0,1.0,True
47,47,50.0,1.0,20.0,1.0,3515.0,20.0,1.0,40.0,2.0,1.0,False
48,48,40.0,1.0,21.0,1.0,6200.0,20.0,0.0,50.0,1.0,1.0,True
49,49,42.0,2.0,21.0,1.0,60.0,40.0,1.0,40.0,1.0,1.0,True
50,50,52.0,2.0,7.0,1.0,6260.0,303.0,0.0,50.0,1.0,5.0,False
51,51,63.0,7.0,21.0,1.0,800.0,35.0,0.0,40.0,1.0,1.0,False
52,52,34.0,1.0,19.0,1.0,4010.0,51.0,0.0,40.0,1.0,1.0,True
53,53,55.0,6.0,22.0,2.0,2640.0,20.0,0.0,35.0,1.0,1.0,True
54,54,59.0,2.0,1.0,2.0,4655.0,20.0,17.0,8.0,1.0,1.0,False
55,55,57.0,8.0,18.0,1.0,5740.0,20.0,0.0,5.0,2.0,1.0,False
56,56,49.0,4.0,22.0,1.0,2205.0,20.0,0.0,55.0,2.0,1.0,True
