,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,48.0,1.0,20.0,1.0,5120.0,21.0,1.0,40.0,2.0,1.0,False
1,1,23.0,1.0,20.0,2.0,4810.0,42.0,0.0,40.0,2.0,1.0,False
2,2,68.0,6.0,15.0,1.0,4251.0,21.0,1.0,35.0,1.0,1.0,False
3,3,73.0,1.0,17.0,1.0,4700.0,21.0,0.0,40.0,1.0,1.0,True
4,4,23.0,1.0,16.0,2.0,9620.0,21.0,15.0,9.0,1.0,1.0,False
5,5,63.0,3.0,21.0,1.0,2310.0,27.0,1.0,24.0,2.0,1.0,False
6,6,41.0,2.0,21.0,1.0,4800.0,139.0,0.0,40.0,2.0,1.0,True
7,7,40.0,7.0,24.0,1.0,3250.0,21.0,1.0,60.0,2.0,1.0,True
8,8,17.0,1.0,14.0,2.0,4020.0,21.0,2.0,20.0,1.0,1.0,False
9,9,63.0,1.0,19.0,1.0,5860.0,4.0,1.0,20.0,2.0,1.0,False
10,10,47.0,1.0,16.0,1.0,9600.0,21.0,1.0,45.0,1.0,1.0,False
11,11,32.0,4.0,24.0,2.0,2205.0,47.0,0.0,55.0,2.0,1.0,True
12,12,22.0,1.0,19.0,2.0,9645.0,21.0,2.0,24.0,1.0,1.0,False
13,13,63.0,6.0,21.0,1.0,4850.0,17.0,1.0,50.0,1.0,1.0,True
14,14,61.0,4.0,20.0,1.0,5740.0,21.0,0.0,40.0,2.0,1.0,False
15,15,42.0,1.0,16.0,2.0,5740.0,21.0,13.0,40.0,2.0,1.0,False
16,16,25.0,1.0,20.0,2.0,7720.0,21.0,2.0,25.0,1.0,1.0,False
17,17,36.0,1.0,20.0,1.0,2014.0,21.0,1.0,40.0,2.0,1.0,True
18,18,56.0,1.0,16.0,2.0,4700.0,21.0,0.0,45.0,1.0,1.0,False
19,19,62.0,1.0,20.0,1.0,5600.0,21.0,1.0,40.0,2.0,1.0,True
20,20,48.0,1.0,17.0,1.0,3110.0,110.0,1.0,40.0,2.0,1.0,False
21,21,39.0,2.0,21.0,1.0,2025.0,21.0,1.0,40.0,2.0,1.0,True
22,22,69.0,2.0,20.0,2.0,2040.0,36.0,0.0,2.0,2.0,1.0,False
23,23,39.0,1.0,16.0,2.0,7150.0,21.0,0.0,40.0,1.0,2.0,False
24,24,26.0,2.0,22.0,2.0,2001.0,21.0,2.0,40.0,2.0,1.0,False
25,25,47.0,2.0,22.0,2.0,10.0,55.0,0.0,40.0,2.0,1.0,True
26,26,67.0,3.0,21.0,1.0,800.0,21.0,1.0,40.0,1.0,1.0,True
27,27,41.0,1.0,19.0,1.0,7330.0,21.0,0.0,44.0,1.0,1.0,True
28,28,59.0,2.0,20.0,2.0,3603.0,26.0,0.0,36.0,2.0,1.0,False
29,29,38.0,1.0,21.0,1.0,3255.0,21.0,1.0,40.0,2.0,1.0,True
30,30,46.0,4.0,21.0,2.0,2016.0,21.0,0.0,40.0,2.0,2.0,True
31,31,30.0,1.0,19.0,2.0,3649.0,47.0,0.0,50.0,1.0,1.0,False
32,32,22.0,1.0,16.0,2.0,7200.0,21.0,7.0,40.0,1.0,1.0,False
33,33,58.0,1.0,21.0,1.0,1410.0,39.0,1.0,40.0,1.0,1.0,True
34,34,27.0,1.0,20.0,2.0,4720.0,21.0,2.0,21.0,2.0,1.0,False
35,35,31.0,4.0,18.0,1.0,4220.0,21.0,0.0,40.0,1.0,2.0,False
36,36,49.0,6.0,17.0,1.0,4760.0,18.0,0.0,80.0,1.0,1.0,True
37,37,55.0,1.0,16.0,1.0,7000.0,39.0,0.0,44.0,1.0,1.0,True
38,38,17.0,1.0,13.0,2.0,4055.0,21.0,2.0,15.0,2.0,1.0,False
39,39,48.0,1.0,20.0,1.0,5240.0,21.0,1.0,48.0,2.0,1.0,False
40,40,67.0,1.0,11.0,1.0,3603.0,47.0,0.0,40.0,2.0,1.0,False
41,41,55.0,1.0,16.0,2.0,8225.0,34.0,0.0,46.0,2.0,1.0,False
