,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,11014,57.0,1.0,16.0,1.0,5400.0,24.0,9.0,40.0,2.0,1.0,False
1,11015,49.0,4.0,24.0,2.0,2205.0,457.0,13.0,45.0,1.0,2.0,True
2,11016,49.0,1.0,16.0,1.0,9130.0,24.0,1.0,50.0,1.0,1.0,False
3,11017,48.0,5.0,16.0,2.0,1220.0,24.0,13.0,45.0,2.0,1.0,True
4,11018,41.0,1.0,21.0,1.0,2205.0,42.0,15.0,35.0,1.0,2.0,False
5,11019,64.0,5.0,23.0,1.0,440.0,109.0,0.0,50.0,1.0,1.0,True
6,11020,27.0,1.0,21.0,2.0,940.0,36.0,0.0,45.0,1.0,1.0,True
7,11021,36.0,1.0,24.0,1.0,3050.0,301.0,0.0,40.0,2.0,2.0,True
8,11022,72.0,6.0,22.0,2.0,4540.0,24.0,0.0,8.0,2.0,1.0,True
9,11023,23.0,1.0,20.0,2.0,4720.0,24.0,2.0,30.0,1.0,1.0,False
10,11024,34.0,2.0,19.0,2.0,2016.0,364.0,13.0,40.0,2.0,1.0,False
11,11025,36.0,4.0,20.0,1.0,3870.0,24.0,0.0,40.0,1.0,1.0,True
12,11026,56.0,6.0,21.0,1.0,9130.0,211.0,0.0,55.0,1.0,3.0,True
13,11027,63.0,1.0,16.0,2.0,4700.0,24.0,13.0,60.0,1.0,1.0,True
14,11028,63.0,6.0,24.0,1.0,710.0,38.0,0.0,30.0,2.0,1.0,True
15,11029,45.0,1.0,22.0,1.0,52.0,42.0,1.0,50.0,1.0,1.0,True
16,11030,28.0,1.0,16.0,2.0,6200.0,24.0,12.0,43.0,1.0,1.0,True
17,11031,65.0,1.0,22.0,1.0,850.0,210.0,0.0,40.0,1.0,3.0,True
18,11032,66.0,1.0,21.0,1.0,5240.0,11.0,0.0,40.0,1.0,1.0,True
19,11033,55.0,1.0,16.0,1.0,530.0,42.0,1.0,45.0,1.0,1.0,True
20,11034,55.0,1.0,24.0,1.0,1050.0,207.0,0.0,45.0,1.0,3.0,True
21,11035,60.0,1.0,15.0,1.0,6260.0,24.0,0.0,40.0,1.0,1.0,True
22,11036,36.0,5.0,22.0,1.0,1005.0,440.0,0.0,45.0,1.0,2.0,True
23,11037,45.0,1.0,18.0,2.0,3602.0,51.0,0.0,20.0,2.0,1.0,False
24,11038,45.0,2.0,22.0,1.0,3255.0,36.0,1.0,40.0,2.0,1.0,True
25,11039,50.0,1.0,16.0,1.0,136.0,24.0,1.0,40.0,1.0,1.0,True
26,11040,54.0,1.0,14.0,2.0,4020.0,24.0,13.0,20.0,1.0,2.0,False
27,11041,53.0,2.0,20.0,1.0,7810.0,53.0,1.0,40.0,1.0,2.0,False
28,11042,34.0,1.0,16.0,2.0,4230.0,24.0,0.0,40.0,2.0,2.0,False
29,11043,34.0,1.0,19.0,2.0,5165.0,24.0,4.0,40.0,2.0,1.0,False
30,11044,56.0,2.0,22.0,1.0,300.0,39.0,0.0,40.0,1.0,1.0,True
31,11045,45.0,4.0,22.0,1.0,220.0,164.0,0.0,40.0,2.0,1.0,True
32,11046,47.0,5.0,22.0,1.0,705.0,50.0,1.0,40.0,1.0,1.0,True
33,11047,45.0,1.0,22.0,1.0,5740.0,39.0,0.0,20.0,2.0,1.0,False
34,11048,68.0,2.0,20.0,1.0,3255.0,36.0,0.0,40.0,2.0,1.0,True
35,11049,56.0,5.0,19.0,1.0,530.0,51.0,0.0,40.0,2.0,2.0,True
