,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,2334,52.0,1.0,17.0,2.0,4760.0,38.0,13.0,51.0,1.0,1.0,True
1,2335,20.0,8.0,16.0,2.0,3740.0,23.0,16.0,5.0,1.0,5.0,False
2,2336,34.0,1.0,16.0,2.0,3603.0,23.0,0.0,40.0,2.0,1.0,False
3,2337,34.0,6.0,19.0,1.0,6230.0,23.0,1.0,35.0,1.0,1.0,False
4,2338,45.0,3.0,22.0,1.0,2360.0,23.0,1.0,40.0,1.0,1.0,False
5,2339,71.0,2.0,23.0,1.0,4760.0,25.0,1.0,6.0,2.0,1.0,False
6,2340,65.0,6.0,16.0,1.0,4600.0,12.0,0.0,40.0,2.0,5.0,False
7,2341,19.0,2.0,19.0,2.0,4600.0,23.0,4.0,12.0,2.0,1.0,False
8,2342,55.0,3.0,21.0,2.0,2014.0,23.0,0.0,23.0,2.0,1.0,False
9,2343,32.0,6.0,20.0,1.0,2752.0,23.0,1.0,30.0,1.0,1.0,False
10,2344,56.0,5.0,18.0,2.0,710.0,23.0,0.0,40.0,2.0,1.0,True
11,2345,29.0,2.0,21.0,2.0,3255.0,23.0,0.0,16.0,2.0,1.0,False
12,2346,29.0,3.0,22.0,2.0,2310.0,23.0,2.0,40.0,2.0,1.0,False
13,2347,59.0,4.0,22.0,1.0,2145.0,42.0,1.0,40.0,1.0,1.0,False
14,2348,36.0,4.0,21.0,1.0,2722.0,33.0,0.0,50.0,2.0,1.0,False
15,2349,45.0,6.0,21.0,1.0,2850.0,23.0,0.0,32.0,2.0,1.0,False
16,2350,24.0,2.0,21.0,2.0,2014.0,13.0,13.0,40.0,2.0,1.0,False
17,2351,63.0,1.0,21.0,1.0,8610.0,23.0,0.0,44.0,1.0,1.0,True
18,2352,43.0,4.0,22.0,1.0,2310.0,23.0,0.0,40.0,2.0,1.0,True
19,2353,27.0,1.0,21.0,2.0,5810.0,23.0,12.0,40.0,1.0,1.0,False
20,2354,49.0,3.0,22.0,1.0,3230.0,42.0,0.0,40.0,2.0,1.0,False
21,2355,59.0,5.0,16.0,2.0,5540.0,23.0,0.0,28.0,2.0,1.0,False
22,2356,31.0,1.0,19.0,1.0,5240.0,25.0,1.0,40.0,1.0,1.0,False
23,2357,54.0,1.0,16.0,2.0,8225.0,23.0,0.0,40.0,1.0,1.0,False
24,2358,69.0,1.0,17.0,2.0,3601.0,23.0,13.0,40.0,2.0,1.0,False
25,2359,40.0,3.0,20.0,1.0,2310.0,23.0,1.0,35.0,2.0,1.0,False
26,2360,59.0,1.0,21.0,1.0,2145.0,12.0,0.0,37.0,2.0,1.0,True
27,2361,69.0,7.0,20.0,1.0,1980.0,23.0,1.0,45.0,1.0,1.0,True
28,2362,17.0,1.0,13.0,2.0,4435.0,12.0,2.0,16.0,1.0,1.0,False
29,2363,29.0,1.0,22.0,1.0,440.0,48.0,0.0,40.0,2.0,1.0,False
30,2364,43.0,1.0,19.0,1.0,3602.0,23.0,1.0,40.0,2.0,1.0,False
31,2365,66.0,1.0,13.0,1.0,7200.0,25.0,0.0,40.0,1.0,1.0,False
32,2366,81.0,3.0,22.0,2.0,120.0,25.0,0.0,2.0,2.0,1.0,True
33,2367,29.0,1.0,20.0,2.0,1007.0,25.0,13.0,40.0,1.0,1.0,False
34,2368,20.0,1.0,19.0,2.0,7640.0,33.0,17.0,20.0,1.0,1.0,False
35,2369,20.0,1.0,16.0,2.0,5300.0,23.0,2.0,40.0,2.0,1.0,False
36,2370,54.0,1.0,16.0,2.0,8025.0,42.0,0.0,46.0,1.0,1.0,False
37,2371,53.0,1.0,20.0,2.0,3255.0,42.0,0.0,40.0,1.0,1.0,True
38,2372,40.0,1.0,18.0,2.0,120.0,21.0,0.0,40.0,2.0,1.0,False
39,2373,33.0,4.0,21.0,1.0,5710.0,23.0,0.0,40.0,2.0,1.0,True
40,2374,42.0,3.0,21.0,1.0,2310.0,6.0,1.0,21.0,2.0,1.0,False
41,2375,62.0,1.0,21.0,1.0,4220.0,23.0,12.0,40.0,1.0,1.0,False
42,2376,52.0,6.0,21.0,1.0,205.0,23.0,0.0,60.0,2.0,1.0,False
43,2377,53.0,3.0,20.0,2.0,10.0,23.0,0.0,55.0,1.0,1.0,True
44,2378,69.0,2.0,19.0,2.0,3300.0,23.0,0.0,30.0,1.0,1.0,True
45,2379,48.0,1.0,19.0,2.0,110.0,23.0,0.0,48.0,2.0,1.0,True
46,2380,73.0,6.0,21.0,2.0,2014.0,36.0,0.0,25.0,2.0,1.0,False
47,2381,59.0,1.0,21.0,1.0,4720.0,23.0,0.0,27.0,2.0,1.0,False
48,2382,49.0,1.0,22.0,1.0,5000.0,25.0,0.0,40.0,2.0,1.0,False
49,2383,30.0,1.0,16.0,2.0,5110.0,17.0,13.0,40.0,2.0,1.0,False
50,2384,49.0,6.0,16.0,1.0,4220.0,23.0,1.0,4.0,1.0,1.0,False
51,2385,49.0,1.0,17.0,1.0,5860.0,23.0,0.0,40.0,2.0,1.0,False
52,2386,22.0,1.0,16.0,2.0,4700.0,41.0,11.0,40.0,1.0,1.0,False
53,2387,62.0,1.0,19.0,1.0,8990.0,23.0,0.0,34.0,2.0,1.0,False
54,2388,38.0,1.0,22.0,1.0,4840.0,29.0,1.0,50.0,2.0,1.0,True
55,2389,44.0,1.0,20.0,2.0,3255.0,25.0,0.0,45.0,2.0,1.0,True
56,2390,55.0,1.0,16.0,2.0,160.0,23.0,13.0,40.0,1.0,1.0,False
57,2391,17.0,1.0,16.0,2.0,7240.0,23.0,2.0,15.0,1.0,1.0,False
58,2392,25.0,2.0,19.0,2.0,4220.0,34.0,13.0,35.0,1.0,1.0,False
59,2393,66.0,1.0,21.0,2.0,5740.0,23.0,0.0,55.0,2.0,1.0,True
60,2394,55.0,1.0,16.0,1.0,7700.0,23.0,1.0,50.0,1.0,1.0,True
61,2395,29.0,1.0,16.0,2.0,4030.0,23.0,12.0,40.0,2.0,1.0,False
62,2396,18.0,1.0,14.0,2.0,4720.0,23.0,15.0,19.0,2.0,1.0,False
63,2397,64.0,2.0,16.0,1.0,4020.0,25.0,1.0,4.0,2.0,1.0,False
64,2398,66.0,3.0,16.0,1.0,5000.0,23.0,1.0,8.0,2.0,1.0,False
65,2399,57.0,1.0,20.0,1.0,8600.0,23.0,0.0,40.0,1.0,1.0,True
66,2400,77.0,3.0,16.0,1.0,4220.0,23.0,0.0,20.0,1.0,1.0,False
67,2401,59.0,3.0,22.0,1.0,220.0,243.0,0.0,30.0,2.0,1.0,True
68,2402,51.0,1.0,16.0,1.0,4200.0,23.0,0.0,40.0,1.0,1.0,False
69,2403,54.0,1.0,16.0,2.0,4330.0,23.0,13.0,80.0,2.0,1.0,False
70,2404,67.0,1.0,16.0,2.0,7640.0,25.0,0.0,29.0,1.0,1.0,True
71,2405,63.0,1.0,21.0,1.0,2001.0,23.0,0.0,25.0,2.0,1.0,False
72,2406,28.0,3.0,22.0,1.0,2320.0,33.0,1.0,45.0,2.0,1.0,True
73,2407,49.0,1.0,16.0,1.0,5740.0,23.0,1.0,36.0,2.0,1.0,False
74,2408,52.0,3.0,22.0,1.0,230.0,9.0,0.0,45.0,2.0,1.0,True
75,2409,57.0,6.0,16.0,2.0,9620.0,23.0,0.0,21.0,1.0,1.0,False
76,2410,22.0,1.0,16.0,1.0,4720.0,23.0,1.0,24.0,2.0,1.0,False
77,2411,34.0,1.0,16.0,2.0,4110.0,25.0,0.0,50.0,2.0,1.0,False
78,2412,57.0,1.0,16.0,1.0,6130.0,37.0,0.0,54.0,1.0,1.0,False
79,2413,63.0,1.0,21.0,1.0,110.0,25.0,1.0,55.0,1.0,1.0,True
80,2414,44.0,2.0,22.0,1.0,1021.0,25.0,0.0,40.0,1.0,1.0,True
81,2415,28.0,1.0,21.0,2.0,3255.0,23.0,13.0,36.0,2.0,1.0,False
82,2416,70.0,7.0,18.0,1.0,9130.0,23.0,1.0,50.0,1.0,1.0,False
83,2417,44.0,3.0,20.0,1.0,3710.0,23.0,0.0,50.0,1.0,1.0,True
84,2418,32.0,1.0,21.0,1.0,440.0,210.0,0.0,40.0,1.0,3.0,False
85,2419,52.0,7.0,22.0,1.0,2004.0,25.0,0.0,36.0,2.0,1.0,False
86,2420,68.0,5.0,21.0,1.0,5540.0,23.0,0.0,62.0,1.0,1.0,True
87,2421,19.0,2.0,19.0,2.0,5400.0,42.0,17.0,5.0,2.0,1.0,False
88,2422,45.0,7.0,18.0,1.0,6230.0,23.0,0.0,50.0,1.0,1.0,True
89,2423,57.0,3.0,21.0,1.0,2310.0,23.0,1.0,40.0,2.0,1.0,True
90,2424,41.0,3.0,22.0,1.0,2310.0,25.0,1.0,50.0,2.0,1.0,False
91,2425,35.0,3.0,21.0,2.0,2310.0,42.0,2.0,55.0,2.0,1.0,False
92,2426,62.0,1.0,20.0,1.0,7640.0,301.0,0.0,40.0,1.0,1.0,False
93,2427,30.0,2.0,22.0,1.0,2040.0,48.0,0.0,45.0,1.0,1.0,True
94,2428,58.0,1.0,20.0,1.0,5000.0,23.0,0.0,50.0,2.0,1.0,True
95,2429,65.0,7.0,23.0,1.0,120.0,23.0,0.0,60.0,2.0,1.0,False
